"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"AT130","57373.2302819486","58.6562490131203","25.2","9.8","9.2","25.8","0.6"
"RS212","6820.85732971827","281.733962371975","-12.7","8.7","17.7","-21.7","-9.0"
"EE009","17795.9665712575","36.4140374474088","21.2","8.5","15.2","14.5","-6.7"
"DE928","29558.0868773244","41.6803703797404","-1.0","8.1","15.8","-8.6","-7.7"
"HR022","9953.51897141059","99.3978919065803","-6.5","7.8","17.4","-16.0","-9.6"
"LT026","17547.799115434","62.187673514714","21.1","7.0","17.0","11.1","-10.0"
"ITC13","30613.0202850136","96.455268869062","5.5","4.9","15.8","-5.4","-10.9"
"DEA51","43955.167413693","38.5482100258364","-15.0","8.5","13.6","-20.1","-5.1"
"SI044","26029.83816588","97.1004720161834","7.0","7.0","10.4","3.5","-3.4"
"DEF06","27691.1547214158","43.2727978926297","21.9","8.3","13.3","16.9","-5.0"
"SE232","52965.35708616","24.29995776163","6.4","10.4","8.9","7.9","1.5"
"SK042","17161.2789124016","50.3275713582677","-1.1","10.7","10.7","-1.0","0.1"
"DE80J","34423.9976701291","43.6074167556548","-27.7","6.3","17.4","-38.8","-11.1"
"BG333","7920.75258451617","152.444902436592","6.4","8.1","19.8","-5.2","-11.7"
"PL227","16661.7901496612","42.4510671115854","-1.3","7.6","12.5","-6.2","-4.9"
"BE328","36785.3222865438","58.4205215359286","6.9","9.5","11.8","4.6","-2.3"
"DE944","59500.1636026516","45.7481488662942","6.6","8.8","11.1","4.3","-2.4"
"ITG2H","17819.8162394937","81.559295090427","0.7","4.4","14.0","-8.9","-9.6"
"DK042","54265.747197878","29.5887448966528","13.2","11.1","8.8","15.5","2.3"
"LU000","118889.923566425","44.8251231412603","20.5","9.9","6.8","23.6","3.1"
"AT332","52230.9515379438","67.62295735607","8.0","9.2","9.0","8.2","0.2"
"EL632","14736.9144832915","111.291558343756","-3.1","7.7","13.0","-8.4","-5.3"
"PT195","18801.8989378822","77.3455101383972","25.7","6.5","17.9","14.4","-11.3"
"NL225","39881.9770151414","96.0346656883063","11.2","7.7","11.8","7.1","-4.1"
"RO413","9896.07765926484","154.727867280727","0.7","6.3","16.7","-9.6","-10.4"
"DE211","138299.544980292","41.7342916763274","1.4","11.0","10.6","1.8","0.4"
"DE40D","32320.2703659857","49.7829584433719","14.5","6.5","16.4","4.7","-9.9"
"FRH01","28951.7025974495","55.6104186693526","9.6","8.2","14.1","3.7","-5.9"
"PL811","11406.4784430943","143.676604900166","-2.7","7.8","12.7","-7.6","-4.9"
"PL822","9210.51367879892","77.1153764670989","-2.7","7.9","11.6","-6.4","-3.6"
"PT11E","16727.0603625491","179.125397122033","18.1","5.7","16.4","7.5","-10.6"
"DEA11","95642.8083689951","63.0531884153891","-7.2","10.1","11.1","-8.2","-1.0"
"DE936","24665.6352669181","43.4578545726355","-5.1","7.9","13.8","-11.0","-5.9"
"DEB36","35611.7851601204","54.5886223850741","-7.8","9.5","15.5","-13.8","-5.9"
"DE40E","31060.3996884125","47.6491998487616","4.5","6.1","12.6","-2.0","-6.5"
"BE232","34309.4168648289","79.7541809783832","11.3","9.2","10.5","9.9","-1.3"
"DE27C","44808.3585967952","56.1660892161109","-28.7","10.4","11.9","-30.2","-1.5"
"ITG15","18757.6028444868","74.6876427705937","-3.4","7.0","12.8","-9.1","-5.7"
"BG314","8074.00116325891","117.668113283522","-0.5","8.3","22.1","-14.3","-13.8"
"FRK27","42009.2165070696","71.8636028817305","6.4","9.6","9.4","6.6","0.2"
"FI199","38299.4545321805","75.9274517370491","1.0","7.6","13.8","-5.2","-6.2"
"EL411","14014.7645650439","181.364724660814","9.7","6.9","12.9","3.6","-6.1"
"FRJ25","30330.2585126979","72.3152260562578","12.5","6.7","14.4","4.8","-7.6"
"DE128","44612.3344808116","43.6041746352658","16.2","8.7","11.7","13.2","-3.0"
"DE238","30171.4432065565","43.5907286464336","-17.0","9.5","11.0","-18.5","-1.5"
"ITI32","33266.4337527372","102.23376443348","7.1","5.7","12.9","-0.1","-7.2"
"DE118","73904.4215320387","41.4608479634731","11.1","10.1","10.9","10.3","-0.8"
"PL517","12616.2479141512","64.6104380621617","-1.6","6.5","15.9","-11.0","-9.5"
"DE723","35378.2436805029","51.4589688525634","9.2","8.6","13.6","4.2","-5.0"
"AT342","59603.7369358034","53.5052418923345","11.1","9.9","9.0","12.0","0.8"
"DE91B","25154.5829698718","33.3825404281017","-1.2","7.9","14.6","-7.8","-6.7"
"ES614","20713.6771196334","66.1972028712092","10.2","7.6","9.2","8.7","-1.6"
"ES424","25269.7345871273","50.6683754824673","26.1","7.1","8.6","24.5","-1.5"
"RO126","14998.7143092241","66.7016374557722","8.9","10.0","12.5","6.5","-2.4"
