"geo","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"DEB3I","4.3","9.2","13.4","0.1","-4.2"
"DE27B","-21.0","10.3","11.1","-21.8","-0.7"
"BE334","12.0","9.0","10.9","10.2","-1.9"
"DK050","7.2","9.2","11.6","4.9","-2.4"
"TR715","4.1","9.8","7.4","6.5","2.4"
"PL225","0.6","8.2","12.0","-3.1","-3.7"
"TR421","14.9","12.4","5.2","22.2","7.2"
"ITH31","5.5","7.0","10.8","1.8","-3.8"
"PL518","8.0","9.0","10.5","6.5","-1.5"
"DEG0R","-6.6","6.9","15.1","-14.8","-8.2"
"DE71B","-18.6","8.3","14.0","-24.4","-5.7"
"DEB35","18.0","9.8","9.8","18.0","0.0"
"RO411","6.6","9.6","16.1","0.1","-6.5"
"HR061","-0.5","10.1","14.1","-4.5","-4.0"
"FRD12","6.2","8.8","13.5","1.4","-4.8"
"EL624","-3.8","9.1","15.9","-10.6","-6.8"
"EL434","1.2","9.4","11.8","-1.3","-2.4"
"DEA55","-1.3","9.9","15.2","-6.5","-5.2"
"ITG14","-1.1","7.5","12.9","-6.5","-5.4"
"DE71A","-4.5","9.1","11.4","-6.7","-2.2"
"NL414","15.6","9.0","9.4","15.2","-0.4"
"BG344","2.2","8.4","19.5","-8.9","-11.1"
"DEA16","13.3","9.0","14.6","7.7","-5.6"
"PL824","-1.5","8.3","11.4","-4.6","-3.1"
"TR831","-4.1","9.6","7.6","-2.0","2.0"
"PT1B0","63.5","9.1","11.2","61.4","-2.1"
"HR065","11.5","9.0","12.7","7.9","-3.7"
"FRF24","-3.8","8.0","13.3","-9.1","-5.3"
"DE403","5.9","6.1","16.4","-4.3","-10.2"
"TR221","6.9","8.7","10.0","5.6","-1.3"
"DE918","-30.7","7.7","16.9","-40.0","-9.3"
"PL613","-0.4","7.8","11.8","-4.4","-4.0"
"FRY20","0.9","9.7","11.6","-1.1","-1.9"
"FRI32","12.2","7.6","13.7","6.1","-6.1"
"AT341","9.8","10.1","9.1","10.8","1.0"
"ES615","7.4","7.3","9.1","5.6","-1.8"
"RO225","0.5","7.8","16.6","-8.2","-8.7"
"BG421","7.0","9.7","17.1","-0.4","-7.4"
"HU120","12.0","9.6","11.9","9.7","-2.3"
"NO084","18.5","9.1","7.3","20.4","1.9"
"LV00C","21.2","8.6","16.6","13.2","-8.0"
"SE124","3.1","9.8","9.7","3.2","0.1"
"DE247","-18.8","8.2","15.1","-25.8","-6.9"
"BG414","3.1","6.9","23.7","-13.7","-16.7"
"FRB03","4.4","7.7","15.6","-3.4","-7.8"
"EL301","0.3","7.5","11.3","-3.5","-3.9"
"DEC06","29.9","7.2","16.1","21.1","-8.9"
"AT113","19.3","6.8","13.5","12.6","-6.7"
"NL362","15.7","9.0","8.2","16.5","0.8"
"ITF13","4.4","6.6","12.7","-1.7","-6.1"
"DE21G","24.6","10.6","12.4","22.8","-1.8"
"SI033","4.7","8.6","11.3","2.1","-2.6"
"ES130","11.0","5.5","11.5","5.0","-6.0"
"DE133","1.4","10.1","11.2","0.4","-1.0"
"RO224","3.5","10.0","15.0","-1.5","-5.0"
"ITI41","6.2","5.7","13.8","-1.9","-8.1"
"IE052","17.9","10.5","7.6","20.7","2.9"
"DEG0G","19.0","7.0","13.3","12.6","-6.3"
"LV005","13.6","6.8","20.1","0.3","-13.3"
"ES532","19.4","7.7","8.0","19.0","-0.4"
"FRJ21","8.7","7.7","13.9","2.5","-6.2"
"EL515","-3.2","6.9","17.0","-13.2","-10.0"
"TR903","3.2","8.3","9.9","1.6","-1.6"
"NL332","14.2","9.9","8.7","15.4","1.2"
"BE225","13.2","8.7","9.1","12.9","-0.4"
"FRF32","2.0","8.2","12.7","-2.5","-4.6"
"ES111","11.2","5.5","12.5","4.2","-7.0"
"FRG03","1.3","10.0","11.2","0.1","-1.2"
"PL428","1.9","7.1","11.8","-2.7","-4.6"
"AT312","12.5","9.9","9.8","12.5","0.1"
"TRB11","-0.7","11.3","5.8","4.8","5.5"
"TR904","-6.1","9.5","8.2","-4.8","1.3"
"DED43","5.1","6.5","16.0","-4.5","-9.5"
"DK031","8.8","9.0","11.3","6.4","-2.3"
"FI19B","12.5","8.1","10.8","9.8","-2.7"
"BG334","3.9","8.3","20.7","-8.5","-12.4"
"IE063","13.0","10.5","6.6","16.9","3.9"
"DEA35","18.0","9.2","12.1","15.2","-2.8"
"ITC46","6.8","6.8","10.5","3.0","-3.8"
"FRI33","3.2","8.3","12.0","-0.5","-3.7"
"ES709","18.7","5.3","8.7","15.3","-3.4"
"CZ072","16.4","9.3","11.6","14.0","-2.3"
"DE218","-16.4","9.9","9.9","-16.4","0.0"
