"geo","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"CH02","6.1","9.1","9.3","5.9","-0.2"
"ES41","10.9","5.5","13.0","3.4","-7.5"
"TRA1","-12.5","12.9","6.1","-5.6","6.8"
"DE13","10.7","9.2","11.3","8.6","-2.1"
"CZ03","35.9","9.4","11.4","33.9","-2.0"
"DEA1","9.3","9.1","13.6","4.8","-4.5"
"SE11","6.1","10.9","6.7","10.3","4.2"
"SE33","4.5","9.0","11.2","2.3","-2.2"
"ES30","18.9","7.5","7.5","18.9","0.0"
"ITF4","0.8","6.7","11.4","-3.9","-4.7"
"DE50","31.3","9.8","13.0","28.1","-3.2"
"HU31","-1.3","10.3","15.9","-6.9","-5.6"
"AT34","10.8","9.9","9.0","11.7","0.9"
"ES64","1.8","10.5","5.7","6.6","4.8"
"RO42","6.6","9.2","14.7","1.1","-5.5"
"ES63","-1.4","8.8","7.4","0.0","1.4"
"TR10","-1.8","10.7","4.6","4.2","6.1"
"FR10","0.1","13.1","6.6","6.6","6.5"
"PL43","-1.0","7.4","12.2","-5.7","-4.8"
"TR31","6.1","9.4","7.3","8.2","2.0"
"ITF3","0.4","7.9","10.9","-2.6","-3.0"
"MK00","-1.5","9.9","12.2","-3.9","-2.4"
"CZ01","61.7","10.3","9.7","62.2","0.5"
"PL52","-1.2","7.5","13.1","-6.8","-5.5"
"ITC1","6.6","6.1","13.8","-1.2","-7.7"
"ITH1","3.4","9.2","9.8","2.9","-0.6"
