nuts3_code,population_2023,nights_spent_2023
DEA5C,395619,382422.0
DEB11,113294,844118.0
DEB12,127881,770843.0
DEB13,131657,187334.0
DEB14,163979,590600.0
DEB15,82350,301901.0
DEB17,216056,891086.0
DEB18,187905,352104.0
DEB1A,124860,624384.0
DEB1B,207154,608011.0
DEB1C,61509,1852396.0
DEB1D,105740,747877.0
DEB21,103307,867847.0
DEB22,113299,1769551.0
DEB23,99866,877243.0
DEB24,59389,1211975.0
DEB25,149015,1315659.0
DEB31,48007,84763.0
DEB32,100316,330488.0
DEB33,47455,117478.0
DEB34,173869,319515.0
DEB35,221516,1064517.0
DEB36,52759,166514.0
DEB37,39324,100054.0
DEB38,49881,301327.0
DEB39,85378,146985.0
DEB3A,33264,45572.0
DEB3B,129893,150457.0
DEB3C,134032,735102.0
DEB3D,74854,150291.0
DEB3E,130935,150203.0
DEB3F,105752,260089.0
DEB3G,70124,109121.0
DEB3H,112907,663744.0
DEB3I,155061,127911.0
DEB3J,205823,638304.0
DEB3K,90144,392186.0
DEC01,330672,744087.0
DEC02,109393,383366.0
DEC03,133544,92086.0
DEC04,205785,182425.0
DEC05,144492,226319.0
DEC06,88005,828846.0
DED21,559986,4401596.0
DED2C,295917,620793.0
DED2D,246989,1183841.0
DED2E,240519,642987.0
DED2F,245313,1808439.0
DED41,242896,447447.0
DED42,324070,1483483.0
DED43,297991,533223.0
DED44,221783,869918.0
DED45,310532,491066.0
DED51,603578,3826957.0
DED52,259568,501570.0
DED53,200825,585672.0
DEE01,76042,226389.0
DEE02,227416,423618.0
DEE03,241753,773142.0
DEE04,81369,223555.0
DEE05,154366,275219.0
DEE06,89033,194806.0
DEE07,168952,306701.0
DEE08,175180,535890.0
DEE09,208634,2491593.0
DEE0A,131107,338521.0
DEE0B,182390,416002.0
DEE0C,183727,315782.0
DEE0D,107462,314545.0
DEE0E,122808,455086.0
DEF01,96217,413162.0
DEF02,250064,1113056.0
DEF03,216097,2291378.0
DEF04,78858,193779.0
DEF05,133104,1940455.0
DEF06,204237,569680.0
DEF07,168886,9865879.0
DEF08,200802,10542554.0
DEF09,321849,761721.0
DEF0A,130494,1689277.0
DEF0B,276964,1955217.0
DEF0C,204255,2147417.0
DEF0D,279922,578616.0
DEF0E,131712,187836.0
DEF0F,245822,382584.0
DEG01,218769,979336.0
DEG02,94454,141764.0
DEG03,110470,385113.0
DEG05,65507,699500.0
DEG06,99358,232428.0
DEG07,81811,169802.0
DEG09,100435,265991.0
DEG0A,73022,224909.0
DEG0C,137321,811515.0
DEG0D,68325,75595.0
DEG0E,61271,244385.0
DEG0G,83148,322102.0
DEG0J,83595,192857.0
DEG0K,78404,426458.0
DEG0L,95281,154315.0
DEG0M,88034,162752.0
DEG0Q,121791,752432.0
DEG0R,156566,663753.0
DEG0S,36325,185114.0
DEG0T,106975,394923.0
DEG0U,101556,342554.0
DEG0V,56412,123691.0
DK011,815979,11509899.0
DK012,562572,840876.0
DK013,473625,1314020.0
DK014,39695,844788.0
DK021,257557,434744.0
DK022,592300,2846631.0
DK031,505026,2755891.0
DK032,732387,7695834.0
DK041,430783,2182258.0
DK042,928096,3651433.0
DK050,594634,4869732.0
EE001,638076,3308259.0
EE004,148499,1348657.0
EE008,322233,990198.0
EE009,123718,344720.0
EE00A,133358,383028.0
EL301,598143,386233.0
EL302,472628,31280.0
EL303,991335,7791073.0
EL304,524747,834013.0
EL305,522019,1591108.0
EL306,164848,164730.0
EL307,515385,1611161.0
EL411,100604,1116012.0
EL412,42168,1403677.0
EL413,51449,320904.0
EL421,207343,25158840.0
EL422,119090,13201346.0
EL431,303463,14511882.0
EL432,77380,4287108.0
EL433,85049,6211919.0
EL434,156354,9331982.0
EL511,133244,552585.0
EL512,107594,158109.0
EL513,104771,214848.0
EL514,86137,98827.0
EL515,127261,2785425.0
EL521,129178,139590.0
EL522,1087802,3933626.0
EL523,69408,106646.0
EL524,124003,227768.0
EL525,117400,3612338.0
EL526,149749,314374.0
EL527,102451,8767156.0
EL531,160737,157465.0
EL532,45035,132998.0
EL533,44037,55014.0
EL541,116760,1463076.0
EL542,40375,517000.0
EL543,161360,986956.0
EL611,225493,763334.0
EL612,266264,331135.0
EL613,189080,3029987.0
EL621,40757,5930277.0
EL622,99937,10071910.0
EL623,38663,2204331.0
EL624,22520,1556281.0
EL631,188917,422633.0
EL632,302849,947908.0
EL633,149877,1036051.0
EL641,105734,249110.0
EL642,209255,1748518.0
EL643,17389,125910.0
EL644,135558,309791.0
EL645,36396,548474.0
EL651,168703,1723272.0
EL652,136851,943845.0
EL653,228318,3089985.0
ES111,1123884,5863069.0
ES112,324267,1822931.0
ES113,304563,891622.0
ES114,946710,4937376.0
ES120,1006060,6672748.0
ES130,588387,5811506.0
ES211,336308,1378390.0
ES212,726712,4286816.0
ES213,1153282,4060901.0
ES220,672155,4032325.0
ES230,322282,1716159.0
ES241,226878,3957295.0
ES242,135046,1391622.0
ES243,979365,3218044.0
ES300,6871903,30238007.0
ES411,159764,1201472.0
ES412,357370,2165552.0
ES413,448573,2028989.0
ES414,157787,642215.0
ES415,327089,2383810.0
ES416,155332,1405219.0
ES417,89528,928505.0
ES418,521333,1573553.0
ES419,166927,597440.0
ES421,387529,1238598.0
ES422,491927,958299.0
ES423,198436,943766.0
ES424,275082,801261.0
ES425,731112,1932257.0
ES431,666049,1584266.0
ES432,388257,2199892.0
ES511,5797356,39770370.0
ES512,808672,23634098.0
ES513,447343,3369984.0
ES514,848592,18861398.0
ES521,1955268,31996890.0
ES522,604086,7790870.0
ES523,2656841,12661934.0
ES531,170569,11254978.0
ES532,940332,51193029.0
ES533,99005,6343804.0
ES611,753364,6835184.0
ES612,1254866,10685787.0
ES613,775002,2390903.0
ES614,934072,7416276.0
ES615,534084,5738936.0
ES616,620637,1491087.0
ES617,1752728,29676095.0
ES618,1959394,9668181.0
ES620,1551692,5493664.0
ES630,83052,144427.0
ES640,85493,132824.0
ES703,11659,164229.0
ES704,124152,14595356.0
ES705,862893,26067163.0
ES706,22361,969708.0
ES707,84338,1122753.0
ES708,158798,18335971.0
ES709,948815,34319774.0
FI196,212556,403232.0
FI198,272437,1043820.0
FI199,190774,789968.0
FI19A,176323,391795.0
FI19B,532671,1864621.0
FI1B1,1733033,6360553.0
FI1C1,485567,1428086.0
FI1C2,169537,389846.0
FI1C5,125353,589233.0
FI1C6,204528,604954.0
FI1C7,159488,277002.0
FI1D5,67805,137541.0
FI1D7,175795,3348570.0
FI1D8,70521,921322.0
FI1D9,416543,1908409.0
FI1DA,130451,611793.0
FI1DB,247689,829629.0
FI1DC,162540,505106.0
FI200,30359,426581.0
FR101,2092813,43919410.0
FR102,1461552,13297242.0
FR103,1477228,3126479.0
FR104,1331182,2867607.0
FR105,1653212,8145461.0
FR106,1692115,4922533.0
FR107,1422186,4415695.0
FR108,1277071,4468246.0
FRB01,298404,848055.0
FRB02,433132,908839.0
FRB03,215578,626369.0
FRB04,617703,3228898.0
FRB05,328360,3283151.0
FRB06,688539,1846977.0
FRC11,538080,3371748.0
FRC12,201409,742257.0
FRC13,547788,2167153.0
FRC14,332690,973545.0
FRC21,549462,1746197.0
FRC22,257986,1996295.0
FRC23,233293,348947.0
FRC24,139526,334483.0
FRD11,706548,7447253.0
FRD12,496441,3206279.0
FRD13,274742,531659.0
FRD21,601533,1860696.0
FRD22,1260258,3779212.0
FRE11,2616339,4963567.0
FRE12,1456673,4150828.0
FRE21,523228,1815777.0
FRE22,830509,1639783.0
FRE23,563543,3033996.0
FRF11,1160728,6270853.0
FRF12,767160,4863025.0
FRF21,265865,476478.0
FRF22,311170,1160735.0
FRF23,562387,2169177.0
FRF24,168854,615558.0
FRF31,731744,1391663.0
FRF32,179439,306211.0
FRF33,1050692,3624085.0
FRF34,356433,2159088.0
FRG01,1486149,8578280.0
FRG02,830394,2568462.0
FRG03,304630,504685.0
FRG04,565349,1408286.0
FRG05,711902,12817803.0
FRH01,611258,4242748.0
FRH02,930710,8556544.0
FRH03,1117647,5608314.0
FRH04,780633,8404289.0
FRI11,416671,5158033.0
FRI12,1689714,13301730.0
FRI13,432717,10184605.0
FRI14,332080,1504114.0
FRI15,704074,6886805.0
FRI21,239911,1296467.0
FRI22,114940,320075.0
FRI23,372083,925297.0
FRI31,351023,726160.0
FRI32,672443,12756910.0
FRI33,375016,733975.0
FRI34,438142,3516818.0
FRJ11,378427,3771665.0
FRJ12,768166,5787688.0
FRJ13,1229560,16627679.0
FRJ14,76471,1311486.0
FRJ15,496280,11207968.0
FRJ21,155760,1094826.0
FRJ22,279241,2161702.0
FRJ23,1473299,5290415.0
FRJ24,192822,748507.0
FRJ25,175858,1875147.0
FRJ26,231638,4824996.0
FRJ27,397775,864749.0
FRJ28,265956,609051.0
FRK11,333922,1246010.0
FRK12,144177,1034805.0
FRK13,228034,889762.0
FRK14,664263,4130890.0
FRK21,677187,2395592.0
FRK22,334451,5607236.0
FRK23,522454,3354403.0
FRK24,1297087,5801141.0
FRK25,773693,934775.0
FRK26,1916464,8005210.0
FRK27,447997,15674496.0
FRK28,856707,11979735.0
FRL01,168005,3606003.0
FRL02,141826,4334741.0
FRL03,1119807,13315819.0
FRL04,2076707,11580166.0
FRL05,1117572,17376667.0
FRL06,570432,4866646.0
FRM01,168277,5561700.0
FRM02,185989,4654848.0
FRY10,413861,1309221.0
FRY20,359202,1244021.0
FRY30,290110,420028.0
FRY40,886453,1558174.0
FRY50,310199,161925.0
HR021,99813,83102.0
HR022,68808,36032.0
HR023,62451,64782.0
HR024,127464,68137.0
HR025,253824,253118.0
HR026,139841,150735.0
HR027,110483,622764.0
HR028,136422,57887.0
HR031,263938,15594014.0
HR032,42469,2903811.0
HR033,160558,10122010.0
HR034,95441,5066777.0
HR035,423845,17771567.0
HR036,196867,28096850.0
HR037,114869,7762485.0
HR050,768624,2507454.0
HR061,104737,215597.0
HR062,158446,240110.0
HR063,99925,44950.0
HR064,119409,414222.0
HR065,302660,264744.0
HU110,1671004,9980022.0
HU120,1328790,1412254.0
HU211,419565,838868.0
HU212,301492,580374.0
HU213,338342,2649273.0
HU221,471309,1283396.0
HU222,249812,1465871.0
HU223,261803,2493072.0
HU231,355315,682130.0
HU232,295316,1883300.0
HU233,208044,160029.0
HU311,624219,1112347.0
HU312,287533,1379584.0
HU313,182038,150188.0
HU321,520656,1354187.0
HU322,356388,528933.0
HU323,527968,473480.0
HU331,494563,609561.0
HU332,314380,723381.0
HU333,391207,728058.0
IE041,430893,8114389.0
