geo_name,dguid,married_or_commonlaw_per1000,not_married_not_commonlaw_per1000,one_person_households_per1000,owner_households_per1000,renter_households_per1000,immigrants_per1000,non_immigrants_per1000,no_certificate_15plus_per1000,postsecondary_cert_15plus_per1000,bachelor_or_higher_15plus_per1000,median_age,median_total_income_recipients_2020,median_aftertax_income_recipients_2020,median_hh_total_income_2020,median_hh_aftertax_income_2020,lim_at_low_income_rate_pct,lico_at_low_income_rate_pct,gini_aftertax,p90_p10_ratio_aftertax,owner_pct_with_mortgage,owner_pct_30plus_shelter,median_shelter_cost_owned,tenant_pct_30plus_shelter,median_shelter_cost_rented,participation_rate,employment_rate,unemployment_rate
"Nord-du-Québec, Census division (CDR)",2021A00032499,376.0384783559248,344.4468736335811,73.78662002623524,113.35811106252733,141.34236991692174,11.915172715347616,977.7000437254044,314.27634455618715,266.72496720594665,52.90773939658941,29.8,43600.0,40400.0,96000.0,85000.0,9.3,2.4,0.261,3.4,57.6,6.4,810.0,6.1,572.0,63.1,58.5,7.3
"Stormont, Dundas and Glengarry, United counties (UC)",2021A00033501,496.7855055523086,345.9179845948516,125.09050306620026,299.20531765485833,125.57027835690049,67.77916379528425,905.7285169709604,155.8397376065319,395.6401510856006,105.11440459886424,47.6,39200.0,35600.0,73500.0,66000.0,13.0,3.6,0.272,3.5,55.8,10.1,960.0,33.6,890.0,57.7,52.2,9.4
"Prescott and Russell, United counties (UC)",2021A00033502,529.5433871119523,302.0211420027395,96.97926578069615,309.91541107707104,90.96707410156944,55.782682796767006,921.6951243739478,136.76429071822167,428.1203274814668,138.64636811342655,44.8,47200.0,42000.0,95000.0,83000.0,7.7,1.8,0.253,3.4,64.4,9.4,1350.0,33.6,970.0,64.4,60.2,6.5
"Ottawa, Census division (CDR)",2021A00033506,466.0872436849415,369.8514618423135,114.37428313360178,255.7572910288378,144.50847167769587,254.76952653155098,699.8876602168758,90.45662239581543,540.5676353311076,339.5403602539292,40.0,50000.0,44000.0,102000.0,88000.0,8.9,6.0,0.301,4.0,59.8,11.7,1560.0,35.1,1380.0,65.9,59.1,10.3
"Leeds and Grenville, United counties (UC)",2021A00033507,530.9887575670223,332.9009320649563,118.42990294993754,334.8707600653406,93.87911982319592,72.11492264821754,909.8683578360719,126.30921495147496,460.0749495531853,144.03766695493417,50.8,41600.0,37600.0,82000.0,72500.0,9.8,2.6,0.272,3.5,55.6,10.7,1050.0,35.2,980.0,57.4,51.5,10.3
"Lanark, County (CTY)",2021A00033509,530.5570221752904,319.0997888067582,113.45036958817317,330.31942977824707,90.8130939809926,65.20591341077085,913.9387539598732,120.38014783526928,460.59926082365365,154.89704329461458,48.8,44400.0,39600.0,88000.0,77000.0,8.7,2.4,0.277,3.4,59.0,11.0,1180.0,39.8,1080.0,59.1,54.1,8.5
"Frontenac, County (CTY)",2021A00033510,475.1205340585981,384.1636790703424,134.68908394115465,268.63641982939794,163.95722586228212,119.76140437631351,837.8971442699963,101.61948324885647,493.0770181728273,238.07021881567562,43.2,42000.0,38000.0,81000.0,72000.0,10.8,5.3,0.292,3.8,56.3,11.4,1230.0,41.6,1240.0,60.1,52.5,12.5
"Lennox and Addington, County (CTY)",2021A00033511,519.454650081891,333.8718958877429,92.7360453277854,317.4936921783011,78.46044885131246,64.18485237483954,889.1815324686822,125.38178920809173,425.1693152140233,120.40192997211278,48.0,42000.0,38000.0,85000.0,75500.0,9.2,2.4,0.26,3.3,59.7,11.7,1180.0,37.1,1020.0,57.1,51.7,9.5
"Hastings, County (CTY)",2021A00033512,496.7203216554828,353.52599728294433,117.39601772947456,303.507471903174,114.34276069326089,77.60075748219505,897.1772810231498,153.62342705803246,405.3627543809092,113.41649170474662,47.6,38400.0,35200.0,75000.0,67500.0,11.8,3.6,0.266,3.4,55.9,11.5,1030.0,36.4,1010.0,55.2,48.9,11.5
"Prince Edward, Census division (CDR)",2021A00033513,578.8982259570496,305.0108932461874,118.85309679427327,360.0606909430439,80.92125739184563,97.65017117958294,878.8515406162464,120.02023031434796,494.67009025832556,199.7743541861189,56.8,40000.0,36400.0,81000.0,72000.0,10.1,2.5,0.313,3.8,45.7,11.9,880.0,37.8,1080.0,51.1,46.4,9.2
"Northumberland, County (CTY)",2021A00033514,540.0324511833492,332.6246293291557,107.31270631679068,337.43635651541433,79.44944888938622,103.61998545291782,871.8737760868349,133.10580204778157,442.2872489229564,144.5756168522352,52.4,40800.0,36800.0,84000.0,74500.0,8.7,2.3,0.276,3.4,52.4,13.1,1060.0,40.9,1140.0,54.6,48.6,10.9
"Peterborough, County (CTY)",2021A00033515,493.86854097683516,362.1996059073273,118.02466126312795,302.8487076875156,114.80826917477536,85.25131872075623,884.5078242969644,125.33772116927702,457.9803766225852,175.88586209464995,46.8,39200.0,35600.0,78500.0,70500.0,10.9,4.3,0.28,3.6,53.9,12.9,1100.0,42.5,1110.0,56.8,49.6,12.8
