region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Baildon No. 131,185,200,93000,93000,81000,75500,40,40000,145,110000,40,44800
Baine Harbour,,,,,,,,,,,,
Baker Lake,575,580,105000,87000,92000,79000,125,72500,435,111000,140,70500
Balcarres,255,250,63200,56000,57200,52800,100,32000,145,93000,110,35200
Baldwin,240,260,86000,70500,75500,62800,55,40400,185,100000,55,44000
Balgonie,620,605,122000,134000,104000,111000,90,59200,525,134000,100,62400
Balmoral,120,110,73500,63600,68500,59200,20,36000,95,87000,25,46400
Balmoral,690,700,69000,69000,60400,61600,175,32000,495,87000,190,34800
Bancroft,1800,1750,57200,50000,52800,46800,635,28000,1110,77500,695,29200
Banff,2930,2545,88000,88000,77500,77000,840,46000,1730,108000,1200,56000
Bangor,,0,,0,,0,,,,,,
Baptiste Meadow 2,,0,,0,,0,,,,,,
Barkmere,,,,,,,,,,,,
Barnston Island 3,,,,,,,,,,,,
Barnston-Ouest,215,225,71000,62400,63200,56000,60,25200,145,92000,70,26400
Barnwell,260,260,93000,90000,84000,80000,30,33600,220,105000,35,36400
Barons,125,130,65500,55200,58800,50000,35,30200,85,81000,40,34000
Barraute,930,895,67000,56400,58400,49200,355,33200,560,93000,370,34000
Barrhead,1835,1915,67500,66500,61600,60400,685,35200,1075,92000,760,37600
Barrhead County No. 11,2200,2295,82000,87000,74000,77500,465,36800,1695,96000,505,40400
Barrie,55315,52475,93000,84000,82000,73500,13230,45600,39175,112000,16140,52000
Barrier Valley No. 397,215,180,72000,60800,65000,56400,60,33200,150,87000,65,33600
Barriere,760,785,66500,51200,62000,46800,225,29000,515,83000,245,32000
Barrington,3025,2975,68500,69000,59200,59600,945,33200,2000,86000,1020,36000
Bas-Caraquet,620,600,58000,54400,51600,48800,215,32000,375,77500,240,34800
Bashaw,380,380,58000,62400,54400,54400,150,28800,220,82000,160,30000
Basque 18,,0,,0,,0,,,,,,
Bassano,540,535,64000,68000,58000,60800,185,32000,330,86000,210,36400
Bath,190,190,52400,47600,46400,46000,80,26000,110,81000,85,26400
Bathurst,2105,2060,72500,70000,63200,61600,465,37200,1580,86000,520,40800
Bathurst,5825,5615,54800,50000,49600,46000,2255,30200,3290,80000,2535,33200
Bathurst Inlet,,0,,0,,0,,,,,,
Batiscan,475,440,62400,55600,56400,49600,155,39200,305,81000,175,40400
Battle River No. 438,410,405,96000,90000,82000,81000,80,40800,325,112000,85,41600
Battleford,1755,1755,91000,89000,80000,77500,465,43600,1250,113000,505,46800
Bauline,165,160,86000,85000,77000,73500,25,47600,135,99000,30,48400
Bawlf,165,165,80000,84000,71000,74000,40,42800,120,94000,45,43200
Bay Bulls,600,565,100000,105000,83000,88000,125,40400,455,125000,145,44800
Bay L'Argent,,,,,,,,,,,,
Bay Roberts,2490,2410,72500,73500,64000,65000,600,29800,1855,89000,630,31400
Bay de Verde,155,170,60400,65500,55600,57600,40,30200,115,74500,45,31200
Bayham,2265,2395,83000,70500,74000,64000,425,33600,1790,95000,470,35600
Bayne No. 371,180,190,94000,84000,82000,75000,30,32800,145,102000,35,34800
Baytona,110,115,63200,54800,58800,52400,25,24000,85,75500,30,24800
Beachside,,,,,,,,,,,,
Beaconsfield,6755,6665,138000,133000,110000,106000,1100,56000,5575,158000,1180,59600
Bear Island 1,,,,,,,,,,,,
Bear River (Part) 6,,,,,,,,,,,,
Bear River (Part) 6,,0,,0,,0,,,,,,
Bear River 6B,,0,,0,,0,,,,,,
Beardy's 97 and Okemasis 96,305,300,63200,46400,63200,46000,40,30200,255,67000,55,35600
Beardy's and Okemasis 96 & 97C,,0,,0,,0,,,,,,
Beardy's and Okemasis 96 and 97A,,0,,0,,0,,,,,,
Beardy's and Okemasis 96 and 97B,,0,,0,,0,,,,,,
Bearskin Lake,125,110,42800,47600,42800,47600,25,11000,90,52400,35,16000
Beatty,,,,,,,,,,,,
Beaubassin East,2855,2675,82000,74500,71500,65500,610,39200,2160,96000,695,42400
Beauceville,2720,2720,65500,59600,57600,51600,965,41600,1690,91000,1030,43200
Beauharnois,6295,5800,69500,60400,60800,53600,2220,37600,3875,93000,2420,39600
Beaulac-Garthby,475,435,59200,51200,52000,47200,170,34800,295,77000,180,36800
Beaumont,1120,1135,99000,86000,84000,73000,250,48000,855,115000,265,49200
Beaumont,6950,5675,130000,145000,110000,119000,935,60800,5845,142000,1105,68000
Beaupré,1860,1575,75000,72500,64500,62000,705,42800,1115,102000,745,44800
Beausejour,1485,1445,71000,64500,61200,56400,520,38400,925,97000,565,39200
Beauval,235,205,83000,86000,76000,79000,50,40800,160,97000,65,48400
Beaver County,2180,2180,94000,98000,81000,84000,495,42000,1630,111000,550,46000
Beaver Creek,,,,,,,,,,,,
Beaver Flat,,,,,,,,,,,,
Beaver Lake 131,110,105,62400,56400,60800,53600,15,,90,70500,20,33600
Beaver Lake 17,,0,,0,,0,,,,,,
Beaver Ranch 163,,0,,0,,0,,,,,,
Beaver River No. 622,495,445,73000,83000,66500,75000,105,38000,380,85000,115,42400
Beaverlodge,925,950,90000,92000,78000,81000,250,46400,635,109000,280,50000
Becher Bay 1,,,,,,,,,,,,
Beckwith,3370,2865,126000,111000,107000,93000,525,54000,2780,139000,590,57600
Bedeque and Area,125,115,70500,66000,62400,56800,35,27000,85,87000,40,36400
Bedford,1235,1210,55600,47200,49200,43200,535,29600,665,82000,570,32000
Bedford,275,285,74500,68500,64500,59600,60,39200,205,87000,70,41600
Beechy,,,,,,,,,,,,
Behchokò,460,470,115000,87000,106000,80000,70,38000,375,134000,85,47600
Beiseker,315,335,78000,83000,68500,71000,80,50800,220,92000,90,52800
Belcarra,260,250,168000,139000,138000,114000,40,60000,215,192000,45,62400
Belcourt,,,,,,,,,,,,
Belfast,675,670,70500,62000,62400,54000,200,32400,465,87000,210,34000
Bella Bella 1,395,335,60400,64500,60400,60800,70,29000,290,68000,105,38000
Bella Coola 1,285,245,47200,38800,47200,38000,60,23200,220,54400,60,24000
Bellburns,,,,,,,,,,,,
Belle Plaine,,,,,,,,,,,,
Belle-Rivière,,0,,0,,0,,,,,,
Belledune,690,700,48400,45600,45200,42800,265,24600,400,65000,285,26000
Belleoram,145,155,47600,40400,45200,39600,35,24400,105,61600,35,26200
Belleterre,135,140,45200,42000,42400,39200,55,26800,80,71000,55,30400
Belleville,23535,21730,73000,64500,66000,57600,7335,38000,15040,95000,8500,42400
Beloeil,10140,9100,90000,85000,76000,71500,2925,45200,7000,115000,3135,46800
Bengough,175,185,54800,54800,50400,51600,70,28600,100,80000,70,29400
Bengough No. 40,115,110,60800,71000,54800,65500,30,42400,85,71000,30,42400
Benson No. 35,170,180,113000,118000,96000,93000,25,77000,135,122000,30,75500
