region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Muskeg Lake 102B,,0,,0,,0,,,,,,
Muskeg Lake 102D,,0,,0,,0,,,,,,
Muskeg Lake 102E,,0,,0,,0,,,,,,
Muskeg Lake 102F,,0,,0,,0,,,,,,
Muskeg Lake Cree Nation 102,95,105,51600,36000,51200,36000,35,31600,65,71000,35,31600
Muskoday First Nation,230,205,52000,41600,50400,41600,45,25000,170,59600,55,25200
Muskoka Lakes,3530,2915,89000,81000,77000,71500,1070,48800,2360,107000,1165,50000
Muskowekwan 85,160,150,35600,21400,34800,21400,40,23400,105,45200,50,23400
Muskowekwan 85-1,,0,,0,,0,,,,,,
Muskowekwan 85-10,,0,,0,,0,,,,,,
Muskowekwan 85-12,,0,,0,,0,,,,,,
Muskowekwan 85-15,,0,,0,,0,,,,,,
Muskowekwan 85-17,,0,,0,,0,,,,,,
Muskowekwan 85-22,,0,,0,,0,,,,,,
Muskowekwan 85-23,,0,,0,,0,,,,,,
Muskowekwan 85-26,,0,,0,,0,,,,,,
Muskowekwan 85-27,,0,,0,,0,,,,,,
Muskowekwan 85-28,,0,,0,,0,,,,,,
Muskowekwan 85-29,,0,,0,,0,,,,,,
Muskowekwan 85-2A,,0,,0,,0,,,,,,
Muskowekwan 85-31,,0,,0,,0,,,,,,
Muskowekwan 85-33,,0,,0,,0,,,,,,
Muskowekwan 85-4,,0,,0,,0,,,,,,
Muskowekwan 85-8,,0,,0,,0,,,,,,
Muskrat Dam Lake,,85,,49200,,47600,,,,,,
Musquash,530,510,82000,77500,71500,68500,120,43200,385,94000,140,49600
Musqueam 2,565,575,108000,88000,94000,75500,120,49200,400,121000,160,59200
Musqueam 4,,0,,0,,0,,,,,,
Myrnam,,140,,57600,,50800,,,,,,
Mystery Lake,,0,,0,,0,,,,,,
Métabetchouan--Lac-à-la-Croix,1805,1735,69500,62800,61200,55200,620,35600,1150,90000,655,37600
Métis-sur-Mer,310,270,51200,49600,47200,45200,135,34800,170,81000,145,36400
Nackawic,430,420,69000,66000,62000,58800,120,34400,305,85000,125,35600
Nahanni Butte,,,,,,,,,,,,
Naicam,310,315,67000,56400,60000,52400,115,30800,190,92000,120,32400
Nain,245,320,89000,81000,79500,72000,30,25600,205,104000,45,31800
Nairn and Hyman,160,135,81000,89000,71500,75500,45,43600,110,102000,50,50400
Naiscoutaing 17A,,0,,0,,0,,,,,,
Nak'azdli,205,190,66000,53200,62800,52000,55,25200,145,86000,60,26600
Nakamun Park,,,,,,,,,,,,
Nakusp,760,760,64500,55200,59200,50800,280,30800,450,92000,310,31600
Nampa,170,155,79000,78500,71000,68500,65,34000,90,110000,80,41600
Namur,295,270,48000,43600,45600,41200,105,24000,180,72500,115,24600
Nanaimo,43165,39165,75500,66000,68500,58800,13510,40400,27065,99000,16095,44800
Nanaimo A,3130,2990,86000,77500,77500,68000,720,40800,2260,104000,870,46400
Nanaimo B,2375,2140,60400,51600,56000,46800,865,34400,1400,79000,975,37200
Nanaimo C,1235,1055,102000,91000,88000,80000,240,40000,955,120000,280,44800
Nanaimo E,3070,2815,94000,86000,83000,75000,640,46800,2350,109000,720,51200
Nanaimo F,3670,3375,69000,59200,62800,53200,1085,31800,2415,87000,1265,36400
Nanaimo G,3575,3390,85000,78500,76500,69000,765,43200,2705,98000,870,46400
Nanaimo H,2005,1830,68500,58800,63600,53600,560,35200,1375,87000,630,39600
Nanaimo River,95,100,64500,50400,62800,49200,20,,80,71000,20,
Nanaimo Town 1,120,115,70000,45600,65500,45200,20,31000,85,88000,30,33600
Nanisivik,,0,,0,,0,,,,,,
Nanoose,,,,,,,,,,,,
Nantes,610,595,68000,58800,58800,53600,175,38800,420,85000,185,40800
Nanton,955,920,77000,71500,68000,64000,275,37600,635,95000,315,41600
Napierville,1640,1605,80000,68500,68500,60000,470,40000,1125,100000,510,42400
Natashquan,120,130,72000,68500,66000,59200,45,42800,80,91000,45,43200
Natuashish 2,195,215,108000,87000,103000,82000,25,40400,160,116000,40,71000
Naujaat,220,205,101000,83000,96000,79000,30,24800,190,105000,30,26600
Nautley (Fort Fraser) 1,,,,,,,,,,,,
Nazco 20,,,,,,,,,,,,
Necait 6,,0,,0,,0,,,,,,
Nedoats 11,,0,,0,,0,,,,,,
Neebing,940,840,94000,95000,82000,81000,230,55600,695,113000,245,56400
Neepawa,1865,1585,84000,75000,72500,65000,540,33600,1240,109000,625,39200
Neguac,720,710,62400,62000,55600,55200,235,35200,465,84000,255,36400
Neguaguon Lake 25D,,,,,,,,,,,,
Neilburg,160,155,71000,82000,62400,68000,55,42400,100,103000,65,42400
Nekalliston 2,,0,,0,,0,,,,,,
Nekaneet Cree Nation,,,,,,,,,,,,
Nekliptum 1,,,,,,,,,,,,
Nelson,395,390,70500,71500,64000,63200,100,31000,280,90000,115,36000
Nelson,4950,4825,72500,61200,65500,54800,1740,38800,2810,99000,2140,46400
Nelson House 170,485,480,66000,56800,65000,55600,55,21800,415,72500,65,33600
Nemaska,,0,,0,,0,,,,,,
Nemaska,220,205,106000,94000,101000,94000,25,86000,185,112000,30,83000
Nenagwas 12,,0,,0,,0,,,,,,
Nequatque,,0,,0,,0,,,,,,
Nesikep 6,,0,,0,,0,,,,,,
Neskantaga,,,,,,,,,,,,
Neskonlith,100,,70500,,69000,,20,,75,87000,25,33600
Nesuch 3,,,,,,,,,,,,
Netherhill,,0,,0,,0,,,,,,
Neudorf,135,135,58800,45600,52800,41600,60,26800,70,89000,65,27800
Neuville,1890,1820,98000,90000,82000,75000,475,45200,1375,116000,510,47600
Neville,,,,,,,,,,,,
New Bandon,585,580,55200,54800,50400,49600,195,30800,370,76000,210,32400
New Carlisle,605,575,59200,48400,52400,45600,215,27200,370,78500,235,28800
New Credit (Part) 40A,,,,,,,,,,,,
New Credit (Part) 40A,200,190,66000,67000,62000,64500,35,36400,160,71500,40,36400
New Denver,245,245,46400,44000,45200,40000,105,28600,130,66000,120,31400
New Glasgow,1710,1495,81000,74000,70500,63600,385,38000,1280,94000,425,39200
New Glasgow,4445,4210,58000,54800,52400,48800,1785,31400,2495,85000,1955,34000
New Hazelton,265,265,66500,54000,62000,48800,95,37600,160,92000,110,40000
New London,635,540,88000,85000,75000,72000,150,42000,470,102000,165,46000
New Maryland,1040,975,104000,95000,87000,81000,140,46400,880,112000,160,50800
New Maryland,1530,1495,116000,111000,98000,92000,215,56000,1290,128000,240,57600
New Perlican,,,,,,,,,,,,
New Post 69A,,,,,,,,,,,,
New Richmond,1715,1665,63600,59200,57600,52000,595,29800,1080,86000,635,32000
New Ross 20,,0,,0,,0,,,,,,
New Songhees 1A,935,895,59200,52000,55200,46800,375,37600,480,80000,450,42800
New Tecumseth,15850,12905,104000,93000,90000,80000,3145,49600,12255,119000,3600,54000
New Westminster,36095,32710,82000,70000,72500,60800,13275,47600,20590,113000,15505,52000
New-Wes-Valley,905,915,69000,70500,60800,62400,205,32800,685,83000,215,35600
Newbury,185,180,73000,60800,66500,56800,55,38000,125,89000,60,38800
Newcastle,480,470,67000,65000,59600,57200,125,28400,350,82000,130,30400
Newcombe No. 260,110,110,90000,98000,82000,83000,25,51600,80,113000,25,51600
Newell County,2400,2410,92000,98000,81000,86000,470,44800,1860,103000,540,48400
Newmarket,30300,28675,110000,103000,95000,89000,5530,45200,23875,128000,6425,50400
Newport,315,315,53600,52000,48800,46400,110,30600,205,73500,115,32800
Neyaashiinigmiing 27,250,250,42800,32000,42400,31400,90,24200,150,59600,100,25400
Niagara Falls,37795,35775,74500,65500,67500,59600,10555,36400,25595,93000,12200,40000
Niagara-on-the-Lake,7860,7090,98000,93000,86000,80000,1885,47600,5780,118000,2075,50000
Nickel Palm 4,,0,,0,,0,,,,,,
Nickeyeah 25,,0,,0,,0,,,,,,
Nicola Lake 1,,,,,,,,,,,,
Nicola Mameet 1,195,195,57600,35600,57600,34800,60,25200,130,87000,70,25200
Nicolet,3750,3545,66000,59200,58000,52400,1435,36400,2230,93000,1525,38000
Nicomen 1,,,,,,,,,,,,
Nigadoo,435,405,70500,66000,62400,58000,110,32800,315,88000,120,36400
Nimpkish 2,,0,,0,,0,,,,,,
Nipawin,1920,1920,66000,59200,60800,54000,635,32400,1220,88000,700,34800
Nipawin No. 487,390,400,86000,86000,74500,74000,80,39200,305,98000,85,40400
Nipigon,660,720,71500,61600,64500,57200,215,41600,430,90000,235,41600
Nipissing,745,705,83000,76000,73500,67500,155,50000,575,94000,175,50800
Nipissing 10,705,665,67000,54000,62000,51200,200,30000,480,84000,220,34000
"Nipissing, Unorganized, North Part",725,795,71500,66000,66000,58400,200,37600,500,87000,225,41600
"Nipissing, Unorganized, South Part",,,,,,,,,,,,
Nippers Harbour,,,,,,,,,,,,
Nisga'a,575,575,81000,61600,74000,55200,115,25800,440,93000,130,32000
Niverville,1975,1555,102000,98000,87000,82000,315,46800,1620,114000,345,48800
Nkaih 10,,0,,0,,0,,,,,,
Nobleford,445,405,87000,84000,78000,75000,60,51200,370,94000,70,54400
Nohomeen 23,,0,,0,,0,,,,,,
Nokomis,175,190,58800,55600,54000,52400,65,32000,110,88000,70,32400
Nominingue,1180,1040,56800,51200,50800,45600,465,34800,670,78000,510,36400
Nooaitch 10,,,,,,,,,,,,
Noonla 6,,0,,0,,0,,,,,,
Norfolk County,27595,26010,82000,73000,72000,65000,7370,40800,19525,100000,8070,43200
Norfolk-Treherne,645,665,78000,70500,67000,61600,190,40000,430,100000,210,42800
Norglenwold,135,110,111000,123000,95000,97000,25,65000,100,135000,30,65000
Norman Wells,270,315,160000,166000,122000,137000,85,92000,170,196000,95,100000
Norman's Cove-Long Cove,295,285,62800,69000,54800,62800,70,26600,220,77500,75,28000
Normandin,1315,1330,67000,59600,58800,52400,435,36000,850,88000,460,38400
Normétal,360,375,56000,42400,51600,39600,135,24200,220,86000,140,24800
Norquay,190,210,47200,44000,44800,42000,80,27200,110,76500,75,27600
Norris Arm,335,350,53200,51200,47600,48000,95,25400,230,64500,100,26200
Norris Beach,,0,,0,,0,,,,,,
Norris Point,260,285,72500,68000,61600,58400,60,34000,200,82000,70,35600
North Algona Wilberforce,1295,1245,82000,74000,74000,65000,295,40800,975,98000,320,43600
North Battleford,,,,,,,,,,,,
North Battleford,5695,5895,74000,67500,66000,60000,1925,39600,3510,97000,2190,42400
North Battleford No. 437,265,275,100000,92000,88000,81000,45,47200,210,114000,55,47600
North Bay,23465,22610,72000,65500,64500,58800,7910,37200,14285,97000,9185,41200
North Bay 5,,,,,,,,,,,,
North Coast A,,,,,,,,,,,,
North Coast C,,0,,0,,0,,,,,,
North Coast D,255,0,75500,0,68500,0,90,42800,160,108000,95,43200
North Coast E,160,160,69500,56800,60400,52400,70,37600,85,93000,75,41200
North Cowichan,13740,12770,78500,69500,71000,61200,3895,39600,9275,99000,4465,42800
North Cypress-Langford,905,840,93000,87000,79500,75000,175,42000,715,108000,185,42400
North Dumfries,3690,3535,128000,120000,108000,102000,540,52800,3090,141000,605,56000
North Dundas,4535,4480,90000,85000,79000,74000,1140,45200,3275,110000,1260,47600
North Frontenac,1135,925,68000,56400,61200,52000,365,36000,730,84000,400,39200
North Glengarry,4420,4315,71000,64500,63200,57600,1375,33200,2910,90000,1510,37200
North Grenville,7040,6440,108000,97000,92000,84000,1445,52400,5420,126000,1615,54800
North Grove,,,,,,,,,,,,
North Hatley,320,300,73500,61600,63600,54000,125,44800,185,107000,130,46800
North Huron,2160,2085,76000,67500,67500,60000,675,36000,1425,97000,735,38000
North Kawartha,1360,1115,73000,62800,66000,57200,435,36800,890,92000,470,39200
North Lake,160,,60400,,56000,,65,34800,90,79500,70,37600
North Middlesex,2390,2335,89000,85000,79000,74000,565,38800,1785,106000,600,40400
North Norfolk,1350,1300,71000,68000,63200,59200,335,34800,980,87000,375,39200
North Okanagan B,1290,1285,82000,75500,74500,67500,295,33200,940,103000,350,38800
North Okanagan C,1715,1500,105000,89000,91000,77500,325,50400,1335,119000,385,55200
North Okanagan D,1170,1105,77000,66000,70000,58800,260,30400,870,97000,300,35200
North Okanagan E,450,430,52800,49200,49600,44400,125,25200,305,67500,145,28600
North Okanagan F,1790,1740,72000,62800,65500,55600,445,32000,1280,90000,510,37200
North Perth,5960,5100,84000,76000,74500,67500,1490,40800,4310,102000,1650,43600
North Portal,,,,,,,,,,,,
North Qu'Appelle No. 187,430,370,101000,93000,86000,81000,95,44800,335,119000,100,44800
North River,260,240,69000,75500,61200,66500,70,38400,185,85000,80,40400
North River,,0,,0,,0,,,,,,
North Rustico,150,110,81000,64500,69500,56800,35,60800,115,93000,35,60000
North Rustico,320,280,56800,54000,52000,49200,110,31600,205,72000,120,32000
North Saanich,5010,4625,121000,112000,104000,95000,945,59200,3975,137000,1040,60800
North Shore,980,885,98000,86000,82000,73000,190,48800,765,112000,215,51200
North Shore,555,505,93000,85000,79000,73500,115,38800,415,115000,135,45600
North Slope,,0,,0,,0,,,,,,
North Spirit Lake,80,80,25400,40400,25400,40400,15,,55,32400,30,21600
North Stormont,2855,2630,91000,83000,81000,72500,615,42400,2155,107000,700,47200
North Tacla Lake,,,,,,,,,,,,
North Thompson 1,,,,,,,,,,,,
North Vancouver,32700,31115,123000,113000,106000,96000,6745,52400,24995,150000,7705,57200
North Vancouver,27295,24645,86000,72500,75500,63200,10235,50400,15825,118000,11470,54000
North West River,245,250,94000,100000,80000,84000,75,46000,165,115000,80,47600
North Wiltshire,,0,,0,,0,,,,,,
Northampton,725,670,79000,75500,70000,65500,150,34800,550,96000,175,37200
Northeastern Manitoulin and the Islands,1205,1180,75500,65500,67500,59200,360,40000,820,98000,385,42000
Northern Arm,165,185,71000,65500,62400,58000,25,32400,140,77000,25,42400
Northern Bruce Peninsula,2210,1935,69500,65000,62800,58400,745,39600,1430,88000,780,41200
Northern Lights County,1560,1535,88000,91000,79500,80000,360,38400,1165,104000,395,46000
Northern Rockies,1690,1980,84000,101000,76500,87000,560,46800,1080,109000,615,50400
Northern Sunrise County,660,715,104000,108000,91000,93000,135,49200,515,121000,145,49600
Northesk,970,965,72500,67500,63200,59600,255,32000,695,88000,275,34000
Northfield,260,280,60400,56000,55600,50400,80,28800,175,78500,90,31800
Northport,,,,,,,,,,,,
Northwest Angle 33B,,,,,,,,,,,,
Norton,530,510,78000,68500,68000,59600,105,36000,410,92000,115,39200
Norton,550,525,70000,71000,63200,62400,130,30800,400,84000,150,36800
Norton No. 69,,,,,,,,,,,,
Norway House 17,1195,1100,70500,50800,70000,50400,125,32400,1030,78500,165,40400
Norwich,3760,3670,95000,85000,84000,75500,680,44400,3020,108000,740,46800
Notre-Dame-Auxiliatrice-de-Buckland,380,360,58800,56400,52400,51600,140,32400,235,78000,145,33200
Notre-Dame-de-Bonsecours,135,145,70500,51200,58800,47200,40,35600,90,100000,45,36800
Notre-Dame-de-Ham,200,195,55600,46800,48400,42800,85,30000,110,90000,90,30400
Notre-Dame-de-Lorette,,,,,,,,,,,,
Notre-Dame-de-Lourdes,110,110,64500,67000,57200,60000,30,28600,75,89000,35,32800
Notre-Dame-de-Lourdes,330,305,73000,60400,64500,54800,90,30000,230,89000,100,31400
Notre-Dame-de-Lourdes,1300,1195,71500,61600,62800,55200,360,34000,885,88000,410,38400
Notre-Dame-de-Montauban,440,395,48400,42800,45200,39600,190,26600,250,66000,200,28800
Notre-Dame-de-Pontmain,410,375,56000,53200,51200,47600,140,29600,255,74000,155,30400
Notre-Dame-de-Stanbridge,280,280,72500,64500,64500,58000,85,34800,190,95000,90,36400
Notre-Dame-de-l'Île-Perrot,4070,3750,120000,113000,99000,92000,610,53600,3400,132000,675,56000
Notre-Dame-de-la-Merci,620,485,58800,50400,52400,45600,275,40400,320,83000,295,41600
Notre-Dame-de-la-Paix,305,285,52000,46800,47600,43600,115,31200,170,72000,130,34400
Notre-Dame-de-la-Salette,380,330,70500,57200,61600,52400,120,38800,260,87000,120,40400
Notre-Dame-des-Anges,,,,,,,,,,,,
Notre-Dame-des-Bois,470,405,53600,44800,49200,42400,175,32000,280,70000,190,32400
Notre-Dame-des-Monts,335,320,70500,66000,60800,57600,80,40000,245,89000,90,41600
Notre-Dame-des-Neiges,575,510,62000,59600,54800,52000,190,39200,375,80000,200,40800
Notre-Dame-des-Pins,745,640,81000,69500,68500,59600,215,44800,510,97000,235,46400
Notre-Dame-des-Prairies,4445,4250,70500,66500,62000,57600,1500,39600,2825,92000,1620,41600
Notre-Dame-des-Sept-Douleurs,,0,,0,,0,,,,,,
Notre-Dame-du-Bon-Conseil,710,660,71000,57200,61600,51600,235,37200,455,95000,260,39200
Notre-Dame-du-Bon-Conseil,395,400,66000,62800,58400,54800,110,36000,275,86000,115,36000
Notre-Dame-du-Laus,935,790,56800,50400,50800,46000,380,33600,535,79000,395,34800
Notre-Dame-du-Mont-Carmel,2555,2370,76000,69000,66000,60000,685,42800,1810,95000,745,44000
Notre-Dame-du-Nord,510,490,58000,51200,51600,45200,200,40000,295,76000,215,41200
Notre-Dame-du-Portage,600,530,81000,76500,70500,65500,175,37200,410,109000,190,38400
Notre-Dame-du-Rosaire,200,205,49600,43200,43200,40000,90,30600,105,72000,95,32000
Notre-Dame-du-Sacré-Coeur-d'Issoudun,355,335,80000,76000,68500,65000,90,41200,250,98000,95,43200
Nouvelle,830,745,63200,58000,56400,52000,275,32800,535,84000,290,35200
Noyan,645,595,65000,56000,56400,49600,220,33200,395,83000,245,36400
Numukamis 1,,0,,0,,0,,,,,,
Nutashkuan,225,200,117000,79000,115000,79000,30,41200,200,124000,30,48000
Nuuautin 2,,0,,0,,0,,,,,,
Nédélec,150,160,63200,54400,55600,49200,40,25400,110,78500,45,26600
O'Chiese 203,225,190,60800,47600,60800,47600,50,24600,160,74000,65,26000
O'Connor,275,260,104000,98000,90000,85000,50,52000,215,118000,55,54400
O'Leary,375,355,47200,41200,42800,38400,150,23800,205,70500,165,25000
O'Leary,1030,980,69500,62000,61600,54400,235,35600,775,83000,260,37200
O-Pipon-Na-Piwin Cree Nation 1,50,0,51200,0,51200,0,5,,45,65500,5,
Oak Bay,7805,7740,107000,101000,93000,86000,2430,49200,5145,149000,2665,52000
Oakdale No. 320,,95,,112000,,93000,,,,,,
Oakland-Wawanesa,625,610,90000,88000,76500,75000,145,44800,475,106000,150,45200
Oakview,780,625,74000,73000,64000,63200,215,38400,555,92000,225,38400
Oakville,73560,66270,128000,123000,108000,103000,13425,55200,58460,152000,15100,58800
Obadjiwan 15E,,0,,0,,0,,,,,,
Obedjiwan 28,425,415,71000,64500,70500,64500,40,28600,370,77000,55,28600
Obushkudayang,285,0,43600,0,43200,0,55,20800,210,47200,70,21000
Ocean Man 69,,,,,,,,,,,,
Ocean Man 69A,,0,,0,,0,,,,,,
Ocean Man 69C,,0,,0,,0,,,,,,
Ocean Man 69D,,0,,0,,0,,,,,,
Ocean Man 69E,,0,,0,,0,,,,,,
Ocean Man 69F,,0,,0,,0,,,,,,
Ocean Man 69G,,0,,0,,0,,,,,,
Ocean Man 69H,,0,,0,,0,,,,,,
Ocean Man 69I,,0,,0,,0,,,,,,
Ochapowace 71,150,125,46400,37600,46400,37600,35,22800,110,64000,45,23800
Ochapowace 71-10,,0,,0,,0,,,,,,
Ochapowace 71-18,,0,,0,,0,,,,,,
Ochapowace 71-54,,0,,0,,0,,,,,,
Ochapowace 71-7,,0,,0,,0,,,,,,
Oclucje 7,,0,,0,,0,,,,,,
Odanak,225,210,53600,44000,51200,41200,80,29800,135,78000,90,32800
Odessa,,,,,,,,,,,,
Ogden,355,320,68000,60800,60400,54400,110,42800,235,83000,120,44000
Ogema,155,170,62400,56800,58400,52400,40,38400,105,78500,50,41600
Ohamil 1,,,,,,,,,,,,
Oil Springs,265,270,91000,82000,82000,72500,55,47200,205,103000,65,56800
Ojibway Nation of Saugeen (Savant Lake),,,,,,,,,,,,
Oka,1615,1565,86000,77000,74000,66000,420,38400,1155,106000,460,39600
Okanagan (Part) 1,1615,1380,64000,58400,60000,54000,410,38400,1145,74000,470,39600
Okanagan (Part) 1,,,,,,,,,,,,
Okanagan-Similkameen A,875,800,82000,72500,74500,64000,185,40800,645,91000,230,48400
Okanagan-Similkameen B,470,450,66000,50800,60800,47600,130,29400,315,85000,160,32800
Okanagan-Similkameen C,1700,1530,68500,60800,63600,54800,475,32000,1155,88000,545,35200
Okanagan-Similkameen D,1845,1720,77000,72000,69500,64500,450,36400,1325,93000,520,41200
Okanagan-Similkameen E,890,830,90000,78500,81000,69000,200,48800,670,106000,220,50400
Okanagan-Similkameen F,795,760,106000,102000,94000,89000,115,44800,665,121000,130,51600
Okanagan-Similkameen G,1140,1085,50400,45200,48400,42000,380,28400,685,68000,450,30400
Okanagan-Similkameen H,1060,925,72000,64500,66000,57600,340,37200,700,86000,360,38000
Okanagan-Similkameen I,975,885,90000,86000,80000,75500,200,41600,740,105000,230,44000
Okanese 82,,,,,,,,,,,,
Okotoks,10480,9685,117000,126000,100000,105000,1685,52000,8525,133000,1950,57200
Old Crow,,,,,,,,,,,,
Old Fort 217,,0,,0,,0,,,,,,
Old Perlican,250,235,73000,82000,62000,69500,70,34000,180,96000,75,35600
Old Post No. 43,130,150,56400,74000,53200,66000,35,25400,95,67500,35,26200
Olds,3810,3695,82000,85000,74000,75000,1115,42400,2515,106000,1295,47600
Oliver,2310,2155,68500,59200,62400,53200,705,34000,1515,87000,795,38000
Oliver Paipoonge,2325,2240,108000,105000,93000,90000,430,49200,1840,126000,480,52400
Omineca 1,,0,,0,,0,,,,,,
One Arrow 95,155,165,54800,33600,54000,33600,15,,135,59200,20,23000
One Arrow 95-1A,,0,,0,,0,,,,,,
One Arrow 95-1C,,0,,0,,0,,,,,,
One Arrow 95-1D,,0,,0,,0,,,,,,
One Hundred Mile House,905,890,52000,46800,48800,43200,365,32000,495,72500,415,33600
Oneida 41,,0,,0,,0,,,,,,
Onoway,360,355,84000,97000,73000,83000,105,47600,245,108000,115,53200
Opasatika,,,,,,,,,,,,
Opaskwayak Cree Nation 21A,,,,,,,,,,,,
Opaskwayak Cree Nation 21B,85,0,87000,0,87000,0,15,,75,87000,15,
Opaskwayak Cree Nation 21C,,0,,0,,0,,,,,,
Opaskwayak Cree Nation 21D,,0,,0,,0,,,,,,
Opaskwayak Cree Nation 21E,555,600,70000,52000,68500,50800,80,25200,465,78500,95,25200
Opaskwayak Cree Nation 21I,,95,,119000,,102000,,,,,,
Opaskwayak Cree Nation 21N,,0,,0,,0,,,,,,
Opaskwayak Cree Nation 27A,,0,,0,,0,,,,,,
Opitsat 1,,,,,,,,,,,,
Opportunity No. 17,1075,1000,89000,83000,82000,75500,245,41200,790,103000,285,46000
Orangeville,11055,10565,103000,92000,89000,79500,2485,44800,8230,123000,2825,49200
Oregon Jack Creek 5,,0,,0,,0,,,,,,
Orford,2245,1905,99000,87000,81000,72500,650,49600,1575,121000,670,51200
Orillia,14420,13475,71000,60400,64000,54400,4775,37200,8955,92000,5470,41600
Orkney No. 244,755,730,90000,93000,79000,82000,170,45200,570,107000,185,46000
Ormstown,1705,1545,65000,57200,57200,50800,565,34800,1085,85000,625,37600
Oro-Medonte,8640,7990,114000,104000,98000,89000,1440,47600,7020,130000,1615,52400
Oromocto,3660,3460,91000,83000,78000,71000,970,57600,2435,106000,1230,63600
Oromocto 26,110,100,63200,42400,60800,42000,30,34000,80,74000,30,34000
Osage,,0,,0,,0,,,,,,
Oshawa,66635,62595,86000,76000,76000,67000,16845,42000,46415,105000,20215,46400
Osler,420,400,98000,97000,85000,84000,50,34000,355,108000,60,46800
Osnaburgh 63A,,,,,,,,,,,,
Osnaburgh 63B,105,85,39200,48400,39200,48400,0,,95,41200,10,
Osoyoos,2645,2475,66000,56800,60800,51200,880,36800,1665,84000,985,40000
Osoyoos 1,565,355,73000,55600,68000,51600,120,33600,430,85000,135,38400
Otonabee-South Monaghan,2730,2595,97000,86000,84000,76000,545,43200,2125,111000,605,45200
Ottawa,407255,373755,102000,93000,88000,80000,116370,55600,268730,131000,138525,59600
Otter Lake,520,430,49600,46000,46400,42800,210,24400,305,71000,215,24600
Otterburn Park,3335,3255,104000,96000,87000,79000,740,51200,2535,120000,800,52800
Oujé-Bougoumou,215,205,101000,96000,98000,91000,30,52800,180,124000,35,58800
Outlook,1000,970,74000,68000,65500,60400,345,34800,615,95000,390,37600
Owen Sound,9895,9630,63200,55200,57600,50800,3780,34000,5775,87000,4125,36000
Oxbow,490,510,95000,107000,79000,88000,145,46400,335,116000,155,47200
Oxford,535,530,60400,50000,53200,45600,195,28800,315,81000,215,32000
Oxford House 24,,350,,40000,,40000,,,,,,
Oyen,350,400,80000,75000,71500,65500,115,37200,230,108000,125,38400
Oyster Bay 12,,,,,,,,,,,,
Pabineau 11,,,,,,,,,,,,
Packington,275,255,56000,57200,52400,52400,85,28200,180,77500,95,28400
Pacquet,,,,,,,,,,,,
Paddockwood,,,,,,,,,,,,
Paddockwood No. 520,455,380,84000,81000,75500,71500,100,37200,345,100000,110,37600
Padoue,115,,60400,,54000,,30,34000,80,75500,30,34800
Paintearth County No. 18,650,635,85000,92000,74000,81000,150,45600,495,97000,155,46000
Pakuashipi,,,,,,,,,,,,
Palling 1,,0,,0,,0,,,,,,
Palmarolle,595,575,78000,74500,67500,64000,155,40000,430,102000,165,41200
Pangman,,,,,,,,,,,,
Pangnirtung,395,415,102000,81000,92000,75500,65,52000,310,114000,85,55600
Papineau-Cameron,410,420,73500,64000,66000,58800,95,32000,295,94000,110,42800
Papineauville,1020,965,66000,57200,58000,51200,360,33200,625,87000,395,35200
Papyum 27,,0,,0,,0,,,,,,
Paqtnkek-Niktuek No. 23,135,130,47600,29200,47200,29200,40,24800,85,59200,50,28600
Paquetville,1045,1030,52800,44800,48000,42400,320,25800,650,67500,390,32000
Paquetville,325,315,55600,52800,50400,47600,125,25800,195,82000,130,27600
Paqulh,,0,,0,,0,,,,,,
Paradise,8815,8040,111000,116000,92000,96000,1775,50000,6760,130000,2055,54000
Paradise Hill,195,200,81000,84000,72000,70500,55,30800,135,103000,60,34400
Paradise Valley,,,,,,,,,,,,
Parisville,180,230,61600,54800,56000,50400,65,32000,110,86000,70,32000
Parkdale No. 498,315,265,72000,78000,65000,69500,80,34000,225,86000,85,34400
Parkers Cove,,,,,,,,,,,,
Parkland Beach,,,,,,,,,,,,
Parkland County,11915,11875,115000,124000,98000,103000,2040,48000,9570,133000,2345,52800
Parkside,,,,,,,,,,,,
Parksville,6750,6055,66500,60000,61200,54000,2340,36400,4195,87000,2555,38800
Parry Island First Nation,135,125,68000,46400,68000,46000,35,22400,95,80000,40,22600
Parry Sound,3195,2930,62000,55200,56400,50800,1290,34800,1780,89000,1415,37600
"Parry Sound, Unorganized, Centre Part",1265,1045,57600,52000,52800,48400,430,32800,805,72500,460,33600
"Parry Sound, Unorganized, North East Part",,,,,,,,,,,,
Parson's Pond,180,160,56800,44000,51600,41200,55,24200,110,78000,60,25400
Pasadena,1495,1480,83000,89000,71500,76500,310,39200,1150,97000,340,42000
Pashilqua 2,,,,,,,,,,,,
Paska Island 3,,0,,0,,0,,,,,,
Paspébiac,1410,1430,61200,59200,55600,52400,445,29200,925,86000,480,31600
Pasqua 79,195,175,51200,26400,51200,26400,50,17000,140,64500,60,20400
Passes-Dangereuses,,0,,0,,0,,,,,,
Patuanak,,,,,,,,,,,,
Pauingassi First Nation,,0,,0,,0,,,,,,
Paul's Basin 2,,0,,0,,0,,,,,,
Paulatuk,80,90,107000,82000,99000,78000,15,,60,120000,20,89000
