"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"EPSOM AND EWELL","1087","525000","21.71113155473781","31.002759889604416","15.271389144434222","28.334866605335787","1.0119595216191353"
"WEST NORTHAMPTONSHIRE","7254","290000","31.94099807003033","29.721532947339398","26.054590570719604","7.857733664185277","13.771712158808933"
"SOMERSET","9957","275000","29.46670683940946","26.413578387064376","26.041980516219745","10.806467811589837","8.81791704328613"
"EAST HAMPSHIRE","2031","425000","36.779911373707534","22.648941408173314","20.33481043820778","13.884785819793205","10.142786804529788"
"FOLKESTONE AND HYTHE","1998","303940","21.72172172172172","23.873873873873872","24.074074074074073","22.772772772772772","10.21021021021021"
"READING","2571","340000","9.879424348502528","20.692337611824193","31.077401789187086","33.877868533644495","2.4893037728510308"
"CITY OF BRISTOL","7027","333500","4.055784829941653","19.012380816849294","38.38053223281628","32.73089511882738","3.5577059911768893"
"LEWISHAM","3607","450000","1.6634322151372332","8.511228167452176","30.91211533130025","53.812032159689494","2.800110895481009"
"SOUTHWARK","3716","555000","1.2109795479009688","4.144241119483316","17.65339074273412","71.79763186221744","8.153928955866522"
"EALING","4086","500000","3.206069505628977","14.733235438081254","25.721977484092022","50.09789525208027","12.090063631913852"
"NORTH WEST LEICESTERSHIRE","2083","265000","46.13538166106577","29.188670187229956","17.95487277964474","2.2083533365338455","19.9711953912626"
"SWALE","2511","300000","23.536439665471924","30.46594982078853","32.0589406610912","8.363201911589009","12.027080844285145"
"LANCASTER","2363","190000","17.774016081252643","34.82860770207363","29.750317393144307","12.187896741430386","6.686415573423614"
"LEICESTER","2986","230250","10.683188211654388","31.480241125251172","39.484259879437374","11.821835231078365","1.707970529135968"
"BABERGH","1627","325000","38.47572218807621","27.96558082360172","22.618315918869083","4.1180086047941","16.4720344191764"
"TOWER HAMLETS","3758","503753.5","0.15965939329430548","0.3991484832357637","6.732304417243214","87.97232570516232","23.390101117615753"
"SOUTH TYNESIDE","2218","142250","9.107303877366997","32.14607754733995","33.63390441839495","16.591523895401263","4.283137962128043"
"HILLINGDON","3189","480000","11.414236437754782","31.89087488240828","24.239573534023204","26.183756663530886","2.132329883976168"
"CAMBRIDGE","1471","495000","11.556764106050306","21.074099252209383","35.010197144799456","27.804214819850444","3.1271244051665534"
"ASHFORD","2095","335000","32.315035799522676","25.48926014319809","24.439140811455847","12.171837708830548","12.267303102625299"
"IPSWICH","2031","232000","13.293943870014772","37.813884785819795","26.93254554406696","18.21762678483506","3.8404726735598227"
"BRACKNELL FOREST","2047","400000","22.178798241328774","20.81094284318515","30.434782608695652","23.106985832926235","13.48314606741573"
"WREXHAM","1779","190000","31.534569983136592","31.815626756604836","23.102866779089375","6.745362563237774","6.520517144463182"
