"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"REDCAR AND CLEVELAND","2308","152525","19.584055459272097","42.287694974003465","29.636048526863085","3.5961871750433274","8.015597920277296"
"WEST BERKSHIRE","2513","390000","29.526462395543174","26.900119379228013","20.01591723040191","17.4691603660963","8.117787504974135"
"HERTFORDSHIRE","17125","445000","19.521167883211678","23.153284671532848","27.316788321167884","25.016058394160584","9.021897810218977"
"NORFOLK","16291","270000","37.78159720090848","25.148855196120557","22.01215395003376","8.07807992142901","10.275612301270641"
"SOUTH YORKSHIRE","21800","180000","20.19724770642202","37.62385321100918","27.922018348623855","9.05045871559633","9.637614678899082"
"SHROPSHIRE","5380","270000","37.9182156133829","27.9182156133829","19.219330855018587","7.026022304832714","11.003717472118959"
"CITY OF KINGSTON UPON HULL","4061","128000","7.978330460477715","23.811868997783797","55.77443979315439","7.313469588771238","10.490027086924403"
"STOCKTON-ON-TEES","3582","165000","30.681183696259072","35.73422668900056","25.907314349525404","3.936348408710218","13.2607481853713"
"CARMARTHENSHIRE","2688","182500","32.47767857142857","30.357142857142858","25.40922619047619","0.7440476190476191","4.464285714285714"
"WREXHAM","1779","190000","31.534569983136592","31.815626756604836","23.102866779089375","6.745362563237774","6.520517144463182"
"CEREDIGION","1044","238250","39.17624521072797","21.64750957854406","22.03065134099617","4.406130268199234","2.2988505747126435"
"SOUTH GLOUCESTERSHIRE","4897","340000","24.402695527874208","29.528282622013478","26.32223810496222","14.94792730243006","13.355115376761283"
"POWYS","1991","245000","41.78804620793571","20.743345052737318","21.295831240582622","2.5113008538422905","5.424409844299347"
"WEST YORKSHIRE","36419","196870","16.768719624371894","34.42433894395782","33.150278700678214","10.799308053488563","8.50380295999341"
"CITY OF BRISTOL","7027","333500","4.055784829941653","19.012380816849294","38.38053223281628","32.73089511882738","3.5577059911768893"
"SWINDON","3972","272000","19.46122860020141","27.416918429003022","34.919436052366564","13.947633434038268","12.386706948640484"
"GREATER LONDON","106341","510500","4.200637571585748","13.364553652871423","25.359927027204936","51.23517740100244","7.055604141394194"
"DENBIGHSHIRE","1508","187250","39.05835543766578","30.83554376657825","16.379310344827587","5.172413793103448","7.427055702917772"
"MIDDLESBROUGH","2543","130000","18.993314982304366","35.23397561934723","37.12151002752654","4.758159653952025","12.033031852143138"
"LEICESTER","2986","230250","10.683188211654388","31.480241125251172","39.484259879437374","11.821835231078365","1.707970529135968"
"NORTH LINCOLNSHIRE","2723","170000","36.981270657363204","39.29489533602644","16.195372750642672","2.2034520749173705","7.565185457216305"
"WORCESTERSHIRE","9707","280000","32.37869578654579","30.225610384258783","21.73689090347172","9.570413103945606","8.787472957659421"
"OXFORDSHIRE","11318","399950","29.254285209400955","28.423749779112917","22.168227602049832","14.755257112564058","13.580137833539494"
"WEST SUSSEX","14745","377500","27.392336385215327","24.58460495083079","21.47168531705663","21.13936927772126","8.640217022719566"
"CHESHIRE WEST AND CHESTER","6065","250000","29.332234130255564","33.43775762572135","22.192910140148392","9.282769991755977","8.936521022258862"
"SLOUGH","1464","365000","8.19672131147541","20.42349726775956","29.439890710382514","37.90983606557377","11.953551912568306"
"CHESHIRE EAST","7956","285000","32.81799899446958","28.758169934640524","24.283559577677224","8.62242332830568","12.908496732026144"
"HALTON","1950","167000","22.205128205128204","29.794871794871796","32.41025641025641","10.923076923076923","7.384615384615385"
"HARTLEPOOL","2060","124997.5","22.184466019417474","25.533980582524272","44.85436893203884","3.495145631067961","13.83495145631068"
"CAERPHILLY","2503","180000","16.540151817818618","34.71833799440671","40.83100279664403","2.397123451857771","6.272473032361167"
"CITY OF PETERBOROUGH","3113","240000","30.356569225827176","29.103758432380342","26.469643430774173","8.898168968840347","13.941535496305814"
"BRACKNELL FOREST","2047","400000","22.178798241328774","20.81094284318515","30.434782608695652","23.106985832926235","13.48314606741573"
"BRIDGEND","2221","205000","24.40342188203512","36.515083295812694","30.571814497973886","4.187303016659163","3.5569563259792885"
"GWYNEDD","1943","185000","28.152341739577974","16.46937725167267","36.33556356150283","5.249613998970664","0.6690684508492023"
"WEST NORTHAMPTONSHIRE","7254","290000","31.94099807003033","29.721532947339398","26.054590570719604","7.857733664185277","13.771712158808933"
"WARWICKSHIRE","11257","300000","31.10953184685085","30.75419738829173","22.2172870214089","10.757750732877321","17.92662343430754"
"CITY OF DERBY","3966","200000","22.138174483106404","34.61926374180535","25.56732223903177","13.84266263237519","15.002521432173474"
"CUMBERLAND","5315","165000","25.02351834430856","30.423330197554094","33.41486359360301","4.816556914393226","11.420507996237065"
"MEDWAY","4256","295000","14.215225563909774","25.916353383458645","43.162593984962406","13.322368421052632","8.787593984962406"
"WREKIN","3168","220000","31.376262626262626","33.17550505050505","23.863636363636363","6.0606060606060606","16.91919191919192"
"THE VALE OF GLAMORGAN","2004","272500","22.904191616766468","27.045908183632733","32.53493013972056","11.976047904191617","5.289421157684631"
"SOMERSET","9957","275000","29.46670683940946","26.413578387064376","26.041980516219745","10.806467811589837","8.81791704328613"
"GREATER MANCHESTER","43239","220000","13.073845371077036","31.67279539304794","32.005828071879556","17.370892018779344","9.403547723120331"
"LANCASHIRE","22914","185000","24.1206249454482","29.977306450205116","32.80963603037444","7.467050711355503","10.696517412935323"
"YORK","3403","300000","18.307375844842785","28.85689097854834","27.769615045548047","20.452541874816337","11.724948574786954"
"NOTTINGHAMSHIRE","15369","229500","37.673238336911965","34.413429631075545","18.25753139436528","5.654239052638428","15.15388118940725"
"WEST MIDLANDS","34438","220000","13.604158197340148","34.2209187525408","31.610430338579476","15.639700331029676","6.0166095592078515"
"GLOUCESTERSHIRE","11572","315000","28.784998271690288","28.741790528862772","23.159350155547873","12.616660905634289","10.197027307293467"
"BATH AND NORTH EAST SOMERSET","2992","393000","19.385026737967916","23.02807486631016","30.18048128342246","21.08957219251337","5.247326203208556"
"HEREFORDSHIRE","3114","300000","39.884393063583815","25.27296082209377","17.662170841361593","6.422607578676943","7.578676942838793"
"PEMBROKESHIRE","1899","225000","38.23064770932069","23.06477093206951","22.22222222222222","6.845708267509216","3.949447077409163"
"LUTON","2267","300000","12.615791795324217","38.95015438906043","26.643140714600793","16.144684605205118","3.3083370092633437"
"WOKINGHAM","2889","480000","36.033229491173415","26.65282104534441","17.583939079266184","16.683973693319487","14.57251644167532"
"LINCOLNSHIRE","13668","220000","43.9640035118525","27.216856892010536","18.846941761779338","3.936201346210126","13.337723148961077"
"BLACKBURN WITH DARWEN","2584","159975","21.207430340557277","23.722910216718265","45.588235294117645","3.2120743034055725","14.705882352941176"
"PORTSMOUTH","2887","250000","3.4638032559750607","10.28749567024593","54.97055767232421","26.082438517492207","0.31174229303775547"
"MONMOUTHSHIRE","1542","317885","39.81841763942931","26.134889753566796","19.779507133592737","6.549935149156939","12.645914396887159"
"READING","2571","340000","9.879424348502528","20.692337611824193","31.077401789187086","33.877868533644495","2.4893037728510308"
"CAMBRIDGESHIRE","10800","345000","36.5462962962963","26.74074074074074","21.37962962962963","10.027777777777779","15.027777777777779"
"MERSEYSIDE","22430","180000","13.624609897458761","33.3481943825234","32.12661613909942","15.14489522960321","8.573339277753009"
"NORTH YORKSHIRE","12166","262258","30.461943120170968","28.39881637349992","23.49169817524248","10.644418872266973","12.469176393227027"
"CENTRAL BEDFORDSHIRE","5340","365000","30.149812734082396","29.8876404494382","24.794007490636705","10.936329588014981","15.955056179775282"
"DARLINGTON","2232","150547.5","21.50537634408602","34.274193548387096","33.64695340501792","6.317204301075269","13.306451612903226"
"NORTH NORTHAMPTONSHIRE","6372","255000","32.015065913371","33.34902699309479","24.356559949780287","5.869428750784683","17.812303829252983"
"NEWPORT","2512","222000","22.014331210191084","29.538216560509554","32.76273885350319","10.628980891719745","13.773885350318471"
"DERBYSHIRE","14560","225000","32.369505494505496","34.66346153846154","22.822802197802197","4.450549450549451","13.49587912087912"
"BLAENAU GWENT","883","125000","10.079275198187995","19.365798414496037","62.62740656851642","1.4722536806342015","4.64326160815402"
"RUTLAND","731","350000","46.37482900136799","20.79343365253078","20.930232558139537","4.7879616963064295","9.165526675786595"
