variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
unable_to_work_disability_per1000 vs professional_workers_per1000,county(n=31),corr=-0.684,electoral_division(n=3420),corr=-0.479,similar,yes,yes
unable_to_work_disability_per1000 vs unskilled_workers_per1000,county(n=31),corr=0.737,electoral_division(n=3420),corr=0.481,magnitude_change,yes,yes
unable_to_work_disability_per1000 vs no_formal_education_per1000,county(n=31),corr=0.462,electoral_division(n=3420),corr=0.407,similar,yes,yes
unable_to_work_disability_per1000 vs upper_secondary_per1000,county(n=31),corr=0.448,electoral_division(n=3420),corr=0.204,magnitude_change,yes,yes
unable_to_work_disability_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.761,electoral_division(n=3420),corr=-0.521,magnitude_change,yes,yes
professional_workers_per1000 vs unskilled_workers_per1000,county(n=31),corr=-0.853,electoral_division(n=3420),corr=-0.505,magnitude_change,yes,yes
professional_workers_per1000 vs no_formal_education_per1000,county(n=31),corr=-0.766,electoral_division(n=3420),corr=-0.441,magnitude_change,yes,yes
professional_workers_per1000 vs upper_secondary_per1000,county(n=31),corr=-0.671,electoral_division(n=3420),corr=-0.376,magnitude_change,yes,yes
professional_workers_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=0.961,electoral_division(n=3420),corr=0.809,similar,yes,yes
unskilled_workers_per1000 vs no_formal_education_per1000,county(n=31),corr=0.67,electoral_division(n=3420),corr=0.416,magnitude_change,yes,yes
unskilled_workers_per1000 vs upper_secondary_per1000,county(n=31),corr=0.466,electoral_division(n=3420),corr=0.197,magnitude_change,yes,yes
unskilled_workers_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.853,electoral_division(n=3420),corr=-0.538,magnitude_change,yes,yes
no_formal_education_per1000 vs upper_secondary_per1000,county(n=31),corr=0.372,electoral_division(n=3420),corr=0.097,magnitude_change,yes,yes
no_formal_education_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.751,electoral_division(n=3420),corr=-0.51,magnitude_change,yes,yes
upper_secondary_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.726,electoral_division(n=3420),corr=-0.489,magnitude_change,yes,yes
