variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
avg_entrepreneurial_income vs educational_grant_recipients_per1000,province(n=11),corr=-0.346,kommune(n=98),corr=-0.14,magnitude_change,no,no
avg_entrepreneurial_income vs child_benefit_recipients_per1000,province(n=11),corr=0.401,kommune(n=98),corr=-0.062,reversed,no,no
avg_entrepreneurial_income vs disability_oldage_pension_recipients_per1000,province(n=11),corr=0.062,kommune(n=98),corr=0.138,magnitude_change,no,no
avg_entrepreneurial_income vs public_servants_pension_recipients_per1000,province(n=11),corr=0.243,kommune(n=98),corr=0.175,similar,no,no
avg_entrepreneurial_income vs private_pension_recipients_per1000,province(n=11),corr=0.228,kommune(n=98),corr=0.402,magnitude_change,no,yes
avg_entrepreneurial_income vs capital_income_recipients_per1000,province(n=11),corr=0.285,kommune(n=98),corr=0.027,magnitude_change,no,no
avg_entrepreneurial_income vs land_tax_homeowner_recipients_per1000,province(n=11),corr=0.227,kommune(n=98),corr=0.388,magnitude_change,no,yes
avg_public_transfer_income vs avg_unemployment_benefits,province(n=11),corr=-0.528,kommune(n=98),corr=-0.114,magnitude_change,no,no
avg_public_transfer_income vs avg_cash_benefits,province(n=11),corr=0.074,kommune(n=98),corr=0.352,magnitude_change,no,yes
avg_public_transfer_income vs avg_educational_grants,province(n=11),corr=-0.573,kommune(n=98),corr=-0.351,magnitude_change,no,yes
avg_public_transfer_income vs avg_child_benefits,province(n=11),corr=-0.5,kommune(n=98),corr=-0.749,magnitude_change,no,yes
avg_public_transfer_income vs avg_public_pension,province(n=11),corr=0.962,kommune(n=98),corr=0.949,similar,yes,yes
avg_public_transfer_income vs avg_disability_oldage_pension,province(n=11),corr=0.958,kommune(n=98),corr=0.949,similar,yes,yes
avg_public_transfer_income vs avg_private_pension,province(n=11),corr=0.147,kommune(n=98),corr=-0.122,reversed,no,no
avg_public_transfer_income vs avg_capital_income,province(n=11),corr=-0.616,kommune(n=98),corr=-0.372,magnitude_change,yes,yes
avg_public_transfer_income vs avg_interest_received,province(n=11),corr=-0.678,kommune(n=98),corr=-0.506,similar,yes,yes
avg_public_transfer_income vs avg_income_tax,province(n=11),corr=-0.762,kommune(n=98),corr=-0.627,similar,yes,yes
avg_public_transfer_income vs avg_taxable_income,province(n=11),corr=-0.838,kommune(n=98),corr=-0.703,similar,yes,yes
