variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
single_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=-0.583,commune(n=2130),corr=-0.406,magnitude_change,yes,yes
married_per1000 vs widowed_per1000,canton(n=26),corr=0.229,commune(n=2131),corr=0.002,magnitude_change,no,no
married_per1000 vs divorced_per1000,canton(n=26),corr=-0.65,commune(n=2131),corr=-0.452,magnitude_change,yes,yes
married_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=0.163,commune(n=2131),corr=-0.025,magnitude_change,no,no
married_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=0.499,commune(n=2131),corr=0.313,magnitude_change,yes,yes
married_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=0.567,commune(n=2131),corr=0.316,magnitude_change,yes,yes
married_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.34,commune(n=2130),corr=0.113,magnitude_change,no,yes
widowed_per1000 vs divorced_per1000,canton(n=26),corr=0.105,commune(n=2131),corr=0.171,magnitude_change,no,yes
widowed_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=-0.224,commune(n=2131),corr=-0.395,magnitude_change,no,yes
widowed_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=0.9,commune(n=2131),corr=0.695,similar,yes,yes
widowed_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=0.853,commune(n=2131),corr=0.533,magnitude_change,yes,yes
widowed_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.829,commune(n=2130),corr=0.491,magnitude_change,yes,yes
divorced_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=-0.234,commune(n=2131),corr=-0.292,similar,no,yes
divorced_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=-0.087,commune(n=2131),corr=0.209,reversed,no,yes
divorced_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=-0.166,commune(n=2131),corr=0.073,reversed,no,yes
divorced_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.025,commune(n=2130),corr=0.219,magnitude_change,no,yes
youth_dependency_ratio_per_1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=-0.247,commune(n=2131),corr=-0.336,magnitude_change,no,yes
youth_dependency_ratio_per_1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=0.075,commune(n=2131),corr=0.146,magnitude_change,no,yes
youth_dependency_ratio_per_1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=-0.608,commune(n=2130),corr=-0.557,similar,yes,yes
old_age_dependency_ratio_per_1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=0.948,commune(n=2131),corr=0.882,similar,yes,yes
old_age_dependency_ratio_per_1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.917,commune(n=2130),corr=0.597,magnitude_change,yes,yes
total_dependency_ratio_per_1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.743,commune(n=2130),corr=0.351,magnitude_change,yes,yes
