geo_name,avg_net_income_per_person,avg_household_net_income,avg_income_per_consumption_unit,median_income_per_consumption_unit,avg_gross_income_per_person,avg_household_income
Dénia,12954.0,33138.0,19038.0,16450.0,15785.0,40379.0
Dolores,10176.0,27277.0,15275.0,13650.0,11725.0,31427.0
Elche/Elx,11849.0,31689.0,17876.0,15750.0,14117.0,37755.0
Elda,11198.0,27927.0,16471.0,15050.0,13007.0,32437.0
Facheca,18062.0,37662.0,24886.0,21350.0,22212.0,46315.0
Famorca,,,,,,
Finestrat,13095.0,33102.0,19201.0,16450.0,16051.0,40571.0
Formentera del Segura,9857.0,24307.0,14396.0,12950.0,11269.0,27789.0
Gata de Gorgos,11492.0,31582.0,17309.0,15750.0,13754.0,37798.0
Gaianes,13318.0,31608.0,19445.0,17150.0,15959.0,37875.0
Gorga,14102.0,35445.0,20536.0,18550.0,16579.0,41670.0
Granja de Rocamora,10776.0,31126.0,16586.0,15750.0,12474.0,36029.0
"Castell de Guadalest, el",13690.0,30045.0,19690.0,17850.0,16168.0,35485.0
Guardamar del Segura,12161.0,29421.0,17649.0,15750.0,14546.0,35189.0
"Fondó de les Neus, el/Hondón de las Nieves",12199.0,26759.0,17150.0,15750.0,14261.0,31281.0
Hondón de los Frailes,10490.0,22493.0,14482.0,14350.0,11886.0,25488.0
Ibi,13319.0,33385.0,19834.0,17850.0,16102.0,40362.0
Jacarilla,11758.0,30089.0,17488.0,15750.0,13809.0,35338.0
Xaló,12006.0,29918.0,17659.0,15750.0,14210.0,35409.0
Jávea/Xàbia,12533.0,32978.0,18626.0,15750.0,15505.0,40799.0
Jijona/Xixona,13967.0,32361.0,20102.0,18550.0,16712.0,38722.0
"Lorcha/Orxa, l'",15290.0,34823.0,21817.0,19250.0,18433.0,41982.0
Llíber,12065.0,31496.0,17716.0,15750.0,14294.0,37314.0
Millena,14325.0,30406.0,20367.0,16450.0,16998.0,36080.0
Monforte del Cid,12305.0,31762.0,18535.0,16450.0,14729.0,38019.0
Monóvar/Monòver,10968.0,26954.0,16207.0,15050.0,12690.0,31187.0
Mutxamel,14135.0,39097.0,21611.0,19250.0,17452.0,48271.0
Murla,12689.0,26321.0,17625.0,15750.0,15185.0,31498.0
Muro de Alcoy,12356.0,31576.0,18588.0,16450.0,14926.0,38145.0
Novelda,12116.0,31100.0,18035.0,16450.0,14498.0,37215.0
"Nucia, la",12585.0,35859.0,19336.0,17150.0,15273.0,43518.0
Ondara,11763.0,31395.0,17739.0,16450.0,13831.0,36914.0
Onil,12943.0,31820.0,19060.0,17850.0,15351.0,37740.0
Orba,12254.0,28895.0,17600.0,15750.0,14478.0,34140.0
Orxeta,13212.0,30240.0,18858.0,17500.0,15696.0,35925.0
Orihuela,11512.0,29671.0,17019.0,15050.0,13630.0,35129.0
Parcent,12282.0,27892.0,17359.0,15050.0,14446.0,32806.0
Pedreguer,12740.0,31756.0,18690.0,16450.0,15415.0,38425.0
Pego,12383.0,30064.0,18041.0,16450.0,14604.0,35457.0
Penàguila,15270.0,33570.0,21129.0,19250.0,18458.0,40579.0
Petrer,11815.0,29788.0,17548.0,15750.0,13841.0,34897.0
"Pinós, el/Pinoso",10891.0,27534.0,16041.0,15050.0,12616.0,31896.0
Planes,13595.0,29213.0,19080.0,17150.0,15723.0,33786.0
Polop,11648.0,28779.0,17270.0,15750.0,13930.0,34415.0
Rafal,10062.0,29469.0,15580.0,14350.0,11659.0,34147.0
"Ràfol d'Almúnia, el",12812.0,30362.0,19114.0,17150.0,15632.0,37047.0
Redován,10544.0,29722.0,16046.0,15050.0,12177.0,34323.0
Relleu,13223.0,30091.0,18854.0,17150.0,15604.0,35508.0
Rojales,10746.0,26260.0,15649.0,14350.0,12740.0,31132.0
"Romana, la",10706.0,26101.0,15541.0,14350.0,12274.0,29923.0
Sagra,12147.0,28159.0,17368.0,15750.0,14078.0,32635.0
Salinas,11652.0,29148.0,17324.0,16450.0,13501.0,33774.0
Sanet y Negrals,12452.0,27774.0,17526.0,16450.0,14481.0,32299.0
San Fulgencio,10542.0,23694.0,14754.0,13650.0,12098.0,27190.0
Sant Joan d'Alacant,14533.0,38379.0,21739.0,19250.0,18075.0,47732.0
