DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF6,2025,32.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF61,2024,32.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF61,2025,32.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF62,2024,29.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF62,2025,30.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF63,2024,32.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF63,2025,33.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF64,2024,31.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF64,2025,32.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF65,2024,30.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITF65,2025,31.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG,2024,31.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG,2025,32.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG1,2024,30.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG1,2025,31.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG11,2024,31.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG11,2025,32.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG12,2024,29.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG12,2025,30.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG13,2024,32.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG13,2025,33.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG14,2024,31.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG14,2025,31.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG15,2024,30.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG15,2025,31.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG16,2024,32.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG16,2025,33.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG17,2024,29.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG17,2025,29.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG18,2024,28.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG18,2025,28.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG19,2024,30.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG19,2025,31.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2,2024,34.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2,2025,35.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2D,2024,33.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2D,2025,34.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2E,2024,35.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2E,2025,36.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2F,2024,33.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2F,2025,34.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2G,2024,37.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,PC_Y60_MAX,PC,ITG2G,2025,38.6,,
