geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
ITH51,598.0,407.0,191.0,49.5,1021.0,119.0,255.0,87.0
ITH52,561.0,369.0,193.0,48.0,1024.0,124.0,236.0,80.0
ITH53,551.0,355.0,195.0,47.7,1015.0,126.0,229.0,73.0
ITH54,570.0,376.0,194.0,48.2,1019.0,124.0,239.0,78.0
ITH55,575.0,393.0,182.0,48.9,1055.0,116.0,250.0,86.0
ITH56,646.0,480.0,166.0,52.5,1054.0,101.0,291.0,96.0
ITH57,603.0,422.0,181.0,50.6,1034.0,113.0,263.0,91.0
ITH58,595.0,407.0,188.0,49.6,1036.0,118.0,255.0,86.0
ITH59,571.0,390.0,181.0,49.6,1057.0,115.0,248.0,80.0
ITI11,640.0,478.0,162.0,52.5,1049.0,98.0,292.0,97.0
ITI12,608.0,438.0,171.0,51.4,1056.0,106.0,272.0,89.0
ITI13,611.0,430.0,181.0,50.6,1055.0,112.0,267.0,89.0
ITI14,602.0,422.0,180.0,50.2,1068.0,112.0,263.0,92.0
ITI15,537.0,356.0,181.0,48.0,1028.0,118.0,232.0,76.0
ITI16,634.0,464.0,171.0,52.1,1061.0,105.0,284.0,95.0
ITI17,593.0,408.0,185.0,49.6,1040.0,116.0,256.0,84.0
ITI18,612.0,433.0,179.0,50.5,1034.0,111.0,269.0,87.0
ITI19,624.0,442.0,182.0,50.5,1053.0,112.0,272.0,93.0
ITI1A,649.0,483.0,165.0,52.5,1050.0,100.0,293.0,95.0
ITI21,617.0,434.0,184.0,50.2,1056.0,114.0,268.0,91.0
ITI22,649.0,480.0,169.0,52.2,1066.0,103.0,291.0,100.0
ITI31,591.0,409.0,182.0,49.9,1030.0,114.0,257.0,85.0
ITI32,607.0,426.0,181.0,50.0,1040.0,113.0,265.0,90.0
ITI33,625.0,437.0,188.0,50.0,1042.0,116.0,269.0,90.0
ITI34,621.0,445.0,176.0,50.9,1050.0,109.0,274.0,91.0
ITI35,622.0,442.0,180.0,50.5,1035.0,111.0,273.0,89.0
ITI41,590.0,418.0,172.0,50.4,1026.0,108.0,263.0,78.0
ITI42,607.0,442.0,165.0,51.2,1000.0,102.0,275.0,85.0
ITI43,548.0,361.0,187.0,48.7,1075.0,121.0,233.0,75.0
ITI44,553.0,361.0,191.0,48.0,1014.0,123.0,233.0,67.0
ITI45,601.0,416.0,185.0,49.5,1031.0,116.0,260.0,74.0
