"geo","elderly_rate","young_rate","employed_rate","salaried_rate","vacant_housing_rate","secondary_housing_rate","house_share","median_living_standard","poverty_rate"
"80","95.2646761787565","168.209689230735","395.159349232361","350.388679108717","83.2167753160421","84.8675296104935","721.876524439398","23687.2339533897","11.0529996109913"
"35","89.0186231478342","179.251781323893","443.51521435646","387.846635098652","61.9028239771058","72.4255418112113","585.948553231503","26674.9057365817","8.50389864338569"
"41","126.776911889332","163.163403033313","400.775787801659","347.618575913055","106.598064256624","81.1524197935223","800.010468348275","24992.6529625813","7.70450489887613"
"74","81.5573730720477","185.028662694543","481.630045369426","410.939525491639","64.845265970836","234.933330673324","385.636754100062","33242.5405404769","7.44685498650514"
"34","107.451329861457","160.987030203287","386.706579999607","314.925675172137","68.937090911151","173.940413185987","471.151395139987","24098.4514072179","18.168233372846"
"62","86.0251976390629","184.987899797994","385.367818229696","347.216593184308","71.5964130200619","66.3028851616325","767.809565088782","23157.4406855574","15.3614364354081"
"53","112.855627790104","178.191611151565","425.768222210616","365.535633225346","92.3447126164297","52.7829773986124","803.052183848338","25086.1079371523","5.48180541322761"
"02","96.2141808261165","181.308726485571","378.24977311603","336.564757624691","99.5111603236797","33.3663384837525","753.461864847858","22703.3848404933","11.725484913178"
"44","87.8946987779424","181.857777755549","444.418144645294","388.633923712065","54.6899943610885","101.759821285244","599.552066179205","27251.919593037","9.26893662314107"
"72","110.05389224689","173.60023019547","407.073181831128","361.391864398431","89.2409260069626","47.6087603544187","748.586083463587","24813.9401973755","8.80592727099301"
"11","127.779733979726","153.109874864111","363.206924990362","292.925162688009","79.5742189384497","252.781887931816","707.930415497359","22468.1977272065","12.0753748944472"
"18","129.495746738576","155.38577205128","389.783576622763","337.21262402065","125.712949376342","75.2370860554014","794.434432187488","24594.6397614659","9.30073389961802"
"70","110.091699707346","164.716041072594","407.605243771086","355.169690320192","102.681731856294","62.3971011874053","762.673006192764","23974.5060277018","5.44272400820793"
"89","118.906982169848","165.508856872101","392.409646587274","337.103808566304","117.231202580014","104.911746607592","774.075050294994","24091.9244315595","8.81738565301771"
"971","93.1498637136262","168.476097121608","339.938445718383","270.342312365781","144.948890432221","106.170079935475","743.217840464383","0","0"
"58","147.79399372126","137.191952879296","362.048353777992","304.476866615336","136.554170049147","150.235382956213","782.856504195314","23313.1862243511","8.68151597388025"
"55","110.429673558282","159.468099592331","401.938415801714","349.3921246371","117.326851742975","49.1053593959019","765.409380605627","23156.6011784558","6.20422141691333"
"33","93.515832630669","164.878262043704","441.645272768296","373.199328201047","60.9588983200879","90.4096215032863","599.719820291119","26949.2589941372","10.7863735686396"
"88","117.105723707363","153.694637694039","395.122386760127","340.595672530755","105.696004939607","104.062049978304","648.167311562986","23653.3126289378","8.69554781154168"
"67","88.8157535888066","163.415546311738","444.713313587412","394.159734288933","79.2941646947178","33.3282752847566","446.733424113976","26324.6867963798","12.5270141741784"
