"geo","n_transactions","median_price_per_sqm","median_valeur_fonciere","median_surface_bati","median_pieces","appartement_share_pct"
"30","6019","2437.5","180000","77","3","35.60392091709586"
"10","2185","1600","120000","80","4","32.265446224256294"
"37","4566","2365.962543554007","178201.5","80","4","29.894875164257556"
"2A","1262","4125","230000","66","3","62.12361331220285"
"2B","1345","3051.4953271028","165000","60","3","63.56877323420074"
"972","1390","2593.7646507266763","156922.5","69","3","44.31654676258993"
"83","12044","3866.6666666666665","229850","65","3","57.17369644636334"
"64","5333","2754.0202020202","210000","78","3","52.52203262703919"
"18","2543","1234.375","93000","79","4","14.707038930397168"
"36","1753","1047.94520547945","81000","80","4","8.38562464346834"
"66","6682","2425.186567164179","155000","70","3","38.31188266985932"
"95","6488","3437.5","258000","75","4","39.503699136868065"
"89","2591","1446.42857142857","113000","80","4","16.016981860285604"
"54","5484","1923.076923076923","150000","84","4","34.901531728665205"
"21","4056","2336.134746826615","152070","77","4","43.19526627218935"
"82","1851","1812.5","160000","90","4","19.665045921123717"
"80","4128","1866.1691542288559","137827.5","77","4","19.040697674418606"
"84","4335","2602.15053763441","192000","78","3","35.75547866205306"
"78","7682","3870.967741935484","301000","80","4","42.11142931528248"
"58","1852","1021.6729147141518","74700","75","3","15.874730021598273"
"22","5528","2042.967032967033","168000","86","4","15.557163531114327"
"973","641","2567.56756756757","165280","73","3","36.193447737909516"
"61","2189","1358.16993464052","110000","81","4","9.913202375513933"
"69","10807","3750","230000","70","3","66.92884241695198"
"08","1924","1225.1484977800767","110000","87","4","15.904365904365905"
"63","5000","1961.36875","137280","79","4","30.7"
"23","972","860.2325581395348","65000","80","3","9.567901234567902"
"38","8487","2642.85714285714","190000","77","4","49.8291504654177"
"73","4415","3680","194860","56","3","68.15402038505096"
"49","5826","2214.6697388632874","185000","88","4","22.107792653621697"
"31","10134","2807.8355155482814","194937.5","76","3","46.80284191829485"
"03","2782","1276.595744680851","96325","79.5","4","24.119338605319914"
"14","6618","2715.737874097007","191525","75","4","35.917195527349655"
"06","12579","4838.70967741936","225600","51","2","82.77287542729947"
"19","1995","1461.53846153846","116279","80","4","20.350877192982455"
"41","2329","1590.90909090909","129600","83","4","13.69686560755689"
"50","4248","1980.8602150537636","166000","85","4","14.194915254237289"
"62","10346","1776.7490797972082","150000","86","4","15.658225401121205"
"65","2145","1732.67326732673","125500","74","3","44.84848484848485"
"79","3036","1469.3072289156626","127000","88","4","9.057971014492754"
"42","5143","1692.77777777778","133000","80","3","46.43204355434571"
"74","6528","4435.0948766603415","278066.5","67","3","63.786764705882355"
"01","4138","2473.1182795698924","218250","90","4","31.9719671338811"
"46","1330","1598.1604938271605","132467.5","82","4","16.917293233082706"
"55","1421","1052.63157894737","98000","92","4","13.441238564391274"
"33","12143","3497.98245614035","235000","77","3","37.42073622663263"
"48","504","1610.7994389901824","124375","80","3","20.436507936507937"
"24","3359","1598.984375","132840","85","4","14.915153319440309"
"91","7396","3232.7839241363736","255000","77","4","38.71011357490536"
"85","7030","2518.4529748706577","200000","83","4","13.229018492176387"
"52","1231","1000","87000","88","4","9.017059301380991"
"39","1883","1681.88484848485","147000","87","4","30.005310674455657"
"971","1479","2860.28723404255","157000","68","3","44.42190669371197"
"87","2876","1521","114500","80","4","26.842837273991655"
"70","1546","1161.2573099415204","107725","91","4","15.717981888745149"
"72","4258","1680.3361344537816","136250","83","4","15.312353217472992"
"05","1957","2788.46153846154","129000","51","3","66.88809402146143"
"43","1748","1490.5141843971633","119872.09","84","4","20.137299771167047"
"71","3862","1500","125000","84","4","24.054893837389955"
"26","3783","2279.06976744186","187000","85","4","33.38620142743854"
