region_name,num_persons_fiscal_households,num_households,median_living_standard_eur,d1_living_standard_eur,d9_living_standard_eur,interdecile_ratio_d9_d1,poverty_rate_pct_60med,share_taxed_households_pct,share_activity_income_pct,share_wages_pct,share_pensions_pct,share_social_benefits_pct,share_direct_taxes_pct
Fareins,2491,977,27070,16880,44610,2.6,,62,76.5,69.9,25.2,3,-17.9
Farges,954,383,37990,,,,,,,,,,
Feillens,3420,1497,24360,15320,38430,2.5,6,58,72.7,66.4,28.5,3.6,-15.4
Ferney-Voltaire,7669,3704,27220,6580,73920,11.2,23,42,93.1,89.6,15,1.6,-15.1
Flaxieu,,,,,,,,,,,,,
Foissiat,2070,865,23810,15280,38070,2.5,,52,70.6,62.5,28.4,3.9,-14.2
Francheleins,1660,593,26140,,,,,,,,,,
Frans,2636,1011,27060,16690,41890,2.5,,65,81.1,73.6,21.6,2.9,-16.5
Garnerans,732,292,24530,,,,,,,,,,
Genouilleux,703,271,25500,,,,,,,,,,
Béard-Géovreissiat,1073,382,24070,,,,,,,,,,
Géovreisset,846,315,25370,,,,,,,,,,
Gex,11226,5068,35280,13510,74270,5.5,10,60,99.6,94,12.1,1.7,-18.8
Giron,157,70,26560,,,,,,,,,,
Gorrevod,841,349,22580,,,,,,,,,,
Grand-Corent,183,84,24680,,,,,,,,,,
Grièges,1961,846,24460,,,,,,,,,,
Grilly,763,318,55340,,,,,,,,,,
Groissiat,1206,447,25220,,,,,,,,,,
Guéreins,1474,573,25240,,,,,,,,,,
Hautecourt-Romanèche,794,364,24580,,,,,,,,,,
Plateau d'Hauteville,3861,1978,23080,13290,37340,2.8,11,54,63.5,55.7,37.8,4.7,-14.2
Haut Valromey,805,400,22880,,,,,,,,,,
Illiat,655,249,24070,,,,,,,,,,
Injoux-Génissiat,1016,434,28040,,,,,,,,,,
Innimond,,,,,,,,,,,,,
Izenave,152,69,24140,,,,,,,,,,
Izernore,2213,934,23500,14240,38470,2.7,,57,82.2,76.4,21.4,4.3,-15.2
Izieu,212,97,23870,,,,,,,,,,
Jassans-Riottier,6032,2598,24030,13570,38580,2.8,11,56,73.3,66.6,29.9,5,-14.5
Jasseron,1752,716,25630,,,,,,,,,,
Jayat,1211,490,23020,,,,,,,,,,
Journans,381,177,25780,,,,,,,,,,
Joyeux,253,98,25480,,,,,,,,,,
Jujurieux,2105,979,23050,13240,37200,2.8,12,54,77.7,70.3,25.2,4.5,-14.5
Labalme,208,85,23480,,,,,,,,,,
Lagnieu,7273,3302,23820,13790,38610,2.8,10,55,73.8,67.1,29.6,4.6,-14.9
Laiz,1298,542,24820,,,,,,,,,,
Le Poizat-Lalleyriat,688,286,25910,,,,,,,,,,
Lantenay,279,115,24700,,,,,,,,,,
Lapeyrouse,352,131,27830,,,,,,,,,,
Lavours,130,68,22170,,,,,,,,,,
Léaz,713,284,31670,,,,,,,,,,
Lélex,203,109,24020,,,,,,,,,,
Lent,1481,635,24780,,,,,,,,,,
Lescheroux,697,288,22570,,,,,,,,,,
Leyment,1424,542,24160,,,,,,,,,,
Leyssard,153,71,26540,,,,,,,,,,
Surjoux-Lhopital,132,54,23850,,,,,,,,,,
Lhuis,806,360,24130,,,,,,,,,,
Lompnas,155,78,22500,,,,,,,,,,
Loyettes,3408,1328,23420,14640,36500,2.5,8,58,82.4,76,21.7,4.4,-14.4
Lurcy,352,151,28430,,,,,,,,,,
Magnieu,661,273,25450,,,,,,,,,,
Maillat,625,267,26830,,,,,,,,,,
Malafretaz,1198,517,24580,,,,,,,,,,
Mantenay-Montlin,317,143,21030,,,,,,,,,,
Manziat,2061,834,25260,15810,37670,2.4,,59,71.9,65.1,30.3,2.8,-15.4
Marboz,2214,973,24540,15200,37740,2.5,,57,70.3,61.7,33,3.4,-15.2
Marchamp,119,54,24140,,,,,,,,,,
Marignieu,144,68,23750,,,,,,,,,,
Marlieux,1186,468,22870,,,,,,,,,,
Marsonnas,980,409,24430,,,,,,,,,,
Martignat,1659,648,24590,,,,,,,,,,
Massieux,2843,1060,28590,17560,45930,2.6,,73,83.7,76.2,22.8,3,-17.3
Massignieu-de-Rives,607,257,23900,,,,,,,,,,
Matafelon-Granges,622,279,24660,,,,,,,,,,
Meillonnas,1346,584,26000,,,,,,,,,,
Mérignat,127,59,20070,,,,,,,,,,
Messimy-sur-Saône,1289,505,27580,,,,,,,,,,
Meximieux,7862,3395,24890,14110,40680,2.9,9,57,80.6,75,23.4,5.1,-15.7
Bohas-Meyriat-Rignat,906,392,25140,,,,,,,,,,
Mézériat,2217,936,23740,13970,37700,2.7,9,50,72.4,65.1,29.5,4.7,-13.9
Mijoux,294,138,31560,,,,,,,,,,
Mionnay,2303,913,29130,17560,47240,2.7,,71,84.4,76.7,21.6,2.4,-18.1
Miribel,9403,4028,26720,14130,44710,3.2,9,64,82.6,76.2,23.1,3.9,-17.4
Misérieux,1979,716,27460,,,,,,,,,,
Mogneneins,872,327,26260,,,,,,,,,,
Montagnat,2251,859,27200,16430,47220,2.9,,71,77.8,70.8,25.8,2.9,-19.1
Montagnieu,590,264,22080,,,,,,,,,,
Montanges,356,145,30110,,,,,,,,,,
Montceaux,1223,473,27440,,,,,,,,,,
Montcet,673,263,24810,,,,,,,,,,
Le Montellier,343,120,28850,,,,,,,,,,
Monthieux,687,260,28010,,,,,,,,,,
Montluel,6928,2980,23590,12950,40130,3.1,13,56,81,73.4,22.7,5,-15.6
Montmerle-sur-Saône,3927,1651,25970,15840,40390,2.6,6,61,75.2,69.3,27.7,3.4,-16.4
Montracol,1005,409,25180,,,,,,,,,,
Montréal-la-Cluse,3452,1522,21010,12120,35590,2.9,17,45,72.1,66.9,26.9,6.7,-13.3
Montrevel-en-Bresse,2471,1256,22720,13140,34030,2.6,11,49,64.7,58.6,36.4,4.9,-13
Nurieux-Volognat,975,398,25120,,,,,,,,,,
Murs-et-Gélignieux,246,99,24830,,,,,,,,,,
Nantua,3071,1398,18370,9360,32430,3.5,30,42,68.5,60.1,24.5,8,-13.6
Neuville-les-Dames,1556,686,23200,,,,,,,,,,
Neuville-sur-Ain,1787,747,23060,,,,,,,,,,
Les Neyrolles,620,244,20810,,,,,,,,,,
Neyron,2373,988,30240,15880,60280,3.8,,72,77.9,70.4,22.1,1.8,-24.9
