"geo","n_transactions","median_price_per_sqm","median_valeur_fonciere","median_surface_bati","median_pieces","appartement_share_pct"
"72269","32","959.7288676236044","68000","66.5","3","6.25"
"72050","12","1232.2169059011162","92500","84","3.5","8.333333333333334"
"72023","18","1217.2554347826087","109750","93","4","0"
"82079","16","2252.791433370661","202850","89","4","12.5"
"63083","3","2929.09090909091","320100","109","4","0"
"09253","3","1755.81395348837","151000","80","3","0"
"77215","60","3374.583795782464","255700","73","4","36.666666666666664"
"08048","3","1130.4347826087","130000","89","3","0"
"91016","41","2230.76923076923","203000","89","4","7.317073170731708"
"82043","3","1292.57317073171","202001","89","4","0"
"90037","6","2329.3709765785507","222275","99.5","4","16.666666666666668"
"80785","5","1600","136000","94","4","0"
"54542","17","1294.59459459459","97900","80","4","11.764705882352942"
"13036","29","2831.85840707965","320000","88","4","17.24137931034483"
"25417","4","2410.632396449704","203150","104","4.5","0"
"52235","4","719.8412698412699","79000","76","4","0"
"72155","21","1977.01149425287","210000","97","5","0"
"88513","15","1390.07092198582","120640","80","3","26.666666666666668"
"16320","6","2028.7458379578247","162500","98","4","0"
"77281","3","2780.10471204188","288000","100","5","0"
"34289","50","2294.5347441911204","214250","88.5","4","4"
"79276","5","2315.31531531532","208000","111","4","0"
"84087","227","2305.08474576271","170000","78","4","43.61233480176212"
"31227","4","3188.6583036350676","378458","101.5","3.5","25"
"89332","7","1581.39534883721","165000","89","4","0"
"71430","5","3060.90909090909","158700","75","3","20"
"69136","20","3767.1050109529024","357500","101","4","10"
"72139","4","1285.9848484848485","117550","99","4","0"
"02566","11","1694.16666666667","146000","89","4","0"
"28421","3","1025","167000","72","5","0"
"50310","3","1423.84105960265","145000","77","4","0"
"14022","9","3125","180000","54","3","0"
"56252","18","3713.4455388784654","361000","111.5","5","0"
"35220","21","2294.64285714286","220000","86","4","9.523809523809524"
"83052","8","1956.25","96075","59.5","3","12.5"
"53212","3","984.848484848485","130000","132","6","0"
"06029","1344","5828.933645183645","260000","48","2","95.16369047619048"
"50519","3","1840.90909090909","220660","98","4","0"
"33080","44","3354.7258297258295","252500","82.5","3.5","22.727272727272727"
"53204","4","577.7777777777778","71975","105","4","0"
"91359","25","2659.57446808511","229420","90","4","0"
"82189","4","1129.5602198900551","129500","107","3","0"
"59554","3","2426.47058823529","212500","82","3","0"
"78050","3","3545.8064516129","549600","155","5","0"
"54205","23","1583.33333333333","125000","84","4","4.3478260869565215"
"88452","3","508.333333333333","61000","104","5","0"
"08349","3","714.285714285714","50000","96","3","0"
"76351","1292","2331.153846153846","142400","62","3","61.9969040247678"
"11272","22","2133.4871077974526","205000","88","4","9.090909090909092"
"31581","8","2040.186567164179","265825","125.5","5","0"
"70309","5","1390.90909090909","153000","110","5","0"
"02580","3","1481.48148148148","250000","123","6","0"
"72244","24","1623.767046916545","155000","88.5","4","8.333333333333334"
"76517","17","2696","339000","124","5","5.882352941176471"
"35255","6","2197.054698457223","185025","79","3.5","33.333333333333336"
"76400","27","1982.30088495575","181000","82","4","7.407407407407407"
"27473","7","2346.9387755102","220000","93","5","0"
