geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DEB13,31237.03,618.0,381.0,237.0,47.0,1015.0,146.0,236.0,69.0
DEB14,36320.0,628.0,402.0,226.0,48.0,1038.0,139.0,247.0,73.0
DEB15,33451.0,639.0,421.0,219.0,48.5,1026.0,133.0,257.0,74.0
DEB17,35916.38,604.0,378.0,227.0,46.8,1023.0,141.0,235.0,68.0
DEB18,38573.19,621.0,383.0,238.0,46.7,1022.0,147.0,236.0,71.0
DEB1A,32162.41,626.0,401.0,225.0,48.2,1016.0,138.0,247.0,71.0
DEB1B,41302.7,590.0,362.0,227.0,46.9,1015.0,143.0,228.0,65.0
DEB1C,38811.86,633.0,424.0,209.0,50.3,999.0,128.0,259.0,78.0
DEB1D,41816.47,619.0,393.0,226.0,48.0,1010.0,139.0,243.0,68.0
DEB21,49319.71,473.0,289.0,185.0,40.8,1039.0,125.0,196.0,61.0
DEB22,36904.25,617.0,397.0,220.0,48.4,1001.0,136.0,246.0,70.0
DEB23,33857.31,579.0,349.0,230.0,46.1,988.0,146.0,221.0,60.0
DEB24,37427.32,650.0,435.0,215.0,50.0,996.0,130.0,264.0,75.0
DEB25,24514.28,584.0,358.0,226.0,46.8,1014.0,142.0,226.0,65.0
DEB31,41798.54,624.0,386.0,238.0,45.5,1013.0,146.0,238.0,83.0
DEB32,56554.81,519.0,327.0,192.0,42.2,983.0,126.0,215.0,68.0
DEB33,52866.86,515.0,315.0,200.0,42.3,1073.0,132.0,208.0,63.0
DEB34,68862.3,528.0,290.0,238.0,41.6,973.0,156.0,190.0,62.0
DEB35,121329.08,438.0,259.0,179.0,38.7,1052.0,124.0,180.0,60.0
DEB36,35611.79,661.0,430.0,231.0,48.4,1057.0,139.0,259.0,85.0
DEB37,42930.54,635.0,417.0,218.0,47.5,1023.0,133.0,255.0,82.0
DEB38,63956.1,609.0,399.0,210.0,47.8,1057.0,131.0,248.0,78.0
DEB39,45164.58,554.0,325.0,229.0,43.5,993.0,147.0,209.0,61.0
DEB3A,60477.55,625.0,405.0,220.0,46.7,1017.0,136.0,249.0,78.0
DEB3B,28519.91,606.0,365.0,241.0,46.6,1016.0,150.0,227.0,59.0
DEB3C,25276.64,651.0,431.0,221.0,50.4,1036.0,134.0,261.0,79.0
DEB3D,30360.47,623.0,397.0,226.0,48.6,1020.0,139.0,244.0,66.0
DEB3E,46741.39,578.0,347.0,231.0,45.7,1007.0,146.0,220.0,62.0
DEB3F,25042.16,646.0,393.0,253.0,46.9,1035.0,154.0,239.0,67.0
DEB3G,20810.16,659.0,436.0,223.0,50.0,1006.0,134.0,263.0,72.0
DEB3H,31327.2,634.0,411.0,224.0,49.5,1033.0,137.0,251.0,72.0
DEB3I,22296.49,646.0,399.0,246.0,47.8,1031.0,150.0,243.0,77.0
DEB3J,46445.11,604.0,369.0,235.0,47.5,1031.0,147.0,230.0,66.0
DEB3K,19315.75,677.0,464.0,214.0,51.9,1033.0,127.0,276.0,83.0
DEC01,48684.93,590.0,382.0,208.0,45.5,1028.0,131.0,240.0,72.0
DEC02,31525.92,599.0,397.0,202.0,48.8,1009.0,126.0,248.0,71.0
DEC03,28765.2,630.0,419.0,211.0,48.9,1029.0,130.0,257.0,76.0
DEC04,44355.5,632.0,423.0,209.0,48.9,1032.0,128.0,259.0,76.0
DEC05,48012.7,648.0,443.0,205.0,49.9,1049.0,124.0,269.0,82.0
DEC06,33369.15,654.0,452.0,202.0,51.3,1027.0,122.0,273.0,78.0
DED21,48643.04,557.0,341.0,216.0,42.0,1016.0,138.0,219.0,87.0
DED2C,32195.92,755.0,519.0,236.0,52.0,1028.0,135.0,296.0,100.0
DED2D,34661.8,795.0,571.0,223.0,53.9,1039.0,124.0,318.0,109.0
DED2E,34182.22,739.0,511.0,229.0,51.9,1037.0,131.0,294.0,105.0
DED2F,26849.95,740.0,502.0,237.0,51.0,1027.0,136.0,289.0,103.0
DED41,41507.0,692.0,468.0,223.0,46.9,1037.0,132.0,277.0,102.0
DED42,27360.35,799.0,575.0,224.0,53.2,1044.0,125.0,319.0,98.0
DED43,31916.92,747.0,523.0,225.0,52.0,1017.0,129.0,299.0,100.0
DED44,29893.03,773.0,562.0,211.0,53.7,1048.0,119.0,317.0,107.0
DED45,35215.15,748.0,532.0,216.0,52.4,1039.0,124.0,304.0,104.0
DED51,44782.74,494.0,293.0,201.0,39.8,1029.0,135.0,196.0,75.0
DED52,31034.72,712.0,480.0,232.0,51.1,1033.0,135.0,280.0,93.0
DED53,37186.54,695.0,469.0,226.0,50.8,1019.0,133.0,277.0,89.0
DEE01,35231.23,800.0,589.0,211.0,54.3,1091.0,117.0,327.0,121.0
DEE02,36025.05,602.0,393.0,210.0,43.7,1069.0,131.0,245.0,90.0
DEE03,39908.59,584.0,386.0,198.0,44.0,1016.0,125.0,244.0,88.0
DEE04,30280.41,681.0,467.0,214.0,52.3,1014.0,127.0,278.0,82.0
DEE05,39717.0,714.0,513.0,201.0,53.0,1041.0,117.0,299.0,95.0
DEE06,30719.83,705.0,489.0,216.0,52.5,1020.0,127.0,287.0,89.0
DEE07,37113.8,663.0,446.0,217.0,50.9,1009.0,130.0,268.0,76.0
DEE08,31343.03,732.0,521.0,211.0,52.9,1041.0,122.0,301.0,99.0
DEE09,28655.2,722.0,528.0,194.0,53.7,1052.0,113.0,307.0,98.0
DEE0A,27011.95,766.0,569.0,197.0,55.1,1027.0,112.0,322.0,102.0
DEE0B,43301.94,681.0,465.0,216.0,51.1,1022.0,129.0,277.0,82.0
