geo_code,geo_name,population,0_14_per1000,15_64_per1000,65plus_per1000,0_4_per1000,5_9_per1000,10_14_per1000,15_19_per1000,20_29_per1000,30_44_per1000,45_64_per1000,65_74_per1000,75_84_per1000,85plus_per1000,male_per1000,female_per1000,sex_ratio_males_per1000_females,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000,aging_index_65plus_per_1000_of_0to14
3709,Grundarfjarðarbær,857,200.70011668611434,640.6067677946324,158.6931155192532,54.842473745624275,61.84364060676779,84.01400233372229,45.5075845974329,110.85180863477247,246.20770128354727,238.0396732788798,94.51575262543757,43.17386231038507,21.003500583430572,530.9218203033838,467.9113185530922,1134.6633416458853,313.2969034608379,247.72313296903462,561.0200364298726,790.6976744186046
3713,Eyja- og Miklaholtshreppur,119,176.47058823529412,638.655462184874,184.87394957983193,42.016806722689076,33.61344537815126,100.84033613445378,50.42016806722689,134.45378151260505,184.87394957983193,268.9075630252101,100.84033613445378,50.42016806722689,33.61344537815126,453.781512605042,546.218487394958,830.7692307692308,276.3157894736842,289.4736842105263,565.7894736842105,1047.6190476190477
3714,Snæfellsbær,1669,170.16177351707609,671.6596764529659,158.17855002995807,47.93289394847214,56.32115038945476,65.9077291791492,53.92450569203116,140.20371479928102,223.48711803475135,254.04433792690233,98.26243259436788,47.93289394847214,11.983223487118035,527.8609946075494,472.1390053924506,1118.020304568528,253.34522747546833,235.50401427297058,488.8492417484389,929.5774647887324
3716,Sveitarfélagið Stykkishólmur,1300,197.6923076923077,603.0769230769231,199.23076923076923,56.15384615384615,77.69230769230768,63.84615384615385,55.38461538461539,122.3076923076923,225.3846153846154,200.0,113.84615384615385,62.30769230769231,23.076923076923077,519.2307692307693,480.7692307692308,1080.0,327.80612244897964,330.35714285714283,658.1632653061224,1007.7821011673152
3811,Dalabyggð,653,147.01378254211335,609.4946401225116,243.49157733537518,45.94180704441042,38.28483920367534,62.78713629402756,73.50689127105667,133.2312404287902,148.54517611026034,254.2113323124043,134.7626339969372,71.97549770290965,36.75344563552834,525.2679938744257,474.73200612557423,1106.4516129032259,241.20603015075375,399.49748743718595,640.7035175879397,1656.25
4100,Bolungarvíkurkaupstaður,1003,169.4915254237288,633.1006979062812,197.40777666999006,44.8654037886341,60.81754735792622,63.80857427716849,69.79062811565304,141.5752741774676,192.42273180458625,229.31206380857427,128.61415752741775,50.84745762711865,17.94616151545364,525.4237288135594,474.5762711864407,1107.142857142857,267.7165354330709,311.8110236220473,579.5275590551181,1164.7058823529412
4200,Ísafjarðarbær,3987,178.5803862553298,649.8620516679208,171.55756207674943,54.92851768246802,62.954602457988464,60.69726611487334,57.93829947328818,147.4793077501881,213.19287684976175,231.2515675946827,96.3130173062453,51.66792074241284,23.5766240280913,519.9398043641836,478.8061198896413,1085.9088528025145,274.7973755306831,263.99073716711695,538.7881126978,960.6741573033707
4502,Reykhólahreppur,243,164.6090534979424,555.5555555555555,279.83539094650206,49.382716049382715,53.49794238683128,61.72839506172839,74.07407407407408,119.34156378600822,131.6872427983539,230.45267489711935,152.2633744855967,94.65020576131687,32.92181069958848,506.17283950617286,493.82716049382714,1025.0,296.2962962962963,503.70370370370364,800.0,1700.0
4604,Vesturbyggð,1290,155.8139534883721,679.8449612403101,164.34108527131784,49.6124031007752,52.713178294573645,53.48837209302326,55.81395348837209,151.93798449612402,238.75968992248062,233.33333333333334,100.7751937984496,52.713178294573645,10.852713178294573,553.4883720930233,446.51162790697674,1239.5833333333333,229.1904218928164,241.73318129988596,470.9236031927024,1054.726368159204
4803,Súðavíkurhreppur,219,159.8173515981735,607.3059360730593,232.8767123287671,77.6255707762557,50.2283105022831,31.963470319634702,45.662100456621005,146.1187214611872,168.9497716894977,246.5753424657534,159.8173515981735,68.4931506849315,4.5662100456621,557.0776255707763,442.92237442922374,1257.7319587628865,263.1578947368421,383.45864661654133,646.6165413533835,1457.142857142857
4901,Árneshreppur,60,33.333333333333336,533.3333333333334,433.33333333333337,0.0,16.666666666666668,16.666666666666668,0.0,50.0,183.33333333333331,300.0,250.0,133.33333333333334,50.0,566.6666666666666,433.33333333333337,1307.6923076923076,62.5,812.5,875.0,13000.0
4902,Kaldrananeshreppur,117,119.65811965811966,572.6495726495726,307.69230769230774,25.64102564102564,34.188034188034194,59.82905982905983,17.094017094017097,145.29914529914532,128.2051282051282,282.05128205128204,222.2222222222222,76.92307692307693,8.547008547008549,470.0854700854701,529.9145299145299,887.0967741935484,208.955223880597,537.3134328358209,746.2686567164179,2571.4285714285716
4911,Strandabyggð,422,139.81042654028437,585.3080568720379,274.8815165876777,37.91469194312796,47.393364928909946,54.502369668246445,54.502369668246445,109.00473933649289,189.57345971563979,232.22748815165878,172.98578199052133,68.72037914691943,33.17535545023697,526.0663507109005,473.93364928909955,1110.0,238.86639676113361,469.6356275303644,708.502024291498,1966.1016949152543
5508,Húnaþing vestra,1190,152.10084033613444,604.2016806722688,243.69747899159663,46.21848739495798,54.621848739495796,51.26050420168067,61.344537815126046,126.05042016806722,173.94957983193277,242.85714285714286,137.8151260504202,81.51260504201682,24.369747899159663,500.84033613445376,497.47899159663865,1006.7567567567568,251.73852573018078,403.33796940194713,655.076495132128,1602.209944751381
5609,Sveitarfélagið Skagaströnd,450,188.88888888888889,600.0,211.11111111111111,62.22222222222222,64.44444444444444,62.22222222222222,60.0,142.22222222222223,155.55555555555557,242.22222222222223,115.55555555555556,82.22222222222223,13.333333333333334,515.5555555555555,484.44444444444446,1064.2201834862385,314.81481481481484,351.85185185185185,666.6666666666666,1117.6470588235295
5613,Húnabyggð,1352,177.51479289940826,616.8639053254437,205.6213017751479,51.77514792899408,61.3905325443787,64.3491124260355,76.18343195266272,118.34319526627219,176.03550295857988,246.301775147929,111.68639053254438,68.78698224852072,25.14792899408284,517.7514792899408,482.2485207100592,1073.6196319018404,287.76978417266184,333.3333333333333,621.1031175059952,1158.3333333333335
5716,Skagafjörður,4361,188.03026828709014,614.9965604219216,196.97317129098832,60.307268975005734,62.82962623251548,64.89337307956892,60.53657418023389,134.14354505847285,186.65443705572116,233.6620041274937,109.83719330428801,65.12267828479706,22.013299701903232,500.57326301307035,499.4267369869296,1002.295684113866,305.74198359433257,320.2833706189411,626.0253542132737,1047.560975609756
6000,Akureyrarbær,20284,174.2259909288109,647.9491224610531,177.82488661013608,54.92013409583908,55.51173338591993,63.79412344705186,72.0765135081838,141.14573062512326,201.83395779925064,232.89292052849535,98.20548215342141,60.24452770656675,19.3748767501479,505.37369355156767,493.98540721751135,1023.053892215569,268.8883816480256,274.4426691014228,543.3310507494484,1020.656479909451
6100,Norðurþing,3017,154.4580709313888,652.3036128604574,193.2383162081538,48.72389791183294,55.35299966854491,50.381173351010936,59.66191581040769,129.59893934371894,222.07490884985086,240.96784885647995,101.09380178985747,65.95956247928406,26.184951939012265,525.6877693072589,474.31223069274114,1108.3158630328442,236.78861788617886,296.239837398374,533.0284552845529,1251.0729613733906
6250,Fjallabyggð,1969,164.55053326561705,581.0055865921788,254.44388014220414,54.34230573895378,53.32656170644998,56.88166582021331,55.358049771457594,105.63737938039614,185.88115794819706,234.12899949212797,134.5860843067547,85.83037074657186,34.0274250888776,505.84052818689696,493.6515997968512,1024.6913580246915,283.21678321678326,437.93706293706293,721.1538461538462,1546.2962962962963
6400,Dalvíkurbyggð,1925,188.05194805194805,624.4155844155845,187.53246753246754,64.4155844155844,62.33766233766234,61.298701298701296,63.896103896103895,130.3896103896104,183.89610389610388,246.23376623376623,98.70129870129871,63.896103896103895,24.935064935064936,507.5324675324675,491.94805194805195,1031.6789862724393,301.16472545757074,300.33277870216307,601.4975041597338,997.2375690607735
6513,Eyjafjarðarsveit,1206,215.5887230514096,622.7197346600332,161.69154228855723,60.53067993366501,67.16417910447761,87.893864013267,70.48092868988391,124.37810945273633,172.4709784411277,255.38971807628525,93.69817578772803,55.55555555555555,12.437810945273633,504.97512437810946,495.02487562189054,1020.1005025125629,346.2050599201065,259.6537949400799,605.8588548601864,750.0
6515,Hörgársveit,937,215.58164354322304,643.5432230522946,140.87513340448237,88.58057630736394,76.8409818569904,50.16008537886873,48.025613660619,159.01814300960513,204.9092849519744,231.59018143009604,84.31163287086446,48.025613660619,8.537886872998934,511.20597652081113,488.79402347918887,1045.8515283842796,334.9917081260365,218.90547263681592,553.8971807628525,653.4653465346535
6601,Svalbarðsstrandarhreppur,517,183.75241779497097,678.9168278529982,137.33075435203097,56.092843326885884,69.63249516441006,58.027079303675045,71.56673114119923,112.18568665377177,216.63442940038686,278.52998065764024,88.97485493230174,36.7504835589942,11.60541586073501,529.980657640232,470.0193423597679,1127.5720164609054,270.65527065527067,202.27920227920228,472.9344729344729,747.3684210526316
6602,Grýtubakkahreppur,373,150.13404825737265,624.6648793565683,225.201072386059,34.852546916890084,53.61930294906166,61.66219839142091,85.79088471849866,158.1769436997319,163.53887399463807,217.15817694369974,101.87667560321715,96.51474530831099,26.80965147453083,520.1072386058981,479.89276139410185,1083.7988826815642,240.343347639485,360.51502145922746,600.8583690987125,1500.0
6611,Tjörneshreppur,54,111.1111111111111,537.0370370370371,351.85185185185185,37.03703703703704,18.51851851851852,55.55555555555555,18.51851851851852,74.07407407407408,55.55555555555555,388.8888888888889,203.7037037037037,92.59259259259258,55.55555555555555,481.48148148148147,518.5185185185185,928.5714285714286,206.89655172413794,655.1724137931034,862.0689655172413,3166.6666666666665
6613,Þingeyjarsveit,1471,133.24269204622703,662.8144119646498,203.94289598912306,44.18762746430999,37.38953093133922,51.66553365057784,59.823249490142764,150.91774303195103,222.9775662814412,229.0958531611149,123.0455472467709,55.7443915703603,25.15295717199184,525.4928619986405,473.8273283480625,1109.0387374461982,201.02564102564102,307.69230769230774,508.71794871794873,1530.612244897959
6710,Langanesbyggð,543,134.43830570902392,668.5082872928176,197.05340699815838,46.04051565377532,38.67403314917127,49.72375690607735,60.773480662983424,160.22099447513813,169.4290976058932,278.08471454880294,117.86372007366482,57.0902394106814,22.099447513812155,548.8029465930019,451.1970534069982,1216.3265306122448,201.10192837465564,294.76584022038566,495.86776859504135,1465.7534246575344
