geo_code,geo_name,immigrants_per1000,all_dwellings_per1000,freetime_residences_per1000,pct_aged_64plus,pct_aged_under15,pct_foreign_citizens,avg_age,dependency_ratio,births_per1000,deaths_per1000,urbanisation_pct,pct_one_person_households,pct_owner_occupied,pct_rental,pct_upper_secondary_plus,pct_tertiary,pct_no_post_basic_qual,pct_employed_of_pop,pct_unemployed_of_pop,unemployment_rate,employment_rate_20_64,pct_jobs_services,pct_jobs_secondary,pct_jobs_primary,pct_self_employed,workplace_self_sufficiency,pct_dwellings_not_permanent_use,floor_area_per_person
KU681,Rantasalmi,18.501668183196845,656.0509554140127,662.117076129815,37.2,11.6,4.7,52.1,95.3,4.8,18.2,39.6,45.4,75.6,22.5,71.2,22.3,28.8,36.8,4.5,10.8,73.9,62.9,18.4,16.9,20.3,86.7,21.2,50.5
KU683,Ranua,8.057793831619895,565.1569880522367,466.5184773548208,32.6,16.8,1.5,47.6,97.4,6.9,14.7,48.7,43.2,73.3,23.1,68.1,18.7,31.9,34.2,3.8,9.9,72.4,68.3,17.1,13.2,17.5,93.3,19.6,43.8
KU684,Rauma,15.682941903584672,598.9905232797693,58.99773382777091,27.2,13.6,7.4,46.1,68.9,6.5,12.5,93.1,47.3,68.1,31,72.9,30.1,27.1,42.2,4.4,9.4,75.4,63.9,33.9,1,7.8,102,12.7,45.8
KU686,Rautalampi,14.319809069212411,684.2823048073645,555.4040231844529,36.9,10.9,2.9,52.1,91.6,4.7,17.6,48.6,47.7,74.4,22.8,70.2,22.6,29.8,34.7,4.7,12,70.6,63.9,20.1,14.5,20.5,81.9,21.7,50.6
KU687,Rautavaara,7.724719101123595,778.0898876404494,378.5112359550562,42.6,8.7,1.1,55.7,105.5,2.8,17.9,44.2,47.6,75.3,22.5,62.6,13.7,37.4,30.3,3.9,11.3,63.9,66,17.1,16.2,19,90.7,30.2,49.3
KU689,Rautjärvi,9.564643799472295,729.221635883905,410.94986807387863,42.1,8.9,3.5,55.4,104,3.9,21.9,50,49.2,78.3,19.9,67,17.9,33,30,7.8,20.6,64,63.4,28.2,7.1,15.1,87.4,22.3,50.2
KU691,Reisjärvi,1.924557351809084,527.7136258660508,157.04387990762126,29.1,18.4,0.8,45.6,90.3,10.3,14.9,44.9,39.7,77.2,20.2,67.3,19.7,32.7,37.5,2.8,6.9,77,57.1,22.1,19.6,21.6,89.6,16.1,45.7
KU694,Riihimäki,13.72748657093705,583.5410595793983,9.093143278446792,24.4,14.3,4.7,44.8,63.3,6.4,10.3,97.3,48.9,62.8,35.2,73.5,29.4,26.5,42.9,4.6,9.7,74.8,74.5,24.1,0.6,7.1,97.6,10.2,41
KU697,Ristijärvi,2.577319587628866,723.3676975945017,472.5085910652921,42.4,10.1,1.6,55.3,110.5,2.6,24.8,41.9,44.3,77.5,19.2,73.8,25.3,26.2,33.8,4.4,11.5,72.6,71.1,15.7,12.4,12.9,69.8,27.7,50.3
KU698,Rovaniemi,11.05903256440891,598.2140121925069,66.7830775357657,21,15.6,3.6,41.9,57.8,8.7,9.4,90.7,49.1,57.1,40.6,80.3,35.5,19.7,45,4.5,9.1,74.9,83.3,13.8,1.8,8.4,98.7,13.1,40.8
