geo_code,geo_name,population,0_14_per1000,15_64_per1000,65plus_per1000,0_4_per1000,5_9_per1000,10_14_per1000,15_19_per1000,20_29_per1000,30_44_per1000,45_64_per1000,65_74_per1000,75_84_per1000,85plus_per1000,male_per1000,female_per1000,sex_ratio_males_per1000_females,single_per1000,married_per1000,widowed_per1000,divorced_per1000,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000,aging_index_65plus_per_1000_of_0to14
SH,- Schaffhausen,88667,142.7588618087902,635.3998669177935,221.84127127341628,45.699076319261955,48.112601080447064,48.94718440908117,46.849447934406264,109.22891267326062,204.7661474956861,274.5553588144405,111.54093405663889,77.61624956297157,32.68408765380582,497.44549832519425,502.55450167480575,989.8339317773788,427.43072394464684,426.9570415148815,51.29304025172838,94.16130014548818,224.67562434548006,349.1364773957649,573.812101741245,1553.9579712434822
AR,- Appenzell Ausserrhoden,56705,157.3758927784146,625.6767480821796,216.94735913940568,47.015254386738384,55.99153513799489,54.36910325368134,48.95511859624372,98.15712900096993,196.7022308438409,281.8622696411251,114.98104223613439,73.80301560708932,28.163301296181995,503.6063839167622,496.39361608323776,1014.5303396333665,435.0586368045146,424.84789701084566,48.84930782117979,91.10307733004144,251.5290735364582,346.74032526283156,598.2693987992898,1378.5298072613177
AI,- Appenzell Innerrhoden,16733,154.12657622661808,631.3870794238929,214.48634434948903,47.092571565170616,54.08474272395864,52.94926193748879,49.78186816470448,112.17354927388992,193.56959301978128,275.8620689655172,111.57592780732683,71.8938624275384,31.016554114623798,513.2373154843723,486.7626845156278,1054.38919582566,451.6225422817188,429.15197513894697,50.917348951174326,68.18860933484731,244.1079034548036,339.7065783246569,583.8144817794605,1391.6246607212097
SG,- St. Gallen,540036,153.61198142346066,651.2676932648934,195.1203253116459,49.27819626839692,52.948321963720936,51.3854631913428,50.563295780281315,119.88830374271345,213.69130946825769,267.124784273641,100.28775859387153,68.76393425623476,26.0686324615396,503.2108970513077,496.78910294869235,1012.9266001699691,444.7684969150205,423.28844743683754,45.49141168366554,86.31461606263287,235.86611621003786,299.6008052134157,535.4669214234535,1270.215535946767
GR,- Graubünden / Grigioni / Grischun,206138,129.0106627598987,635.5160135443247,235.47332369577663,39.75007034122772,44.39744248998244,44.86314992868855,44.40714472828881,105.91448447156759,196.56734808720373,288.62703625726454,120.81712251016309,83.25490690702344,31.401294278590072,503.5510192201341,496.4489807798659,1014.3056763438443,434.55355150433206,423.5997244564321,52.00399732218223,89.76025769144943,203.00143507068486,370.52303746450485,573.5244725351898,1825.2237346769948
AG,- Aargau,735808,153.38648125597982,655.1872227537618,191.42629599025832,48.80213316517352,52.6387318430895,51.9456162477168,49.73444159345916,109.8370770635818,216.958771853527,278.65693224319386,100.93529833869705,66.342034878664,24.148962772897278,504.24295468383053,495.7570453161694,1017.1170726625764,439.7138927546316,431.55551448203875,42.76387318430895,85.8620727146212,234.11091658853496,292.1703741194627,526.2812907079976,1247.9997873528084
TG,- Thurgau,299509,154.2057166896487,649.6165390689428,196.17774424140845,49.61119699241091,53.68786914583535,50.906650551402464,48.960131415082685,108.11027381481024,214.06034543202372,278.4857884070261,105.71635576894184,66.19166702836976,24.26972144409684,504.94309019094584,495.05690980905416,1019.9697856670757,434.1438821537917,432.46780564190055,43.43775980020634,89.86374366045762,237.3796038362304,301.9900702075388,539.3696740437692,1272.1820465075998
TI,- Ticino,358903,123.64622195969383,636.5285327790517,239.82524526125442,35.36610170436023,41.50982298838405,46.77029726694957,50.55683569098057,106.3379241744984,176.4822250022987,303.15154791127406,110.66221235264125,88.66462526086436,40.498407647748834,487.63036252134975,512.3696374786502,951.715962173244,440.77926347787565,404.90884723727584,59.11067892996158,95.15384379623464,194.25087108013935,376.77061264510706,571.0214837252464,1939.6083556797441
VD,- Vaud,855106,157.21559666286984,673.4966191325988,169.28778420453136,48.58695880978499,53.68574188463185,54.94289596845303,59.44175342004383,128.24141100635478,220.03704803848882,265.77640666771134,82.00036018926309,61.8075419889464,25.479882026321885,492.193950223715,507.8060497762851,969.2557826763821,498.4259261424899,370.6324128236733,39.28752692648631,91.4062116275643,233.43190180427183,251.35654641081695,484.78844821508875,1076.7874676425956
VS,- Valais / Wallis,371288,141.87369373639868,649.5254357803108,208.6008704832906,44.22173622632566,48.0327939497102,49.61916356036285,50.07972247958458,116.22783391868307,208.1914847773157,275.02639460472733,106.43759022645494,75.10073043028592,27.06254982654974,499.5690676779212,500.4309323220788,998.2777550537126,449.91489086638944,404.6993169722695,50.44870828036456,94.6408179095473,218.42669420014016,321.1588938509958,539.585588051136,1470.328043131597
NE,- Neuchâtel,179518,147.06046190354172,652.3914036475451,200.5481344489132,44.94813890529083,49.4546507871077,52.65767221114317,55.236800766496955,123.40823761405542,202.45880635925087,271.28755890774187,95.18822625029246,74.18197618066155,31.1779320179592,491.42147305562673,508.5785269443732,966.26469074141,475.44535923974195,362.30350159872546,50.57988613955146,111.63225971768847,225.41753475186994,307.4046244748796,532.8221592267496,1363.7121212121212
GE,- Genève,531102,155.79681492444013,678.3762817688505,165.82690330670943,48.139528753422134,53.29861307244183,54.35867309857617,54.90659044778592,124.24167109142877,226.18254120677383,273.0454790228619,77.49735455712839,60.195593313525464,28.133955436055597,483.77147892495225,516.2285210750476,937.126600284495,502.7282894811166,359.9948785732308,37.64436963144556,99.53266980730632,229.6613533100001,244.446788254919,474.1081415649191,1064.3792903412937
JU,- Jura,74840,147.46125066809194,624.2517370390166,228.2870122928915,43.96044895777659,50.828433992517375,52.67236771779797,55.18439337252806,114.29716729021914,182.28220203099946,272.4879743452699,115.52645644040619,79.91715660074826,32.84339925173703,495.6173169428113,504.3826830571887,982.6215958461376,451.309460181721,390.60662747194016,58.43132014965259,99.2116515232496,236.22080952075171,365.6970397482823,601.917849269034,1548.1152591518664
