"geo","GeboorteRelatief_25","SterfteRelatief_27","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","GemiddeldeWOZWaardeVanWoningen_35","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","GemiddeldElektriciteitsverbruikTotaal_47","GemiddeldAardgasverbruikTotaal_55","AantalInkomensontvangers_64","GemiddeldInkomenPerInkomensontvanger_65","GemiddeldInkomenPerInwoner_66","k_40PersonenMetLaagsteInkomen_67","k_20PersonenMetHoogsteInkomen_68","Actieven1575Jaar_69","HuishoudensMetEenLaagInkomen_72","PersonenautoSPerHuishouden_91","AfstandTotHuisartsenpraktijk_94","AfstandTotGroteSupermarkt_95","AfstandTotSchool_97","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","Verweduwd_16","WestersTotaal_17","NietWestersTotaal_18","GeboorteTotaal_24","SterfteTotaal_26","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","Woningvoorraad_34"
"WK014004  ","9","14","2.3","57","187","94","6","95","5","76","23","96","4","2860","1840","1300","30.3","23.7","37.9","18.6","63.2","5.2","1.2","2.5","3.7","1","506.17283950617286","493.82716049382714","179.01234567901236","117.28395061728395","182.09876543209876","320.98765432098764","194.44444444444446","469.1358024691358","419.75308641975306","58.641975308641975","49.382716049382715","37.03703703703704","15.432098765432098","9.25925925925926","12.345679012345679","425.9259259259259","138.88888888888889","132.71604938271605","151.23456790123456","417.9012345679012"
"WK026200  ","7","12","2.2","2271","222","79","21","97","3","61","38","85","15","2760","1530","9900","32.5","26.5","39.7","19.5","55.8","6.3","1.2","0.6","0.8","0.6","482.70313757039423","516.8946098149638","154.46500402252616","94.12711182622687","195.49477071600964","292.4376508447305","264.68222043443285","409.8954143201931","445.69589702333064","71.19871279163314","72.80772325020112","65.56717618664521","80.04827031375704","7.240547063555913","12.469831053901851","446.09814963797265","147.62670957361223","156.87851971037813","141.1906677393403","459.1311343523733"
"WK026201  ","5","11","2.3","30","374","81","19","90","10","73","23","92","8","4150","2270","1000","36.9","30.5","40.6","23.4","58.1","4.7","1.4","3.2","3.1","2.4","554.2635658914729","441.86046511627904","151.1627906976744","131.7829457364341","139.53488372093022","333.3333333333333","248.06201550387595","418.6046511627907","472.86821705426354","50.3875968992248","50.3875968992248","42.63565891472868","46.51162790697674","3.875968992248062","11.627906976744185","406.9767441860465","116.27906976744185","151.1627906976744","131.7829457364341","366.6666666666667"
"WK026202  ","6","10","2.4","78","305","85","15","95","5","77","22","82","18","3660","1970","3400","31.6","26.1","41.3","18.7","63.6","3.6","1.4","2.2","2","2","510.2040816326531","488.5954381752701","151.26050420168067","106.84273709483793","180.0720288115246","325.3301320528211","238.89555822328933","410.5642256902761","486.19447779111647","40.816326530612244","61.224489795918366","31.2124849939976","7.202881152460985","6.002400960384153","9.603841536614645","408.16326530612247","98.43937575030012","158.46338535414165","150.06002400960384","414.64585834333735"
"WK026203  ","8","7","2.3","68","296","87","13","95","5","79","20","85","15","3640","2030","1400","31.8","26.5","40.3","19.5","59.3","4.1","1.4","4.3","1.3","1.3","497.1098265895954","502.8901734104046","138.72832369942196","101.15606936416185","170.52023121387282","335.26011560693644","260.11560693641616","384.39306358381504","505.78034682080926","43.35260115606936","60.69364161849711","37.57225433526011","20.23121387283237","8.670520231213873","5.780346820809249","427.7456647398844","112.71676300578035","179.1907514450867","132.9479768786127","428.9017341040462"
"WK026204  ","6","12","2.2","261","297","87","13","96","4","70","29","83","17","3190","1900","8600","36.2","29.5","37.7","22.8","54.4","5.6","1.3","0.9","1.4","1","488.8991674375578","511.1008325624422","144.77335800185014","99.44495837187789","157.72432932469934","313.1359851988899","286.308973172988","386.21646623496764","473.1729879740981","70.30527289546716","70.30527289546716","74.93061979648473","34.22756706753007","6.475485661424607","12.025901942645698","438.4828862164662","133.67252543940796","165.58741905642924","139.22294172062905","442.9232192414431"
"WK026205  ","3","10","2.3","71","319","89","11","95","5","77","22","90","10","3530","2060","2600","32.9","27.5","39.8","20.6","61.1","5.5","1.4","3.6","1.5","1.5","505.6179775280899","494.3820224719101","136.4365971107544","109.14927768860353","141.25200642054574","356.3402889245586","260.03210272873196","388.4430176565008","494.3820224719101","49.75922953451043","65.81059390048154","48.154093097913325","8.025682182985554","3.2102728731942216","11.235955056179776","428.57142857142856","110.75441412520064","179.77528089887642","134.8314606741573","430.4975922953451"
"WK080910  ","8","10","2.3","976","230","81","19","95","5","58","42","87","13","3330","1350","8200","29","23.8","42.6","16.6","61","5.2","1.2","0.6","1.2","0.5","494.35998038254047","505.64001961745953","149.09269249632172","123.09955860716038","216.28249141736146","314.36978911230995","197.1554683668465","436.9789112309956","436.48847474252085","67.68023540951447","58.852378616969105","65.7184894556155","48.55321235899951","8.337420304070623","10.789602746444336","422.2658165767533","117.21432074546347","138.79352623835214","166.2579695929377","441.7851888180481"
"WK080920  ","7","9","2.3","475","243","84","16","97","3","63","36","82","18","3410","1430","5100","32.3","26.4","38.9","19.9","61.6","5","1.2","1.1","0.7","0.6","502.40384615384613","496.79487179487177","153.0448717948718","108.97435897435898","217.94871794871796","322.9166666666667","196.31410256410257","431.0897435897436","445.5128205128205","72.11538461538461","51.282051282051285","65.7051282051282","40.06410256410256","8.012820512820513","9.615384615384615","436.69871794871796","130.60897435897436","153.84615384615384","153.84615384615384","430.28846153846155"
"WK080930  ","8","13","2.3","301","253","80","20","96","4","66","33","82","18","3330","1540","4900","33.8","27.6","37.3","21.5","61.4","3.9","1.2","0.8","0.8","0.5","488.9253486464315","510.2543068088597","161.6078753076292","93.51927809680066","210.0082034454471","278.09680065627566","255.94749794913864","410.17227235438884","450.36915504511893","66.44790812141099","73.83100902378999","64.80721903199344","22.969647251845775","8.203445447087777","13.125512715340443","433.9622641509434","128.7940935192781","157.50615258408533","148.48236259228875","452.33798195242"
"WK080940  ","12","10","2.5","90","372","100","0","94","6","83","17","85","15","4760","2180","500","34.3","28.1","36.7","21.3","62.8","2.8","1.6","4","4.5","0.8","531.5315315315315","468.4684684684685","144.14414414414415","117.11711711711712","207.2072072072072","315.31531531531533","216.21621621621622","468.4684684684685","459.4594594594595","27.027027027027028","54.054054054054056","45.04504504504504","0","9.00900900900901","9.00900900900901","396.39639639639637","99.09909909909909","135.13513513513513","162.16216216216216","401.8018018018018"
"WK033100  ","10","6","2.6","188","270","87","13","95","5","73","27","86","14","3550","1550","11100","32.5","25.5","38.3","20.6","65","4.4","1.3","1.6","2","0.8","506.15980288630766","493.48820837733194","179.86624428018303","139.38753959873284","214.71312917986626","306.9341781063006","159.80288630763815","461.45723336853223","445.61774023231254","51.39035550862373","42.23864836325237","40.83069341781063","43.99859204505456","10.559662090813093","6.335797254487856","385.0756775783175","98.55684618092221","120.73213657162971","165.43470608940513","389.0179514255544"
"WK002400  ","7","11","2.2","135","148","87","13","93","7","61","38","93","7","2690","1660","2900","28.6","23.3","43.6","16.2","56.4","6.8","1.1","1.6","1.5","1.9","492.97752808988764","507.02247191011236","150.2808988764045","108.14606741573034","171.34831460674158","327.24719101123594","241.57303370786516","401.685393258427","463.4831460674157","63.20224719101124","70.2247191011236","33.70786516853933","22.471910112359552","7.022471910112359","11.235955056179776","442.4157303370786","144.6629213483146","154.4943820224719","141.85393258426967","474.7191011235955"
"WK002401  ","3","4","2.3","67","144","98","2","96","4","75","25","96","4","2660","1830","1300","29.1","23.1","37.8","16.4","63","5.3","1.2","2","4.4","1.1","513.7614678899082","486.23853211009174","171.25382262996942","100.91743119266054","226.29969418960243","327.217125382263","171.25382262996942","446.4831804281346","452.59938837920487","64.22018348623853","33.63914373088685","51.98776758409786","18.34862385321101","3.058103975535168","3.058103975535168","434.2507645259939","119.26605504587155","165.13761467889907","149.84709480122325","451.98776758409787"
