"geo","GeboorteRelatief_25","SterfteRelatief_27","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","GemiddeldeWOZWaardeVanWoningen_35","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","GemiddeldElektriciteitsverbruikTotaal_47","GemiddeldAardgasverbruikTotaal_55","AantalInkomensontvangers_64","GemiddeldInkomenPerInkomensontvanger_65","GemiddeldInkomenPerInwoner_66","k_40PersonenMetLaagsteInkomen_67","k_20PersonenMetHoogsteInkomen_68","Actieven1575Jaar_69","HuishoudensMetEenLaagInkomen_72","PersonenautoSPerHuishouden_91","AfstandTotHuisartsenpraktijk_94","AfstandTotGroteSupermarkt_95","AfstandTotSchool_97","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","Verweduwd_16","WestersTotaal_17","NietWestersTotaal_18","GeboorteTotaal_24","SterfteTotaal_26","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","Woningvoorraad_34"
"GM0757    ","8","9","2.2","481","237","73","27","96","4","60","39","86","14","3120","1390","24300","31.2","25.3","39.2","18.9","59.8","5.5","1.1","1","0.9","0.7","496.8684759916493","503.1315240083507","163.10020876826724","114.78992693110648","227.98147181628391","286.69754697286015","207.43084551148226","444.35020876826724","428.36638830897704","71.69885177453027","55.58455114822547","73.62343423799582","80.47364300626305","8.285490605427976","9.361951983298539","437.3042797494781","146.0073068893528","140.88596033402922","150.41101252609604","434.10751565762007"
"GM0758    ","10","9","2.1","1447","235","61","39","97","3","55","45","84","16","2950","1020","143900","33.9","27.3","39.3","22.2","59.6","8.2","1.7","0.7","0.7","0.7","491.45383535193963","508.54616464806037","159.7935316833421","138.00026329647181","262.39139020537124","263.30744251360363","176.50737230121118","522.9232490784624","349.96489380375635","78.19356678953835","48.91829032824293","111.6486747410918","119.21844830612604","10.131428822187116","9.094698964367211","479.18312269615586","202.7711953659821","131.105186940495","145.30674038967877","451.06525364226786"
"GM0501    ","7","9","2.2","611","NaN","80","20","93","7","65","35","82","18","3130","1250","13500","37.1","30.2","34.1","28.8","61.2","4.3","1.2","1.3","0.7","0.9","490.70278619378604","509.29721380621396","143.52759460583377","108.65561694290976","218.67759757618964","312.8378779777817","216.3013128972851","403.0178815422088","455.23673736113585","85.01158438780966","56.733796708845716","86.02150537634408","47.16925087625498","7.307075387631438","9.445731598645517","448.58314026020315","142.99293055308027","152.0822194498901","153.50799025723282","463.2566981524387"
"GM1876    ","6","9","2.3","128","244","85","15","95","5","68","30","90","10","3290","1750","29600","30.4","25","40.9","17.6","59.2","4.4","1.3","1.8","1.8","1.1","498.4894259818731","501.5105740181269","146.33342488327384","112.6613567701181","167.8110409228234","330.18401538039","243.01016204339467","414.748695413348","460.9722603680308","55.83630870639934","68.44273551222192","39.90661906069761","18.70365284262565","6.152156001098599","9.447953858829992","424.9656687723153","117.44026366382862","158.8574567426531","148.66794836583355","441.1700082394946"
"GM0213    ","8","9","2.3","248","236","88","12","97","3","59","39","90","10","2980","1590","17000","30.6","25.3","40.7","18.6","58","5.6","1.2","1","1","0.7","493.3071055030466","506.6928944969534","143.30950438996305","113.27544019574917","190.80746533608405","313.1027203377633","239.50486974044043","399.8464712373459","469.893969198292","65.00983543635753","65.2497241280046","60.30801708007485","56.18193158374514","8.156215516000575","9.835436357530106","433.2389771146188","123.20683202993811","159.6219354219642","150.4102096627165","443.7461018087607"
"GM0899    ","8","13","2.1","1648","136","69","31","93","7","59","39","89","11","2960","1350","23100","27.1","22.5","41.9","13","54.1","8.2","1.1","0.8","0.6","0.6","489.2093941744834","510.7906058255166","131.49728471683477","99.33704774666761","214.18999929473165","321.9902672967064","232.98540094505958","397.4187178221313","422.8436420057832","103.03970660836448","76.697933563721","189.82297764299315","51.51985330418224","8.357430002115805","13.787996332604555","479.5472177163411","178.96184498201566","152.7258621905635","147.8595105437619","510.05007405317724"
"GM0312    ","8","7","2.3","410","294","84","16","97","3","73","26","85","15","3130","1520","11800","38.9","30.7","31.7","29.9","63.1","3.8","1.1","0.8","0.7","0.7","495.183425705991","504.816574294009","182.0401161256268","102.79757191871207","201.90023752969122","298.6935866983373","214.56848772763263","446.6877804169966","443.2567959883874","57.40300870942201","52.652414885193984","76.27342306677224","48.891528107680124","8.907363420427554","7.521773555027711","425.3101082079704","129.58564264977568","138.16310372129848","157.56136183689628","418.4481393507522"
"GM0313    ","13","6","2.6","690","262","81","19","96","4","74","25","80","20","3480","1460","16000","31.2","24.1","38.9","19.3","66.7","3.8","1.1","0.9","0.9","0.5","499.19124643196955","500.80875356803045","197.43101807802094","133.82492863939106","263.0827783063749","249.19124643196955","156.47002854424358","420.2188392007612","494.7193149381541","44.576593720266416","40.48525214081827","54.519505233111325","47.52616555661275","13.606089438629876","6.232159847764034","378.5918173168411","93.10180780209325","113.84395813510942","171.64605137963844","387.01236917221695"
"GM0214    ","7","7","2.4","197","278","92","8","96","4","73","26","84","16","3530","1750","20800","33.6","26.7","38.5","22.7","62.6","4.3","1.4","1.8","1.6","1","501.44223470472144","498.55776529527856","165.2117807803249","114.9233338393806","209.12403218460605","323.1364809473205","187.604372248368","415.8190374981023","470.2823743737665","61.2570214057993","52.641566722331866","55.298314862608166","23.493244269014728","7.742523151662366","7.438894792773645","405.83725519963565","99.74191589494458","143.8059814786701","162.28935782602096","396.9561257021406"
"GM0502    ","10","9","2.1","4671","178","45","55","97","3","51","48","90","10","2880","790","51900","32.4","25.7","38.6","21.4","57.9","8.6","1","0.8","0.7","0.6","482.97978049110975","517.0202195088902","165.36938618810316","115.3550834826335","241.18878065672","288.9748724048117","189.1118772677316","471.7935592658948","385.17938603754834","91.31148281417022","51.71557188238659","111.25999307447945","228.43678956956384","10.40333629424429","9.183842459463122","461.20955721834963","172.29490673130485","125.62292046190211","163.29173002514264","462.88071543638307"
"GM0383    ","8","10","2.3","711","267","77","23","97","3","74","26","87","13","2900","1470","28500","36.5","30","35.6","25.4","59.2","3.8","1.1","0.7","0.8","0.6","489.9477510222626","510.0522489777374","148.93798273512039","119.00840527033166","188.74943207632893","303.21444797819174","240.08973194002726","435.14311676510675","438.1531122217174","68.15084052703317","58.552930486142664","69.85461154020899","40.80531576556111","8.092912312585188","10.705361199454794","436.9036801453885","141.18582462517037","143.88346206269878","151.8343934575193","444.854611540209"
