area_code,area_name,births_2024,births_2015,births_growth_2015_2024_pct,taxable_income_2024_thousand_yen,taxable_income_2015_thousand_yen,taxable_income_growth_2015_2024_pct
20304,川上村,18.0,37.0,-51.35135135135135,6480694.0,6798512.0,-4.674817077619338
20305,南牧村,14.0,17.0,-17.647058823529413,4521789.0,5000405.0,-9.571544704878905
20306,南相木村,5.0,3.0,66.66666666666666,1014380.0,1005353.0,0.897893575689335
20307,北相木村,1.0,5.0,-80.0,761773.0,807815.0,-5.699572303064439
20309,佐久穂町,42.0,65.0,-35.38461538461539,12773449.0,11751388.0,8.697364090097272
20321,軽井沢町,82.0,127.0,-35.43307086614173,55653468.0,31722532.0,75.43829099140005
20323,御代田町,94.0,108.0,-12.962962962962962,27460244.0,19208216.0,42.96092880254991
20324,立科町,26.0,26.0,0.0,8114575.0,7858491.0,3.2586917768309465
20349,青木村,19.0,27.0,-29.629629629629626,5745296.0,4591934.0,25.117129296718986
20350,長和町,11.0,29.0,-62.06896551724138,6216400.0,6183154.0,0.5376867533947884
20361,下諏訪町,69.0,122.0,-43.44262295081967,28524076.0,27833425.0,2.4813726661379256
20362,富士見町,35.0,95.0,-63.1578947368421,20510686.0,17709934.0,15.814581804765618
20363,原村,30.0,53.0,-43.39622641509434,12672621.0,9501645.0,33.37291595297446
20382,辰野町,71.0,98.0,-27.55102040816326,25794240.0,24228980.0,6.4602802098974035
20383,箕輪町,151.0,196.0,-22.95918367346939,38554868.0,32295255.0,19.382454171673206
20384,飯島町,34.0,70.0,-51.42857142857142,11665749.0,10762926.0,8.388267279734155
20385,南箕輪村,130.0,153.0,-15.032679738562091,25401443.0,19156874.0,32.59701452335073
20386,中川村,23.0,30.0,-23.333333333333332,5780502.0,5378475.0,7.4747395869647075
20388,宮田村,38.0,73.0,-47.94520547945205,13709098.0,11705016.0,17.121565660397216
20402,松川町,57.0,92.0,-38.04347826086957,16857472.0,14796343.0,13.929989322361614
20403,高森町,64.0,96.0,-33.33333333333333,18450070.0,15244766.0,21.02560314799191
20404,阿南町,9.0,25.0,-64.0,4547340.0,4333620.0,4.931673750813408
20407,阿智村,19.0,56.0,-66.07142857142857,7135066.0,6381563.0,11.807499197296963
20409,平谷村,2.0,1.0,100.0,437724.0,395881.0,10.569590356698098
20410,根羽村,2.0,2.0,0.0,868252.0,892016.0,-2.664077774389697
20411,下條村,21.0,30.0,-30.0,4171588.0,4150752.0,0.5019813277208564
20412,売木村,1.0,2.0,-50.0,407208.0,450642.0,-9.638249430812042
20413,天龍村,2.0,4.0,-50.0,1064235.0,1171714.0,-9.172801553962827
20414,泰阜村,8.0,14.0,-42.857142857142854,1564078.0,1617064.0,-3.2766792161596574
20415,喬木村,36.0,43.0,-16.27906976744186,7482628.0,6580790.0,13.704099355852412
20416,豊丘村,42.0,48.0,-12.5,8383655.0,7052900.0,18.868196061194688
20417,大鹿村,5.0,5.0,0.0,859813.0,678482.0,26.725985361439214
20422,上松町,12.0,24.0,-50.0,5198541.0,5213585.0,-0.28855384538661977
20423,南木曽町,11.0,18.0,-38.88888888888889,4416221.0,4591913.0,-3.8261177857681536
20425,木祖村,8.0,24.0,-66.66666666666666,3097945.0,3249861.0,-4.674538387949515
20429,王滝村,1.0,2.0,-50.0,843784.0,908566.0,-7.130136941069774
20430,大桑村,14.0,19.0,-26.31578947368421,4455564.0,4404954.0,1.1489336778545247
20432,木曽町,23.0,61.0,-62.295081967213115,13325848.0,13224616.0,0.7654815837374787
20446,麻績村,8.0,12.0,-33.33333333333333,2662099.0,2653338.0,0.3301878614786356
20448,生坂村,2.0,8.0,-75.0,1698028.0,1639862.0,3.547005784633097
20450,山形村,40.0,79.0,-49.36708860759494,12413232.0,10921587.0,13.657767868351002
20451,朝日村,14.0,22.0,-36.36363636363637,5693955.0,5720986.0,-0.4724884836285214
20452,筑北村,8.0,22.0,-63.63636363636363,4529104.0,4553377.0,-0.5330768789845427
20481,池田町,24.0,64.0,-62.5,12065011.0,11312867.0,6.648571047463035
20482,松川村,54.0,56.0,-3.571428571428571,13682394.0,10924181.0,25.24869370069939
20485,白馬村,29.0,66.0,-56.060606060606055,11890397.0,8350572.0,42.39020991615904
20486,小谷村,12.0,19.0,-36.84210526315789,2935360.0,2528531.0,16.089539736708787
20521,坂城町,53.0,79.0,-32.91139240506329,26859480.0,19354002.0,38.779979458511995
20541,小布施町,71.0,69.0,2.898550724637681,16025651.0,12781608.0,25.380554621922375
20543,高山村,22.0,34.0,-35.294117647058826,9177541.0,7930863.0,15.719323357369811
20561,山ノ内町,35.0,70.0,-50.0,13298056.0,11893506.0,11.809385726967305
20562,木島平村,6.0,34.0,-82.35294117647058,4941247.0,4500376.0,9.796314796808089
20563,野沢温泉村,16.0,23.0,-30.434782608695656,3576811.0,2882926.0,24.068775958869566
20583,信濃町,23.0,23.0,0.0,9191707.0,8420244.0,9.16200290632908
20588,小川村,7.0,16.0,-56.25,2424766.0,2409218.0,0.6453546337442274
20590,飯綱町,55.0,49.0,12.244897959183673,13442765.0,12721929.0,5.666090417577397
20602,栄村,5.0,7.0,-28.57142857142857,1385723.0,1516480.0,-8.62240187803334
21201,岐阜市,2320.0,3184.0,-27.1356783919598,708840551.0,594484990.0,19.236072049523067
21202,大垣市,854.0,1332.0,-35.88588588588589,271781816.0,227033683.0,19.70990930011033
21203,高山市,392.0,704.0,-44.31818181818182,123744866.0,109669617.0,12.83422828038143
21204,多治見市,471.0,776.0,-39.3041237113402,173991692.0,158862475.0,9.5234680184858
21205,関市,391.0,643.0,-39.19129082426128,127068441.0,113483939.0,11.97041812233888
21206,中津川市,380.0,626.0,-39.29712460063898,111249202.0,99415029.0,11.903806817780035
21207,美濃市,57.0,120.0,-52.5,27396178.0,26344517.0,3.9919539993843878
21208,瑞浪市,178.0,271.0,-34.31734317343174,53373204.0,48430546.0,10.20566235202056
21209,羽島市,368.0,488.0,-24.59016393442623,106847468.0,89722969.0,19.08597005968449
21210,恵那市,177.0,330.0,-46.36363636363636,66037113.0,61999451.0,6.512415730907037
21211,美濃加茂市,317.0,484.0,-34.50413223140496,90687799.0,72807008.0,24.559161942213034
21212,土岐市,250.0,393.0,-36.38676844783715,81055526.0,71384186.0,13.548294856230484
21213,各務原市,808.0,1271.0,-36.42800944138473,242550562.0,208925994.0,16.09400886708238
21214,可児市,458.0,807.0,-43.246592317224284,161462064.0,141518365.0,14.092657868114856
21215,山県市,67.0,117.0,-42.73504273504273,33761314.0,33098576.0,2.0023157491730155
21216,瑞穂市,408.0,619.0,-34.087237479806134,93097825.0,73289670.0,27.027212702690573
21217,飛騨市,83.0,160.0,-48.125,31348102.0,28655418.0,9.396770970153009
21218,本巣市,148.0,215.0,-31.16279069767442,47656929.0,42945713.0,10.970165986067107
21219,郡上市,150.0,290.0,-48.275862068965516,50017754.0,47680904.0,4.901018655183216
21220,下呂市,93.0,192.0,-51.5625,38805506.0,36639883.0,5.910561996063143
21221,海津市,95.0,180.0,-47.22222222222222,45194861.0,45640628.0,-0.9766890148838444
21302,岐南町,229.0,302.0,-24.17218543046358,46819483.0,35308929.0,32.59955576675804
21303,笠松町,166.0,235.0,-29.361702127659573,36360647.0,29742919.0,22.249759682296148
21341,養老町,68.0,183.0,-62.841530054644814,36861630.0,36637153.0,0.6127031759263608
21361,垂井町,111.0,163.0,-31.901840490797547,38439319.0,34685325.0,10.823003676626932
21362,関ケ原町,12.0,31.0,-61.29032258064516,8551453.0,9243278.0,-7.484628288795382
21381,神戸町,81.0,125.0,-35.199999999999996,26365505.0,24495230.0,7.6352620489785155
21382,輪之内町,41.0,88.0,-53.40909090909091,14004875.0,11942612.0,17.26810684295864
