"area_code","area_name","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A4200","A5101","A5102","A9101","A9201","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","I510120","I5102","I5103"
"R07421","会津坂下町","15068","7245","7823","14933","7188","7745","1611","821","790","7909","4032","3877","5522","2374","3148","47","251","272","394","28","19","2","242","2","46","613","1","31","351","1","305","1","9","8"
"R07422","湯川村","3081","1485","1596","3073","1485","1588","421","238","183","1594","789","805","1066","458","608","17","47","64","87","2","5","1","81","2","22","149","1","10","77","0","0","0","1","0"
"R07423","柳津町","3081","1501","1580","3074","1500","1574","310","165","145","1374","740","634","1397","596","801","9","70","50","82","6","3","0","0","2","18","124","1","11","67","0","0","0","4","1"
"R07444","三島町","1452","714","738","1444","711","733","96","52","44","573","318","255","783","344","439","2","29","28","42","3","0","0","0","1","8","43","1","8","15","0","0","1","2","0"
"R07445","金山町","1862","908","954","1851","904","947","89","56","33","638","347","291","1134","505","629","5","48","84","61","5","1","0","0","2","12","34","1","8","15","1","70","0","5","0"
"R07446","昭和村","1246","623","623","1242","623","619","66","34","32","487","283","204","693","306","387","5","39","35","32","1","1","0","0","1","7","26","1","7","12","0","0","0","2","0"
"R07447","会津美里町","19014","9108","9906","18907","9074","9833","1904","969","935","9438","4835","4603","7528","3225","4303","70","374","330","403","37","19","1","0","3","49","583","2","32","274","1","285","1","9","5"
"R07461","西郷村","20808","10636","10172","20387","10429","9958","2805","1449","1356","12432","6569","5863","5185","2373","2812","157","293","983","733","81","31","2","174","5","84","1119","3","57","559","0","0","0","10","5"
"R07464","泉崎村","6213","3061","3152","6095","3020","3075","776","385","391","3451","1773","1678","1986","903","1083","21","90","150","163","12","9","1","135","2","32","325","1","20","173","0","0","0","3","3"
"R07465","中島村","4885","2398","2487","4850","2368","2482","632","305","327","2774","1447","1327","1479","646","833","20","66","106","170","6","5","1","97","2","24","251","1","13","140","0","0","0","3","2"
"R07466","矢吹町","17287","8649","8638","17124","8559","8565","2132","1087","1045","9723","5162","4561","5429","2400","3029","75","242","542","550","56","40","4","185","4","66","857","1","32","453","1","577","1","7","10"
"R07481","棚倉町","13343","6581","6762","13236","6538","6698","1630","823","807","7372","3849","3523","4258","1864","2394","67","247","301","400","34","16","3","210","4","57","625","1","30","364","1","370","0","9","5"
"R07482","矢祭町","5392","2620","2772","5369","2613","2756","600","292","308","2666","1395","1271","2126","933","1193","16","125","103","103","14","4","1","81","1","20","249","1","15","138","0","0","0","4","2"
"R07483","塙町","8302","4079","4223","8191","4041","4150","865","444","421","4214","2188","2026","3196","1429","1767","32","148","127","181","23","9","2","120","2","28","339","1","17","180","0","0","2","4","4"
"R07484","鮫川村","3049","1531","1518","3031","1531","1500","316","157","159","1512","802","710","1221","572","649","10","57","36","105","2","4","0","0","1","12","104","1","12","70","0","0","0","2","1"
"R07501","石川町","14644","7334","7310","14493","7272","7221","1424","754","670","7719","4095","3624","5430","2434","2996","47","252","313","363","28","19","0","0","2","41","499","2","26","416","2","945","0","10","7"
"R07502","玉川村","6392","3202","3190","6319","3155","3164","795","407","388","3565","1877","1688","2024","912","1112","29","102","107","175","13","8","0","0","2","28","285","1","18","171","0","0","0","5","1"
"R07503","平田村","5826","2883","2943","5706","2817","2889","584","299","285","3179","1699","1480","2057","879","1178","21","97","97","155","11","13","0","0","2","26","228","1","15","135","0","0","1","4","3"
