"area_code","area_name","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A4200","A5101","A5102","A9101","A9201","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","I510120","I5102","I5103"
"R20403","高森町","12811","6153","6658","12602","6059","6543","1785","903","882","6777","3364","3413","4162","1825","2337","79","181","305","362","42","13","0","0","2","45","698","1","28","398","0","0","1","9","4"
"R20404","阿南町","4299","2071","2228","4258","2062","2196","393","211","182","1926","1010","916","1953","843","1110","5","137","115","128","14","6","0","0","4","42","153","2","21","87","1","133","1","5","1"
"R20407","阿智村","6068","2894","3174","5941","2843","3098","794","425","369","3017","1497","1520","2257","972","1285","19","105","140","156","6","5","0","0","5","60","329","1","22","178","1","225","0","7","0"
"R20409","平谷村","387","192","195","384","189","195","46","27","19","210","108","102","131","57","74","0","7","27","21","1","1","0","0","1","7","17","0","0","0","0","0","0","1","0"
"R20410","根羽村","852","411","441","837","410","427","57","31","26","348","174","174","447","206","241","2","29","42","39","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"R20411","下條村","3545","1709","1836","3509","1702","1807","467","213","254","1832","924","908","1246","572","674","23","67","87","91","5","5","0","0","1","16","164","1","12","94","0","0","0","2","1"
"R20412","売木村","548","252","296","541","246","295","57","23","34","219","101","118","260","119","141","1","9","34","27","1","2","0","0","1","6","18","1","9","21","0","0","0","1","1"
"R20413","天龍村","1178","558","620","1165","552","613","72","40","32","374","203","171","732","315","417","4","48","32","51","0","1","0","0","2","8","33","2","11","18","0","0","0","2","0"
"R20414","泰阜村","1542","726","816","1516","716","800","188","92","96","704","352","352","650","282","368","8","35","48","57","3","0","0","0","1","13","72","1","10","34","0","0","0","2","1"
"R20415","喬木村","5973","2908","3065","5915","2886","3029","803","405","398","3043","1578","1465","2126","924","1202","27","95","137","153","15","6","0","0","2","29","302","1","20","177","0","0","0","3","2"
"R20416","豊丘村","6426","3185","3241","6307","3141","3166","877","471","406","3432","1750","1682","2117","964","1153","51","97","141","181","16","9","0","0","2","29","335","1","19","204","0","0","0","2","2"
"R20417","大鹿村","1023","539","484","1011","532","479","98","49","49","460","269","191","465","221","244","3","20","30","30","5","1","0","0","1","9","42","1","11","23","0","0","0","3","0"
"R20422","上松町","4131","2044","2087","4076","2034","2042","375","193","182","2003","1101","902","1753","750","1003","9","91","121","110","5","3","0","0","1","19","148","1","11","88","0","0","0","4","1"
"R20423","南木曽町","3915","1896","2019","3882","1883","1999","414","216","198","1806","946","860","1683","724","959","16","70","88","133","11","4","0","0","1","14","138","1","17","113","1","105","0","2","1"
"R20425","木祖村","2692","1235","1457","2668","1231","1437","284","126","158","1240","615","625","1168","494","674","15","53","36","57","4","0","0","0","1","13","95","1","11","57","0","0","0","2","1"
"R20429","王滝村","715","340","375","702","337","365","41","20","21","365","188","177","308","131","177","0","22","29","26","0","2","0","0","1","8","11","1","0","0","0","0","0","1","0"
"R20430","大桑村","3439","1682","1757","3363","1637","1726","283","141","142","1673","897","776","1482","643","839","11","68","68","121","6","4","0","0","1","14","105","1","11","61","0","0","0","4","1"
"R20432","木曽町","10584","5155","5429","10423","5107","5316","916","481","435","5090","2678","2412","4426","1901","2525","32","192","265","317","18","13","0","0","4","51","346","3","38","223","1","309","1","8","8"
"R20446","麻績村","2593","1219","1374","2575","1214","1361","241","132","109","1189","603","586","1163","484","679","10","70","41","45","8","0","0","0","1","14","94","1","12","34","0","0","0","2","1"
"R20448","生坂村","1639","818","821","1628","818","810","169","94","75","774","408","366","696","316","380","8","40","51","68","4","3","0","0","1","15","65","1","10","33","0","0","0","1","1"
"R20450","山形村","8400","4103","4297","8237","4046","4191","1121","571","550","4830","2454","2376","2436","1070","1366","40","103","191","214","20","12","0","0","1","31","442","0","0","0","0","0","0","5","2"
"R20451","朝日村","4279","2110","2169","4238","2096","2142","525","269","256","2379","1217","1162","1375","624","751","26","58","117","122","5","4","0","0","1","16","204","1","28","376","0","0","0","1","2"
"R20452","筑北村","4149","2046","2103","4121","2035","2086","314","169","145","1905","1034","871","1930","843","1087","10","107","112","113","4","3","0","0","1","14","120","1","12","65","1","98","0","2","1"
"R20481","池田町","9382","4552","4830","9258","4485","4773","926","489","437","4730","2409","2321","3708","1648","2060","20","179","245","236","13","7","0","0","2","30","388","1","19","195","1","188","1","7","3"
"R20482","松川村","9599","4605","4994","9455","4551","4904","1069","534","535","5188","2590","2598","3305","1457","1848","43","136","396","267","30","18","0","0","1","26","435","1","21","232","0","0","0","8","5"
"R20485","白馬村","8575","4257","4318","8222","4046","4176","961","478","483","4726","2391","2335","2785","1319","1466","49","105","317","426","28","16","1","53","2","35","362","1","23","235","1","141","0","6","3"
"R20486","小谷村","2647","1367","1280","2586","1332","1254","269","129","140","1364","762","602","1014","476","538","11","40","74","100","10","4","0","0","1","14","98","1","11","63","0","0","0","2","1"
"R20521","坂城町","14004","6909","7095","13607","6668","6939","1530","775","755","7333","3809","3524","5018","2249","2769","61","207","242","334","29","17","1","43","3","54","566","1","29","314","1","172","0","11","5"
"R20541","小布施町","10660","5122","5538","10611","5108","5503","1396","725","671","5504","2711","2793","3748","1676","2072","57","144","288","232","30","9","0","0","1","29","572","1","25","310","0","0","1","8","4"
"R20543","高山村","6617","3242","3375","6519","3176","3343","718","383","335","3458","1753","1705","2441","1106","1335","18","99","145","144","14","11","0","0","1","20","253","1","17","157","0","0","0","3","1"
"R20561","山ノ内町","11352","5519","5833","11179","5478","5701","976","504","472","5580","2879","2701","4762","2121","2641","48","210","245","313","26","12","0","0","3","35","379","1","19","198","0","0","0","5","3"
"R20562","木島平村","4375","2114","2261","4326","2098","2228","470","229","241","2074","1050","1024","1761","790","971","13","100","102","133","9","6","0","0","1","17","209","1","16","107","1","160","0","4","1"
"R20563","野沢温泉村","3279","1571","1708","3247","1553","1694","375","188","187","1629","829","800","1257","543","714","15","74","87","85","13","3","0","0","1","14","140","1","13","58","0","0","0","4","1"
"R20583","信濃町","7739","3812","3927","7680","3786","3894","661","345","316","3661","1894","1767","3416","1572","1844","26","135","148","224","19","6","0","0","0","0","0","0","0","0","0","0","1","3","3"
"R20588","小川村","2215","1100","1115","2199","1093","1106","188","103","85","1010","543","467","1017","454","563","6","52","57","75","4","3","0","0","1","13","69","1","12","51","0","0","0","1","1"
"R20590","飯綱町","10296","5019","5277","10252","4996","5256","1019","510","509","5094","2592","2502","4182","1917","2265","45","167","257","235","13","8","0","0","2","31","415","1","20","231","1","155","1","3","2"
"R20602","栄村","1660","800","860","1645","797","848","103","57","46","654","344","310","902","398","504","7","42","64","44","1","2","0","0","2","14","44","1","12","18","0","0","0","3","1"
"R21201","岐阜市","402557","191679","210878","377921","180113","197808","45760","23410","22350","219393","106802","112591","113093","48199","64894","2378","5083","10718","10506","1447","550","37","5406","47","1192","18985","27","741","10446","18","14490","28","398","252"
"R21202","大垣市","158286","76994","81292","152167","73980","78187","20339","10483","9856","92709","46527","46182","43465","19024","24441","973","1960","4000","4173","560","250","13","651","18","499","7723","9","278","3930","8","6227","6","133","94"
"R21203","高山市","84419","40483","43936","83650","40146","43504","10547","5403","5144","45399","22824","22575","28093","11976","16117","496","1277","1897","2167","246","95","3","342","19","362","4005","12","217","2262","4","2411","3","76","33"
"R21204","多治見市","106732","51437","55295","104293","50364","53929","12253","6224","6029","60458","30141","30317","33321","14735","18586","484","1385","2349","2742","291","140","9","674","13","295","4761","9","200","2680","4","2561","4","83","51"
"R21205","関市","85283","41657","43626","82699","40379","42320","10487","5377","5110","47961","24152","23809","25999","11603","14396","400","1099","1840","2196","228","104","6","629","17","351","3998","9","214","2378","3","2031","2","70","30"
"R21206","中津川市","76570","37414","39156","74256","36295","37961","9113","4793","4320","41736","21486","20250","24980","10751","14229","349","1159","1368","1822","219","84","4","389","16","282","3551","12","190","1904","5","1517","2","53","30"
"R21207","美濃市","19247","9289","9958","18725","9045","9680","2112","1066","1046","10121","5074","5047","6973","3114","3859","66","298","395","476","45","19","0","0","5","95","805","2","46","464","1","515","1","15","9"
"R21208","瑞浪市","37150","18156","18994","36064","17617","18447","4187","2180","2007","21105","10945","10160","11639","4927","6712","181","497","893","1065","106","33","8","150","7","131","1632","4","94","966","3","1792","2","32","19"
"R21209","羽島市","65649","32303","33346","64062","31460","32602","8480","4337","4143","38380","19398","18982","18140","8162","9978","350","755","1654","1666","188","101","3","502","8","204","3308","4","116","1785","1","437","1","45","39"
"R21210","恵那市","47774","23138","24636","46751","22659","24092","5499","2814","2685","25118","12899","12219","16856","7261","9595","164","800","856","1108","101","62","1","109","14","203","2119","8","128","1209","3","1102","2","40","19"
"R21211","美濃加茂市","56689","28141","28548","50418","24996","25422","8277","4076","4201","32868","16660","16208","12916","5775","7141","359","535","1561","1465","185","81","2","271","9","247","3543","3","122","1788","3","2273","3","35","28"
"R21212","土岐市","55348","26803","28545","53526","25938","27588","6553","3352","3201","30878","15590","15288","17692","7715","9977","254","926","1037","1372","143","71","4","164","8","182","2496","6","129","1396","3","918","2","36","26"
"R21213","各務原市","144521","71220","73301","140275","68931","71344","18832","9645","9187","83147","42309","40838","40954","18282","22672","858","1683","4090","4317","504","182","13","1996","17","480","7443","8","278","3810","3","2138","4","114","61"
"R21214","可児市","99968","49202","50766","91223","44980","46243","12949","6639","6310","57717","29125","28592","27764","12735","15029","505","1078","2439","2660","332","149","9","1301","12","374","5363","6","202","2840","3","1675","4","66","36"
"R21215","山県市","25280","12184","13096","24668","12000","12668","2616","1362","1254","13520","6674","6846","9115","4142","4973","111","404","363","618","51","32","1","243","9","122","1008","3","59","584","1","207","1","23","9"
"R21216","瑞穂市","56388","28105","28283","53139","26476","26663","8590","4425","4165","34645","17565","17080","11829","5367","6462","501","493","1916","1963","273","92","1","158","7","222","3334","3","121","1743","0","0","0","35","19"
"R21217","飛騨市","22538","10860","11678","22407","10803","11604","2393","1214","1179","11032","5760","5272","9102","3875","5227","91","447","406","512","41","18","0","0","6","91","953","3","52","507","2","421","2","23","7"
"R21218","本巣市","32928","15936","16992","32205","15616","16589","4187","2140","2047","18511","9252","9259","10038","4445","5593","156","414","798","857","85","44","9","633","7","131","1572","3","77","896","2","1205","0","23","12"
"R21219","郡上市","38997","19051","19946","38474","18787","19687","4575","2319","2256","19746","10209","9537","14612","6467","8145","165","718","561","820","88","39","4","156","17","227","1800","8","122","1001","2","749","4","25","15"
"R21220","下呂市","30428","14471","15957","29921","14240","15681","3246","1656","1590","14670","7399","7271","12298","5275","7023","108","593","486","739","49","32","0","0","9","133","1174","6","82","763","1","452","2","27","13"
"R21221","海津市","32735","16045","16690","32000","15686","16314","3270","1667","1603","18152","9207","8945","11257","5134","6123","90","511","411","685","72","42","0","0","6","109","1186","3","62","763","1","270","1","22","14"
"R21302","岐南町","25881","12664","13217","24976","12263","12713","3774","1913","1861","15941","7967","7974","5822","2626","3196","257","240","1223","1224","129","53","0","0","3","89","1431","1","44","704","1","324","0","26","13"
"R21303","笠松町","22208","10513","11695","21670","10284","11386","2740","1399","1341","13011","6322","6689","6210","2655","3555","128","283","927","868","97","45","2","289","3","74","1028","1","38","533","1","974","2","19","12"
"R21341","養老町","26882","13116","13766","26413","12854","13559","2848","1479","1369","14822","7504","7318","9162","4094","5068","77","376","356","565","62","30","0","0","7","102","1028","2","53","687","1","691","1","15","11"
"R21361","垂井町","26402","12985","13417","25607","12570","13037","3272","1685","1587","14765","7531","7234","8280","3718","4562","125","339","480","587","67","35","0","0","7","108","1181","2","54","727","1","221","1","15","11"
"R21362","関ケ原町","6610","3202","3408","6462","3132","3330","584","302","282","3338","1693","1645","2649","1180","1469","12","116","77","152","12","7","0","0","1","17","195","1","16","138","0","0","0","5","4"
"R21381","神戸町","18585","9099","9486","18192","8922","9270","2177","1070","1107","10309","5244","5065","5973","2729","3244","90","249","361","445","31","24","4","54","4","71","842","1","35","454","0","0","0","13","11"
"R21382","輪之内町","9654","4807","4847","9175","4509","4666","1300","651","649","5753","2999","2754","2571","1139","1432","41","103","145","258","22","10","0","0","3","44","452","1","25","269","0","0","0","5","2"
"R21383","安八町","14355","7036","7319","14041","6883","7158","1875","956","919","8306","4186","4120","4111","1851","2260","52","165","349","343","39","16","0","0","3","56","744","2","45","546","0","0","0","11","6"
"R21401","揖斐川町","19529","9366","10163","19306","9237","10069","1993","1022","971","10003","5040","4963","7523","3299","4224","53","347","306","424","30","21","1","165","7","84","651","4","54","470","2","334","0","22","6"
"R21403","大野町","22041","10778","11263","21750","10627","11123","2794","1467","1327","12579","6333","6246","6608","2941","3667","81","270","358","557","41","27","1","75","7","100","1096","3","52","625","0","0","0","13","9"
"R21404","池田町","23360","11425","11935","22827","11143","11684","2976","1532","1444","13427","6821","6606","6911","3049","3862","76","282","354","554","49","19","1","177","5","93","1207","1","50","689","1","371","1","9","9"
"R21421","北方町","18139","8652","9487","17702","8459","9243","2501","1271","1230","11063","5393","5670","4455","1917","2538","148","182","674","763","65","23","1","175","0","0","0","0","0","0","1","826","0","22","14"
"R21501","坂祝町","8071","4168","3903","7506","3832","3674","1046","549","497","4686","2533","2153","2254","1028","1226","60","104","292","239","43","21","1","75","1","32","453","1","19","208","0","0","0","5","2"
"R21502","富加町","5626","2705","2921","5491","2631","2860","792","405","387","3016","1515","1501","1817","784","1033","33","71","188","127","14","10","0","0","1","22","347","1","25","333","0","0","0","4","2"
"R21503","川辺町","9860","4865","4995","9648","4742","4906","1239","660","579","5449","2772","2677","3158","1423","1735","47","146","224","228","30","6","0","0","3","49","519","1","23","262","0","0","0","7","2"
"R21504","七宗町","3402","1608","1794","3375","1607","1768","283","148","135","1551","777","774","1568","683","885","6","81","42","94","4","5","0","0","2","25","103","2","21","59","0","0","0","4","1"
"R21505","八百津町","10195","4905","5290","10050","4855","5195","999","511","488","5089","2579","2510","4097","1809","2288","32","159","152","217","18","7","0","0","4","55","419","2","29","219","1","211","1","11","2"
"R21506","白川町","7412","3485","3927","7308","3439","3869","586","285","301","3355","1677","1678","3471","1523","1948","16","179","97","191","14","4","0","0","4","44","209","2","26","137","0","0","1","3","0"
"R21507","東白川村","2016","964","1052","1996","952","1044","185","91","94","921","488","433","910","385","525","10","34","27","56","2","4","0","0","1","11","69","1","11","48","0","0","0","2","0"
"R21521","御嵩町","17516","8770","8746","16906","8448","8458","2090","1095","995","9755","5056","4699","5565","2542","3023","75","225","383","462","47","14","1","140","3","61","875","3","54","449","2","895","1","10","4"
"R21604","白川村","1511","755","756","1482","746","736","201","93","108","810","443","367","500","219","281","11","23","44","57","6","1","0","0","0","0","0","0","0","0","0","0","0","3","1"
"R22100","静岡市","693389","337812","355577","676457","329508","346949","78274","40321","37953","395897","200965","194932","209628","91095","118533","3620","9313","20917","21885","2450","880","29","2466","85","1976","30551","57","1277","17580","27","18291","22","555","341"
"R22130","浜松市","790718","392900","397818","764849","380278","384571","101461","52415","49046","457684","235578","222106","220925","98712","122213","4561","9547","19740","20585","2928","1051","102","6729","99","2437","39990","58","1541","21683","28","21672","25","650","376"
"R22203","沼津市","189386","93046","96340","183966","90388","93578","19162","9690","9472","107423","55661","51762","60488","26398","34090","827","2819","5197","5696","678","305","15","1402","24","534","7719","19","365","4340","11","8214","8","151","125"
"R22205","熱海市","34208","15438","18770","33383","15084","18299","1993","1008","985","15252","7445","7807","16376","6658","9718","74","836","1498","1611","81","33","4","32","7","83","715","4","53","447","1","113","5","34","24"
"R22206","三島市","107783","52421","55362","105537","51387","54150","13054","6665","6389","61582","31152","30430","31677","13910","17767","538","1373","3346","3749","371","148","13","716","14","335","5024","9","198","2921","4","3523","5","96","60"
"R22207","富士宮市","128105","63364","64741","125528","62020","63508","15768","8111","7657","73531","38055","35476","37925","16656","21269","592","1685","2856","3254","383","214","9","706","23","402","6040","14","274","3548","5","3524","3","90","57"
"R22208","伊東市","65491","30668","34823","64442","30242","34200","5503","2835","2668","30839","15256","15583","27965","12019","15946","204","1287","1932","1903","149","106","15","260","7","145","2015","5","103","1251","1","689","1","54","42"
"R22209","島田市","95719","46725","48994","94095","46026","48069","12022","6104","5918","53013","26955","26058","30176","13347","16829","504","1339","1938","2124","284","98","5","392","13","335","4795","7","185","2724","5","2390","1","63","38"
"R22210","富士市","245392","120694","124698","239087","117801","121286","30431","15511","14920","143917","73864","70053","69314","30522","38792","1348","3110","5265","5592","918","439","15","1495","26","730","12010","16","436","6297","6","4107","9","182","124"
"R22211","磐田市","166672","83980","82692","157073","78871","78202","21544","11040","10504","94843","49623","45220","47581","21710","25871","849","1917","3902","4099","542","213","17","1187","22","587","8524","12","336","4609","5","4056","6","123","70"
"R22212","焼津市","136845","66952","69893","131992","64679","67313","16571","8546","8025","78621","39991","38630","40865","18017","22848","719","1768","2932","3300","453","191","17","1512","13","393","6266","9","243","3379","4","2538","4","76","56"
"R22213","掛川市","114954","57655","57299","110464","55464","55000","15655","8010","7645","66367","34432","31935","32043","14668","17375","685","1376","3160","3094","433","122","4","432","22","462","6289","9","241","3165","4","2439","3","77","46"
"R22214","藤枝市","141342","68793","72549","139161","67796","71365","18165","9211","8954","79594","39960","39634","42602","19133","23469","720","1713","3611","3822","406","179","11","893","17","438","7168","12","284","4017","6","3871","4","104","56"
"R22215","御殿場市","86614","44454","42160","84088","43270","40818","11327","5732","5595","52570","28596","23974","22176","9788","12388","515","998","3128","3737","356","136","8","606","11","269","4128","6","158","2279","3","1573","7","45","36"
"R22216","袋井市","87864","44534","43330","82773","41950","40823","12764","6637","6127","52796","27597","25199","21310","9796","11514","618","956","2327","2591","364","123","9","364","12","337","4922","4","171","2610","2","1184","2","65","24"
"R22219","下田市","20183","9675","10508","19971","9593","10378","1684","862","822","9887","5165","4722","8535","3598","4937","63","418","565","678","56","35","0","0","7","80","641","1","27","405","1","485","2","19","11"
"R22220","裾野市","50911","25773","25138","49896","25271","24625","6853","3436","3417","30028","15964","14064","13667","6205","7462","313","557","1627","1967","180","83","8","361","9","179","2468","6","128","1582","2","604","2","32","20"
"R22221","湖西市","57885","29625","28260","54565","27790","26775","6973","3570","3403","34646","18565","16081","16070","7394","8676","279","706","1503","1790","160","62","2","124","6","168","2672","5","119","1477","2","886","2","40","19"
"R22222","伊豆市","28190","13342","14848","27992","13281","14711","2328","1152","1176","13861","6961","6900","11999","5227","6772","82","606","810","910","55","50","0","0","6","81","835","3","47","492","2","371","5","14","11"
"R22223","御前崎市","31103","15803","15300","29928","15225","14703","3673","1869","1804","17564","9401","8163","9537","4309","5228","151","408","609","876","71","48","3","137","5","107","1426","2","62","843","1","307","1","16","9"
"R22224","菊川市","47789","24173","23616","44020","22263","21757","6711","3382","3329","27785","14609","13176","12864","5923","6941","262","546","1178","1326","160","65","2","153","9","186","2557","4","101","1446","3","1567","1","28","20"
"R22225","伊豆の国市","46804","22459","24345","45977","22033","23944","5328","2739","2589","25354","12635","12719","15750","6852","8898","185","724","1275","1479","127","92","4","209","6","142","2124","3","83","1144","2","1333","6","29","27"
"R22226","牧之原市","43502","21414","22088","41325","20296","21029","5064","2572","2492","24348","12643","11705","13834","6071","7763","175","636","840","1148","96","62","0","0","9","153","1990","3","74","973","2","916","1","32","16"
"R22301","東伊豆町","11488","5440","6048","11348","5402","5946","774","356","418","5189","2630","2559","5516","2448","3068","17","249","398","445","27","17","1","23","2","25","294","2","24","175","1","219","2","8","5"
"R22302","河津町","6870","3317","3553","6826","3302","3524","644","325","319","3266","1661","1605","2960","1331","1629","15","155","170","204","14","9","1","51","1","20","233","1","17","139","0","0","1","5","5"
"R22304","南伊豆町","7877","3722","4155","7829","3705","4124","659","309","350","3339","1721","1618","3873","1689","2184","27","194","194","199","18","8","0","0","3","37","227","2","26","154","1","61","0","9","1"
"R22305","松崎町","6038","2837","3201","6016","2831","3185","463","245","218","2620","1325","1295","2948","1260","1688","11","138","110","154","8","5","1","21","1","11","162","1","14","97","1","155","0","5","5"
"R22306","西伊豆町","7090","3352","3738","6996","3311","3685","435","217","218","2972","1540","1432","3654","1579","2075","17","196","144","179","7","7","0","0","2","23","129","1","12","107","0","0","1","5","4"
"R22325","函南町","36794","17916","18878","36503","17766","18737","4286","2219","2067","20397","10289","10108","12069","5378","6691","162","502","1047","1183","109","57","6","296","5","111","1721","2","66","896","1","579","2","24","18"
"R22341","清水町","31710","15388","16322","30294","14676","15618","4012","2135","1877","19101","9476","9625","8285","3591","4694","210","370","1252","1266","109","44","4","265","3","96","1562","2","62","827","1","525","2","24","22"
"R22342","長泉町","43336","21434","21902","42629","21103","21526","6880","3496","3384","26520","13525","12995","9556","4228","5328","352","454","2220","1952","197","68","4","297","3","140","2604","2","80","1295","1","828","2","29","22"
"R22344","小山町","18568","9845","8723","18372","9769","8603","2165","1101","1064","10794","6282","4512","5569","2424","3145","78","267","698","910","65","22","0","0","5","70","863","3","49","404","1","374","2","7","6"
"R22424","吉田町","28919","14413","14506","27238","13683","13555","3689","1900","1789","17590","9118","8472","7468","3303","4165","128","341","737","935","88","34","2","230","3","89","1353","1","50","776","0","0","1","16","9"
"R22429","川根本町","6206","3055","3151","6119","3034","3085","403","201","202","2727","1484","1243","3076","1370","1706","13","145","103","159","8","4","1","0","0","0","0","0","0","0","1","84","0","8","4"
"R22461","森町","17457","8699","8758","17078","8460","8618","2005","1056","949","9341","4859","4482","6001","2712","3289","55","277","246","368","36","18","5","104","3","60","803","2","36","384","1","551","1","9","5"
"R23100","名古屋市","2332176","1146669","1185507","2184995","1074998","1109997","275484","140965","134519","1388348","704963","683385","566154","247113","319041","15701","25709","130709","121493","11499","3698","159","18056","265","7034","110507","127","3847","58360","63","65057","110","2272","1426"
"R23201","豊橋市","371920","186160","185760","350303","174992","175311","48558","24797","23761","221467","115065","106402","95757","42579","53178","2124","4116","7365","8431","1330","539","19","1527","52","1314","19092","23","803","10564","11","9713","17","252","178"
"R23202","岡崎市","384654","193719","190935","368415","186304","182111","54174","27921","26253","234846","122478","112368","89678","40722","48956","2502","3541","10286","11089","1667","526","20","3506","48","1384","21624","22","775","11614","11","10803","12","234","167"
"R23203","一宮市","380073","184934","195139","368050","178865","189185","48805","25082","23723","221207","110247","110960","102543","45158","57385","2130","4403","8628","8841","1284","548","21","2871","42","1204","19263","20","684","10474","12","9296","14","257","179"
"R23204","瀬戸市","127792","62586","65206","122745","60186","62559","15806","8102","7704","72686","37131","35555","38195","16895","21300","643","1554","2727","3114","329","164","7","1593","17","488","6553","8","271","3832","6","3492","6","67","57"
"R23205","半田市","117884","59364","58520","112672","56564","56108","15247","7923","7324","72492","37631","34861","28591","12861","15730","692","1308","3312","3706","454","205","8","1049","14","398","5892","6","238","3172","5","3528","3","86","50"
"R23206","春日井市","308681","152320","156361","297652","146989","150663","40928","20884","20044","182975","93376","89599","79532","35534","43998","2085","3301","9176","9903","1273","419","17","2835","38","1019","16083","17","584","8651","8","6871","11","205","135"
"R23207","豊川市","184661","91964","92697","177239","88142","89097","25338","12869","12469","109442","56579","52863","48237","21418","26819","1204","2118","4656","4672","788","262","5","1034","26","699","9948","10","372","5245","6","4237","12","106","76"
"R23208","津島市","60942","29664","31278","59227","28873","30354","6588","3450","3138","35520","18011","17509","18299","7923","10376","264","783","1540","1768","156","88","3","155","8","183","2414","4","116","1465","3","2148","4","55","35"
"R23209","碧南市","72458","37286","35172","66802","34189","32613","9872","5120","4752","44522","23870","20652","17247","7753","9494","454","852","1715","1899","211","94","5","375","7","252","3918","5","155","2030","2","1671","4","43","35"
"R23210","刈谷市","153834","80203","73631","147066","76934","70132","20887","10725","10162","96421","52206","44215","31028","14212","16816","1312","1299","6831","6904","924","226","2","219","15","510","8616","6","280","4235","5","3916","6","97","63"
"R23211","豊田市","422330","220716","201614","400702","209599","191103","56365","28893","27472","261645","142113","119532","97411","45347","52064","2536","3843","11413","12889","1751","518","19","1430","75","1621","21842","28","883","11742","14","9698","14","244","140"
"R23212","安城市","187990","96093","91897","179259","91832","87427","27665","14261","13404","119010","63087","55923","39497","17926","21571","1325","1672","6066","6522","797","270","5","962","21","690","10790","8","354","5498","5","5196","2","129","76"
"R23213","西尾市","169046","85594","83452","159336","80273","79063","23576","12041","11535","100848","53218","47630","43373","19548","23825","967","1870","3427","3789","486","222","5","685","25","659","9527","9","354","5143","5","3745","5","89","67"
"R23214","蒲郡市","79538","39336","40202","75822","37637","38185","9583","5079","4504","45717","23674","22043","23404","10177","13227","431","1077","1741","1787","240","96","3","512","13","297","3666","7","173","2007","3","1734","3","62","40"
"R23215","犬山市","73090","36240","36850","70376","34728","35648","8825","4465","4360","42172","21793","20379","21416","9523","11893","344","838","1898","2086","195","89","5","597","10","241","3292","4","134","1874","2","1175","4","48","31"
"R23216","常滑市","58710","28575","30135","56500","27576","28924","8495","4346","4149","34460","17309","17151","14737","6465","8272","341","697","1988","1888","186","73","1","30","9","241","3522","4","132","1852","1","691","1","40","23"
"R23217","江南市","98255","47920","50335","93572","45917","47655","11679","5934","5745","54529","27172","27357","26630","11870","14760","528","1234","2617","2729","321","137","2","450","10","314","4950","6","212","3317","4","3513","2","73","53"
"R23219","小牧市","148831","75290","73541","138972","70448","68524","19321","9824","9497","91387","47984","43403","37160","16886","20274","798","1531","4832","5144","553","207","9","1128","16","501","7472","9","306","4066","4","2698","3","103","64"
"R23220","稲沢市","134751","66415","68336","130832","64421","66411","17241","8850","8391","79173","40220","38953","37287","16845","20442","767","1574","3481","3670","477","165","4","726","23","499","6789","9","251","3535","5","1867","4","100","67"
"R23221","新城市","44355","22002","22353","43264","21444","21820","4732","2444","2288","23319","12073","11246","16032","7295","8737","127","671","750","978","87","36","0","0","13","216","1881","6","111","1057","3","872","3","33","20"
"R23222","東海市","113787","59158","54629","110079","57405","52674","16453","8563","7890","69809","37949","31860","25005","11383","13622","873","1050","4242","4199","588","172","3","808","12","403","6616","6","230","3513","3","2740","3","76","53"
"R23223","大府市","93123","47374","45749","88574","44869","43705","14194","7166","7028","57143","30072","27071","19927","9047","10880","760","765","3326","3361","380","144","2","423","9","333","5724","4","183","2784","3","2024","3","74","36"
"R23224","知多市","84364","42346","42018","81839","41183","40656","10966","5760","5206","49179","25403","23776","23461","10791","12670","462","900","2525","2729","285","105","4","509","10","280","4159","5","165","2344","1","825","2","42","33"
"R23225","知立市","72193","38127","34066","66343","35064","31279","9755","5139","4616","46716","25555","21161","14360","6598","7762","574","629","3556","3344","419","109","4","755","7","241","3817","3","148","1963","2","1760","2","36","28"
"R23226","尾張旭市","83144","40453","42691","81078","39479","41599","11404","5812","5592","49283","24530","24753","21475","9551","11924","526","850","2533","2547","261","115","4","577","9","274","4602","3","139","2261","1","1066","1","74","47"
"R23227","高浜市","46106","23790","22316","42490","21935","20555","6997","3580","3417","29738","15949","13789","8896","3998","4898","306","451","1483","1709","167","86","3","387","5","179","2894","2","100","1572","1","543","1","25","15"
"R23228","岩倉市","47983","23866","24117","44522","22176","22346","5890","2995","2895","28702","14734","13968","11995","5412","6583","341","506","1853","2015","259","50","2","282","5","161","2290","2","87","1112","1","701","1","28","28"
"R23229","豊明市","69295","35061","34234","65397","32946","32451","8577","4493","4084","41574","21736","19838","18123","8230","9893","449","740","2229","2428","276","101","4","932","8","238","3419","4","133","1816","2","2135","2","41","32"
"R23230","日進市","91520","45149","46371","89895","44286","45609","13492","6911","6581","51836","25798","26038","18044","8005","10039","829","731","3714","3809","447","130","4","714","10","342","6192","5","191","2876","4","2335","4","83","54"
"R23231","田原市","59360","30138","29222","57899","29622","28277","7422","3830","3592","33453","17679","15774","16698","7533","9165","283","799","1339","1555","156","78","0","0","18","300","3034","4","116","1581","3","1125","1","37","24"
"R23232","愛西市","60829","29536","31293","59796","29057","30739","6865","3429","3436","34544","17300","17244","19192","8680","10512","280","917","1308","1455","138","82","3","557","12","237","2690","7","151","1575","3","2049","0","40","25"
