geocod,geoname,population_2021,sex_ratio_males_per_1000_females,pct_female_per_1000,pop_growth_2015_2021_per_1000,age_0_4_per_1000,age_5_9_per_1000,age_10_14_per_1000,age_15_19_per_1000,age_20_24_per_1000,age_25_29_per_1000,age_30_34_per_1000,age_35_39_per_1000,age_40_44_per_1000,age_45_49_per_1000,age_50_54_per_1000,age_55_59_per_1000,age_60_64_per_1000,age_65_69_per_1000,age_70_74_per_1000,age_75_79_per_1000,age_80_84_per_1000,age_85_plus_per_1000,aging_index_65plus_per_1000_of_0to14,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000
16J0906,Gouveia,11861,868.463,535.199,-91.39,25.377,29.93,37.434,36.675,43.251,37.012,36.591,40.216,56.488,57.668,61.883,74.867,80.263,84.226,84.563,73.35,63.907,76.3,4122.727,176.678,728.397,905.075
16J0907,Guarda,39870,901.106,526.01,-36.188,34.612,35.992,42.162,48.432,58.916,50.088,48.658,56.584,70.078,73.238,76.373,76.825,77.577,64.635,58.039,46.125,37.547,44.118,2221.085,177.092,393.335,570.427
16J0908,Manteigas,3015,868.03,535.323,-54.859,28.524,25.539,27.861,36.484,43.781,42.786,43.118,45.771,55.39,52.736,62.023,66.998,90.879,104.809,85.572,66.667,64.677,56.385,4615.385,151.72,700.246,851.966
16J0909,Mêda,4460,875.526,533.184,-64.793,24.664,29.148,31.39,39.91,39.462,34.529,38.565,47.758,51.57,59.193,58.969,74.888,81.39,82.735,79.148,83.184,61.883,81.614,4560.526,161.909,738.389,900.298
16J0910,Pinhel,8148,908.197,524.055,-74.617,23.073,28.351,30.56,41.114,42.219,33.996,40.133,45.778,56.087,60.137,64.556,74.865,79.774,77.688,75.97,74.62,67.869,83.211,4627.246,152.199,704.261,856.459
16J0911,Sabugal,9656,888.519,529.515,-186.384,25.994,28.48,29.93,32.104,35.626,32.726,38.422,43.393,48.674,50.953,59.756,71.872,84.403,81.089,75.601,82.229,72.597,106.152,4948.466,169.509,838.81,1008.319
16J0912,Seia,21545,899.242,526.526,-75.877,29.195,33.604,36.203,39.916,43.676,40.52,41.309,50.035,59.921,63.541,65.816,74.959,80.065,86.795,80.343,68.322,51.056,54.723,3446.789,176.866,609.619,786.484
16J0913,Trancoso,8059,889.123,529.346,-109.798,27.175,29.532,34.62,43.306,42.685,39.707,39.831,46.78,60.181,63.159,62.291,74.327,78.049,76.809,75.692,71.721,66.013,68.123,3923.913,165.953,651.184,817.136
1701105,Cascais,226392,889.15,529.338,79.471,41.066,48.831,54.967,55.258,53.438,50.143,51.764,59.653,75.572,84.014,73.775,68.399,60.678,57.944,56.292,44.971,31.304,31.931,1535.523,228.963,351.578,580.541
1701106,Lisboa,605447,927.175,518.894,107.012,43.322,41.639,43.358,43.602,54.698,75.488,78.605,72.977,73.382,71.575,62.43,58.327,53.303,50.781,51.09,44.245,36.37,44.808,1771.322,199.132,352.727,551.859
1701107,Loures,208268,925.875,519.244,41.861,48.322,49.158,51.386,50.824,55.424,60.024,64.196,68.546,74.121,75.24,65.195,59.98,57.637,56.048,55.822,48.121,31.94,28.017,1477.487,235.851,348.466,584.317
1701109,Mafra,87892,955.85,511.287,92.749,47.081,55.523,62.691,60.563,54.43,48.742,53.93,69.164,89.337,93.854,75.877,64.568,52.462,47.285,43.61,34.542,24.223,22.118,1039.235,249.339,259.122,508.461
1701110,Oeiras,177267,866.951,535.633,32.459,42.078,48.481,52.187,53.637,50.303,50.399,55.521,60.756,73.381,83.907,69.703,60.948,56.248,57.134,63.018,50.985,34.874,36.442,1698.506,232.181,394.361,626.542
1701111,Sintra,400216,913.719,522.543,57.832,47.279,47.797,53.639,56.272,63.241,65.837,65.25,66.197,73.898,81.036,76.881,67.848,56.722,49.311,45.343,36.393,24.697,22.36,1197.621,220.913,264.57,485.484
1701114,Vila Franca de Xira,140255,932.393,517.493,27.923,46.701,50.009,54.101,55.249,54.772,55.748,60.205,69.388,83.947,86.115,69.744,64.426,59.841,56.682,50.273,36.484,25.14,21.176,1258.226,228.697,287.753,516.451
1701115,Amadora,178331,896.654,527.244,37.429,48.696,47.109,48.382,47.12,55.952,66.707,70.599,69.337,71.362,70.319,62.059,58.666,57.651,54.842,55.986,48.214,34.604,32.395,1567.689,228.951,358.924,587.874
1701116,Odivelas,160487,949.266,513.014,95.28,50.06,51.568,52.366,48.534,54.914,65.725,69.651,74.853,81.408,76.411,62.404,56.304,52.771,52.621,53.662,43.405,28.987,24.357,1318.443,239.502,315.77,555.272
1701502,Alcochete,19224,922.208,520.235,50.894,40.678,54.411,66.323,64.971,54.931,46.14,47.181,60.965,83.697,101.02,81.929,64.087,54.047,44.892,47.545,38.546,25.853,22.784,1112.794,244.948,272.577,517.524
1701503,Almada,183334,903.147,525.445,47.635,42.109,47.023,50.482,50.122,53.362,55.358,59.858,63.829,72.507,77.187,65.798,63.9,61.478,59.323,57.796,48.294,35.716,35.858,1697.453,223.957,380.156,604.112
1701504,Barreiro,81042,899.407,526.48,39.56,39.856,43.274,49.468,52.319,51.442,53.775,56.07,57.797,71.518,81.846,65.596,60.635,58.661,59.105,68.323,58.217,39.301,32.798,1943.793,217.495,422.766,640.261
1701506,Moita,68133,915.086,522.17,43.496,47.363,49.169,55.92,55.92,54.702,54.893,57.96,61.806,74.604,79.418,64.242,61.527,63.479,62.862,56.933,44.633,29.971,24.599,1436.507,242.545,348.418,590.963
1701507,Montijo,57433,973.982,506.59,90.99,51.242,54.289,57.302,52.792,52.235,57.894,69.577,79.24,89.443,84.359,64.997,57.197,49.71,47.864,45.601,35.92,26.831,23.506,1103.721,247.676,273.365,521.041
