county_name,state_fips,county_fips,median_home_value_usd
"Laurens County, Georgia",13,175,132000
"Lee County, Georgia",13,177,208800
"Liberty County, Georgia",13,179,158400
"Lincoln County, Georgia",13,181,164300
"Long County, Georgia",13,183,159900
"Lowndes County, Georgia",13,185,177800
"Lumpkin County, Georgia",13,187,249400
"McDuffie County, Georgia",13,189,140900
"McIntosh County, Georgia",13,191,157600
"Macon County, Georgia",13,193,78100
"Madison County, Georgia",13,195,170600
"Marion County, Georgia",13,197,111300
"Meriwether County, Georgia",13,199,147200
"Miller County, Georgia",13,201,119400
"Mitchell County, Georgia",13,205,98400
"Monroe County, Georgia",13,207,204100
"Montgomery County, Georgia",13,209,105300
"Morgan County, Georgia",13,211,293300
"Murray County, Georgia",13,213,153700
"Muscogee County, Georgia",13,215,168400
"Newton County, Georgia",13,217,200300
"Oconee County, Georgia",13,219,389200
"Oglethorpe County, Georgia",13,221,176300
"Paulding County, Georgia",13,223,251100
"Peach County, Georgia",13,225,170500
"Pickens County, Georgia",13,227,263200
"Pierce County, Georgia",13,229,116800
"Pike County, Georgia",13,231,234700
"Polk County, Georgia",13,233,151400
"Pulaski County, Georgia",13,235,120500
"Putnam County, Georgia",13,237,203300
"Quitman County, Georgia",13,239,85800
"Rabun County, Georgia",13,241,236900
"Randolph County, Georgia",13,243,83800
"Richmond County, Georgia",13,245,142100
"Rockdale County, Georgia",13,247,221800
"Schley County, Georgia",13,249,154300
"Screven County, Georgia",13,251,107800
"Seminole County, Georgia",13,253,110300
"Spalding County, Georgia",13,255,178800
"Stephens County, Georgia",13,257,154200
"Stewart County, Georgia",13,259,72500
"Sumter County, Georgia",13,261,130000
"Talbot County, Georgia",13,263,119400
"Taliaferro County, Georgia",13,265,69200
"Tattnall County, Georgia",13,267,115600
"Taylor County, Georgia",13,269,90100
"Telfair County, Georgia",13,271,90000
"Terrell County, Georgia",13,273,97000
"Thomas County, Georgia",13,275,178900
"Tift County, Georgia",13,277,140700
"Toombs County, Georgia",13,279,124800
"Towns County, Georgia",13,281,278700
"Treutlen County, Georgia",13,283,98500
"Troup County, Georgia",13,285,166700
"Turner County, Georgia",13,287,85600
"Twiggs County, Georgia",13,289,89300
"Union County, Georgia",13,291,252100
"Upson County, Georgia",13,293,136500
"Walker County, Georgia",13,295,149600
"Walton County, Georgia",13,297,267400
"Ware County, Georgia",13,299,94600
"Warren County, Georgia",13,301,82700
"Washington County, Georgia",13,303,113700
"Wayne County, Georgia",13,305,142200
"Webster County, Georgia",13,307,77100
"Wheeler County, Georgia",13,309,82600
"White County, Georgia",13,311,232000
"Whitfield County, Georgia",13,313,175000
"Wilcox County, Georgia",13,315,65300
