"name","B01002_001E","B19013_001E","B19301_001E","B25064_001E","B25077_001E","B01001_002E","B01001_026E","B17001_002E","B15003_017E","B15003_022E","B15003_002E","B23025_002E","B23025_005E","B23025_004E","B25002_002E","B25002_003E","B25003_002E","B25003_003E","B08301_010E","B08301_021E","B11003_010E","B18101_004E","B27010_017E","B16001_002E","B02001_002E","B02001_003E","B02001_005E","B25024_002E","B25024_010E"
"Nevada","38.5","71646","37945","1382","373800","505.12864365274993","494.87135634725007","125.43605629574948","162.29426726277265","119.7368476145293","14.686533860127666","508.41128478747703","35.399509858391006","469.06790319687116","374.79535830936254","40.15888859150153","219.00163520104405","155.79372310831846","11.413555130624445","41.53095013329288","11.433202021246341","0.32046977325877823","18.548597228113607","662.0728371430587","558.095050368508","93.4750743763642","84.72737684700901","249.0327127170458","22.01482406209448"
"New Hampshire","43.1","90845","48250","1336","337100","499.94201259776315","500.05798740223685","71.1519922296881","166.6275251701568","171.19983183653352","5.184073759975646","558.3846159421865","19.879531171852914","537.0996151086176","395.12325947187975","69.01878066989947","285.54808967751757","109.57516979436217","3.288610549358152","69.0919897652235","8.654619783851958","0.18266031704612173","6.862084212204898","879.0078355477273","899.9601336609621","15.163705684939947","26.349475576431022","294.0178746167395","25.0462087111575"
"New Jersey","40","97126","50995","1577","401400","492.6262260295989","507.3737739704011","95.05600729500924","163.39049696169224","176.9160832832472","11.797519381152448","534.008796350506","33.28164161061504","499.4418353513215","371.730844519061","34.40110636072","237.41118424644745","134.31966027261356","43.840116560996506","63.785596443661376","7.391235198635797","0.17720713979351205","9.47587879983086","639.9366076325786","597.7474691220073","131.177071666611","98.75205737056824","214.9430704494066","3.7642732025936034"
"New Mexico","38.6","58722","32667","966","216000","498.4030489528101","501.5969510471899","179.24621638343487","144.53223559418555","109.211380270329","9.732714845183088","462.3498731102036","28.397657142397286","427.38168668516323","384.7887513296091","61.68013356920334","264.2313735199149","120.55737780969419","3.1939020943798777","40.935628221654056","12.083525249909703","0.20686752856736426","12.96259390105294","637.244297296568","592.0169962740176","21.251969856986843","16.28430888493668","288.5366512928274","71.99700065752631"
"New York","39.3","81386","47173","1507","384100","489.20179016312534","510.79820983687466","132.8204291816215","146.69857963580665","151.73079393963673","17.828910815384663","514.1236444502728","31.92902365209742","480.9120103205006","380.33304260162316","44.508959242995246","206.46397670065173","173.86906590097146","109.78100395116047","54.45475450875468","7.260840659267287","0.15924475573860034","5.4634855126033175","655.0818107429093","587.647758402499","150.59812560320077","88.40474615390656","176.1714129756168","9.079551808035648"
"North Carolina","39.1","66186","37641","1093","234900","490.0921795867783","509.9078204132217","129.64567868431342","143.74844678437327","146.46806645976864","8.998956468320515","505.3262521663836","25.154595694032615","470.42973524705417","392.086732897723","60.61471140895497","259.58982309244107","132.49690980528192","3.72513876029659","58.215811061741434","8.202411144605067","0.2524303705731325","12.72858415310327","827.4739179160999","649.5051581562707","209.39925392164858","31.104426327866843","295.64734780015004","52.313734943717485"
"North Dakota","35.4","73959","40748","912","232500","514.0408869391948","485.95911306080524","104.0194420201989","143.38876059695653","145.62335719820717","5.78086021671468","545.2776125858247","15.692377399681288","521.0265757381505","411.95612158471","67.36999822365017","260.2906005349645","151.6655210497455","2.4057955344109856","32.81227071571452","9.103149288044136","0.3037815656078077","16.817398960449186","871.3523685951648","844.9568398479032","32.48017052958395","16.056657836405904","274.2980200135415","33.20615698298566"
"Ohio","39.6","66990","37729","945","183300","493.833761809129","506.166238190871","129.64315047802137","196.6718764318326","128.73068429952636","7.221680617643804","509.4531207336962","25.49469909296072","482.97852264897494","406.754729617774","39.219824431791494","271.7961918804948","134.95853773727922","5.693911250094801","46.49849172160304","9.859288780852953","0.23932703750920514","10.839357628566306","872.34356967402","788.2761684539618","123.0988554001836","24.058227300047058","307.5351582713522","15.706325172405915"
"Oklahoma","36.9","61364","33630","934","170500","498.7985131332425","501.2014868667575","147.58630972394639","169.84498414178375","117.29992492123782","8.411541426677818","482.3320606966836","23.225304036245337","453.38354367224053","383.5063973099589","57.69831837173029","252.88471443247533","130.6216828774836","1.4917527956827572","33.43183485593869","10.5127897086939","0.3823198959727208","20.94800726458174","835.1808350440764","684.2133365168139","71.64166098098046","23.100382647310905","321.3184646657585","38.052918815956794"
"Oregon","39.9","76632","41805","1373","423100","499.68174959225644","500.31825040774356","116.83951336533492","128.3601308373296","154.6765549700736","8.8566298464028","512.9073475176232","28.312937091872225","483.63658546158365","397.4110589415833","32.58141748637032","251.22441288001488","146.18664606156844","14.23354851096167","70.9615654704455","9.52103077192984","0.16952863473412377","7.382889288107412","804.2334397478209","786.9001417231013","18.819097105150785","44.41602941711941","270.99826120839634","31.61366197456172"
