"region_code","region_name","population","young_0_17_rate","working_18_64_rate","elderly_65_plus_rate","male_rate","female_rate","single_rate","married_rate","widowed_rate","divorced_rate","growth_per1000"
"1282","Landskrona","47309","214.250988184066","572.702868375996","213.046143439937","502.399120674713","497.600879325287","500.644697626244","337.335390729037","41.979327400706","120.040584244013","3.699084740747"
"1283","Helsingborg","152091","209.571901032934","596.044473374493","194.383625592573","497.176032769855","502.823967230145","518.945894234373","326.166571329007","37.4709877639045","117.416546672716","5.16138364531761"
"1284","Höganäs","28430","201.512486809708","523.074217376011","275.413295814281","493.563137530777","506.436862469223","452.128033767147","394.688709110095","51.6707703130496","101.512486809708","8.33626450932114"
"1285","Eslöv","34922","223.956245346773","585.018040203883","191.025714449344","506.986999599107","493.013000400893","521.304621728423","345.942385888552","39.3734608556211","93.3795315274039","4.20938090601913"
"1286","Ystad","32106","183.984301999626","527.564941132499","288.450756867875","487.447829066218","512.552170933782","484.021678190992","350.588675014016","56.2823148321186","109.107331962873","6.07363109699122"
"1287","Trelleborg","47269","209.01648014555","570.860394761895","220.123125092555","502.422306374156","497.577693625844","497.979648395354","346.781188516787","46.1824874653578","109.056675622501","7.04478622352916"
"1290","Kristianstad","86379","206.878986790771","565.449935748272","227.671077460957","498.176640155593","501.823359844407","517.92681091469","334.907790087869","44.0153277995809","103.150071197861","-2.09541671008"
"1291","Simrishamn","18890","155.108523028057","480.571731074643","364.3197458973","492.376919004764","507.623080995236","437.638962413976","377.607199576495","65.1667548967708","119.587083112758","-3.81154049761779"
"1292","Ängelholm","45110","201.995123032587","551.718022611394","246.286854356019","494.657503879406","505.342496120594","498.293061405453","349.412547107072","48.7031700288184","103.591221458657","5.40900022168034"
"1293","Hässleholm","52114","200.809763211421","559.120389914418","240.069846874161","503.242890586023","496.757109413977","509.594350846222","335.802279617761","48.0868864412634","106.516483094754","-2.43696511494032"
"1315","Hylte","10196","213.515103962338","546.783052177324","239.701843860337","514.417418595528","485.582581404472","498.528834837191","361.122008630836","49.9215378579835","90.4276186739898","-10.1020007846214"
"1380","Halmstad","106084","205.525809735681","582.519512838882","211.954677425436","500.028279476641","499.971720523359","530.692658647864","328.249311866068","41.3257418649372","99.7322876211304","2.71482975755062"
"1381","Laholm","26595","201.391238954691","529.573228050385","269.035532994924","507.802218462117","492.197781537883","489.828915209626","367.399887196842","49.4077834179357","93.3634141755969","1.12803158488438"
"1382","Falkenberg","47337","205.758708832414","540.127173247143","254.114117920443","502.249825717726","497.750174282274","507.17197963538","348.81804930604","49.3060396729831","94.7039313855969","4.83765342121385"
"1383","Varberg","69070","203.691906761257","545.128130881714","251.179962357029","500.115824525843","499.884175474157","512.711741711307","347.285362675547","44.98335022441","95.0195453887361","10.7861589691617"
