geo_code,geo_name,women_per1000,men_per1000,born_per1000_raw,died_per1000_raw,migrants_in_per1000,moved_out_per1000,net_immigration_per1000,divorced_separated_per1000,single_80plus_per1000,single_parents_benefit_per1000,disability_benefit_per1000,immigrants_per1000,births_per1000_pop_published,deaths_per1000_pop_published,pct_divorced_separated,pct_single_80plus,pct_single_parents_benefit,pct_disability_benefit,pct_immigrant_background
1806,Narvik,490.5004633920297,509.4995366079703,8.202038924930491,10.936051899907321,47.08063021316033,41.241890639481,5.838739573679333,58.758109360519,35.86654309545876,2.0852641334569046,96.75625579240037,131.27896200185359,8.2,10.9,9.3,59.9,0.7,15.8,13.1
1811,Bindal,477.4839170836311,522.5160829163689,9.292351679771265,15.010721944245889,49.32094353109364,37.88420300214439,11.43674052894925,46.461758398856325,55.75411007862759,,91.493924231594,75.05360972122945,9.3,15,8.5,66.7,,17.3,7.5
1812,Sømna,489.87854251012146,510.1214574898786,7.08502024291498,9.109311740890687,53.64372469635627,48.582995951417004,5.060728744939271,59.21052631578947,44.02834008097166,2.0242914979757085,95.1417004048583,101.21457489878543,7.1,9.1,9.5,65.9,0.7,15.9,10.1
1813,Brønnøy,504.47227191413236,495.52772808586764,8.177868642984922,8.81676463071812,50.34500383337593,44.594939943777156,5.750063889598774,61.58957321748019,33.7337081523128,1.916687963199591,92.38435982622029,102.09557883976488,8.2,8.8,9.7,63,0.6,15.1,10.2
1815,Vega,485.9271523178808,514.0728476821192,9.933774834437086,11.589403973509935,56.29139072847683,63.74172185430464,-7.450331125827814,58.77483443708609,58.77483443708609,,93.5430463576159,97.68211920529801,9.9,11.6,9.8,74.7,,16.3,9.8
1816,Vevelstad,487.5,512.5,18.75,6.25,81.25,39.58333333333333,41.666666666666664,37.5,43.75,,77.08333333333334,110.41666666666666,18.8,6.3,6.9,67.7,,14.6,11
1818,Herøy (Nordland),471.7698154180239,528.2301845819761,6.514657980456026,14.115092290988056,76.00434310532032,66.77524429967427,9.229098805646037,48.31704668838219,42.88816503800217,,76.00434310532032,226.9272529858849,6.5,14.1,7.7,68.7,,12.6,22.7
1820,Alstahaug,501.5496563805417,498.4503436194583,8.085163724565422,7.411400080851637,65.62457889772267,50.26276782104838,15.361811076674302,50.8017787360194,30.723622153348604,2.5603018461123837,81.39064816062526,145.12868885594935,8.1,7.4,8.1,55.3,0.8,13.4,14.5
1822,Leirfjord,490.22108843537416,509.77891156462584,9.77891156462585,8.928571428571429,72.27891156462584,38.26530612244898,34.013605442176875,55.697278911564624,32.73809523809524,1.7006802721088434,93.11224489795919,151.78571428571428,9.8,8.9,9.5,64.2,0.6,16.4,15.2
1824,Vefsn,487.26705768802435,512.7329423119756,10.765461429950257,9.726037567748163,38.68141658623506,30.811493058133493,7.869923528101567,62.959388224812535,38.16170465513402,1.9303586012324598,94.66181602197639,103.12569604276486,10.8,9.7,9.9,60.2,0.6,15.4,10.3
1825,Grane,480.3040774015204,519.6959225984797,8.2930200414651,12.439530062197651,53.213545266067726,53.904630269523146,-0.691085003455425,73.94609536973047,52.5224602626123,,90.53213545266067,144.43676572218382,8.3,12.4,12.2,58.9,,15.5,14.4
1826,Hattfjelldal - Aarborte,485.98130841121497,514.018691588785,7.788161993769471,17.91277258566978,49.84423676012461,35.046728971962615,14.797507788161994,49.06542056074766,47.507788161993766,,77.10280373831775,102.02492211838006,7.8,17.9,8.3,55,,13.6,10.2
1827,Dønna,494.7442186405045,505.2557813594955,4.905395935529082,10.51156271899089,71.47862648913805,40.64470918009811,30.833917309039947,51.156271899089,30.133146461107216,,89.69866853538892,138.75262789067975,4.9,10.5,8.3,56.6,,15.3,13.9
1828,Nesna,473.4513274336283,526.5486725663717,5.530973451327434,9.955752212389381,238.93805309734515,221.23893805309734,17.699115044247787,58.075221238938056,27.654867256637168,,89.04867256637168,225.11061946902655,5.5,10,8.9,51.5,,14.2,22.5
